Horizonte (h);N;Media;P1;P99;SD; 
PBI;;;;;;
2;370;0.059***;0.355;-0.900;1.500; 
4;366;0.061***;0.323;-0.400;1.100; 
6;361;0.028**;0.241;-0.800;1.000; 
12;343;0.009;0.274;-0.600;0.600; 
Agropecuario;;;;;;
2;370;0.045;0.903;-5.100;2.300; 
4;366;0.192***;0.572;-0.600;2.200; 
6;361;0.080***;0.501;-1.100;2.600; 
12;343;0.036**;0.339;-0.600;1.700; 
Pesca;;;;;;
2;370;0.110;3.113;-4.800;8.100; 
4;366;0.667**;5.164;-8.900;19.400; 
6;361;0.082;3.195;-11.600;8.400; 
12;343;0.212***;1.153;-1.600;6.500; 
Minería e Hidrocarburos;;;;;;
2;370;0.142***;0.751;-1.300;3.300; 
4;366;0.051**;0.477;-0.900;2.100; 
6;361;0.035;0.406;-0.800;1.600; 
12;343;0.020;0.286;-0.600;0.600; 
Manufactura;;;;;;
2;370;0.129***;0.587;-0.900;3.500; 
4;366;0.062**;0.463;-1.400;2.300; 
6;361;0.067***;0.411;-0.700;1.900; 
12;343;0.006;0.405;-1.500;0.900; 
Electricidad y Agua;;;;;;
2;260;-0.038**;0.261;-1.300;0.500; 
4;256;-0.013;0.266;-0.800;0.500; 
6;251;-0.034;0.610;-0.400;0.600; 
12;233;0.002;0.036;-0.100;0.200; 
Construcción;;;;;;
2;370;0.028;0.628;-1.700;1.800; 
4;366;0.031;0.378;-0.900;1.900; 
6;361;0.047*;0.458;-0.500;1.500; 
12;343;-0.031;0.499;-0.500;0.400; 
Comercio;;;;;;
2;370;0.107**;0.864;-1.700;4.200; 
4;366;0.152***;0.819;-1.000;5.700; 
6;361;0.032;0.391;-1.200;1.600; 
12;343;0.040*;0.443;-0.300;1.200; 
Otros Servicios;;;;;;
2;329;0.027;0.345;-1.200;1.400; 
4;323;0.034*;0.312;-1.000;1.300; 
6;316;0.008;0.269;-1.200;0.900; 
12;295;0.002;0.289;-1.400;1.100; 
