target_period,horizon,gdp_release,gdp_release_hat,gdp_r,gdp_z,gdp_e
1993m1,1,1.2,,,,-3.4000001
1993m1,2,1.3,,.1,.1,-3.5
1993m1,3,1.3,,0,.1,-3.5
1993m1,4,1.3,,0,.1,-3.5
1993m1,5,-2.2,,-3.5,-3.4000001,0
1993m1,6,-2.2,,0,-3.4000001,0
1993m1,7,-2.2,,0,-3.4000001,0
1993m1,8,-2.2,,0,-3.4000001,0
1993m1,9,-2.2,,0,-3.4000001,0
1993m1,10,-2.2,,0,-3.4000001,0
1993m1,11,-2.2,,0,-3.4000001,0
1993m1,12,-2.2,,0,-3.4000001,
1993m2,1,.1,,,,-1.6
1993m2,2,.2,,.1,.1,-1.7
1993m2,3,.1,,-.1,0,-1.6
1993m2,4,.2,,.1,.1,-1.7
1993m2,5,-1.6,,-1.8,-1.7,.1
1993m2,6,-1.6,,0,-1.7,.1
1993m2,7,-1.6,,0,-1.7,.1
1993m2,8,-1.6,,0,-1.7,.1
1993m2,9,-1.6,,0,-1.7,.1
1993m2,10,-1.5,,.1,-1.6,0
1993m2,11,-1.5,,0,-1.6,0
1993m2,12,-1.5,,0,-1.6,
1993m3,1,5.7,,,,-.69999999
1993m3,2,5.8,,.1,.1,-.80000001
1993m3,3,5.9,,.1,.2,-.89999998
1993m3,4,5.9,,0,.2,-.89999998
1993m3,5,5,,-.89999998,-.69999999,0
1993m3,6,5,,0,-.69999999,0
1993m3,7,5,,0,-.69999999,0
1993m3,8,5,,0,-.69999999,0
1993m3,9,4.9,,-.1,-.80000001,.1
1993m3,10,4.9,,0,-.80000001,.1
1993m3,11,5,,.1,-.69999999,0
1993m3,12,5,,0,-.69999999,
1993m4,1,7.2,,,,-1.3
1993m4,2,7.2,,0,0,-1.3
1993m4,3,7.3,,.1,.1,-1.4
1993m4,4,7.3,,0,.1,-1.4
1993m4,5,6,,-1.3,-1.2,-.1
1993m4,6,6,,0,-1.2,-.1
1993m4,7,6,,0,-1.2,-.1
1993m4,8,6,,0,-1.2,-.1
1993m4,9,6,,0,-1.2,-.1
1993m4,10,6,,0,-1.2,-.1
1993m4,11,5.9,,-.1,-1.3,0
1993m4,12,5.9,,0,-1.3,
1993m5,1,4.5,,,,-.5
1993m5,2,4.8,,.30000001,.30000001,-.80000001
1993m5,3,4.7,,-.1,.2,-.69999999
1993m5,4,4.7,,0,.2,-.69999999
1993m5,5,3.9,,-.80000001,-.60000002,.1
1993m5,6,3.9,,0,-.60000002,.1
1993m5,7,3.9,,0,-.60000002,.1
1993m5,8,3.9,,0,-.60000002,.1
1993m5,9,4,,.1,-.5,0
1993m5,10,4.1,,.1,-.40000001,-.1
1993m5,11,4,,-.1,-.5,0
1993m5,12,4,,0,-.5,
1993m6,1,7.6,,,,.5
1993m6,2,8.199999999999999,,.60000002,.60000002,-.1
1993m6,3,8,,-.2,.40000001,.1
1993m6,4,8,,0,.40000001,.1
1993m6,5,8,,0,.40000001,.1
1993m6,6,8,,0,.40000001,.1
1993m6,7,8,,0,.40000001,.1
1993m6,8,8,,0,.40000001,.1
1993m6,9,8,,0,.40000001,.1
1993m6,10,8,,0,.40000001,.1
1993m6,11,8.1,,.1,.5,0
1993m6,12,8.1,,0,.5,
1993m7,1,11.6,,,,-.30000001
1993m7,2,12,,.40000001,.40000001,-.69999999
1993m7,3,11.9,,-.1,.30000001,-.60000002
1993m7,4,11.9,,0,.30000001,-.60000002
1993m7,5,11.5,,-.40000001,-.1,-.2
1993m7,6,11.6,,.1,0,-.30000001
1993m7,7,11.6,,0,0,-.30000001
1993m7,8,11.5,,-.1,-.1,-.2
1993m7,9,11.3,,-.2,-.30000001,0
1993m7,10,11.3,,0,-.30000001,0
1993m7,11,11.3,,0,-.30000001,0
1993m7,12,11.3,,0,-.30000001,
1993m8,1,11.2,,,,1.5
1993m8,2,11.8,,.60000002,.60000002,.89999998
1993m8,3,11.8,,0,.60000002,.89999998
1993m8,4,11.8,,0,.60000002,.89999998
1993m8,5,12.5,,.69999999,1.3,.2
1993m8,6,12.5,,0,1.3,.2
1993m8,7,12.5,,0,1.3,.2
1993m8,8,12.5,,0,1.3,.2
1993m8,9,12.6,,.1,1.4,.1
1993m8,10,12.7,,.1,1.5,0
1993m8,11,12.7,,0,1.5,0
1993m8,12,12.7,,0,1.5,
1993m9,1,10.5,,,,-.40000001
1993m9,2,10.4,,-.1,-.1,-.30000001
1993m9,3,10.6,,.2,.1,-.5
1993m9,4,10.6,,0,.1,-.5
1993m9,5,10.2,,-.40000001,-.30000001,-.1
1993m9,6,10.2,,0,-.30000001,-.1
1993m9,7,10.2,,0,-.30000001,-.1
1993m9,8,10.2,,0,-.30000001,-.1
1993m9,9,9.9,,-.30000001,-.60000002,.2
1993m9,10,9.9,,0,-.60000002,.2
1993m9,11,10.1,,.2,-.40000001,0
1993m9,12,10.1,,0,-.40000001,
1993m10,1,6.3,,,,-.89999998
1993m10,2,5.4,,-.89999998,-.89999998,0
1993m10,3,5.4,,0,-.89999998,0
1993m10,4,5.4,,0,-.89999998,0
1993m10,5,4.9,,-.5,-1.4,.5
1993m10,6,4.8,,-.1,-1.5,.60000002
1993m10,7,4.8,,0,-1.5,.60000002
1993m10,8,4.9,,.1,-1.4,.5
1993m10,9,4.8,,-.1,-1.5,.60000002
1993m10,10,4.8,,0,-1.5,.60000002
1993m10,11,4.8,,0,-1.5,.60000002
1993m10,12,5.4,,.60000002,-.89999998,
1993m11,1,7.5,,,,1.7
1993m11,2,9,,1.5,1.5,.2
1993m11,3,9,,0,1.5,.2
1993m11,4,9,,0,1.5,.2
1993m11,5,9.6,,.60000002,2.0999999,-.40000001
1993m11,6,9.6,,0,2.0999999,-.40000001
1993m11,7,9.6,,0,2.0999999,-.40000001
1993m11,8,9.6,,0,2.0999999,-.40000001
1993m11,9,9.699999999999999,,.1,2.2,-.5
1993m11,10,9.800000000000001,,.1,2.3,-.60000002
1993m11,11,9.800000000000001,,0,2.3,-.60000002
1993m11,12,9.199999999999999,,-.60000002,1.7,
1993m12,1,7.7,,,,1.7
1993m12,2,8.699999999999999,,1,1,.69999999
1993m12,3,8.699999999999999,,0,1,.69999999
1993m12,4,9.300000000000001,,.60000002,1.6,.1
1993m12,5,9.300000000000001,,0,1.6,.1
1993m12,6,9.300000000000001,,0,1.6,.1
1993m12,7,9.300000000000001,,0,1.6,.1
1993m12,8,9.4,,.1,1.7,0
1993m12,9,9.4,,0,1.7,0
1993m12,10,9.4,,0,1.7,0
1993m12,11,9.4,,0,1.7,0
1993m12,12,9.4,,0,1.7,
1994m1,1,9.6,,,,3.0999999
1994m1,2,9.800000000000001,,.2,.2,2.9000001
1994m1,3,11.1,,1.3,1.5,1.6
1994m1,4,11.4,,.30000001,1.8,1.3
1994m1,5,11.5,,.1,1.9,1.2
1994m1,6,11.5,,0,1.9,1.2
1994m1,7,11.5,,0,1.9,1.2
1994m1,8,11.6,,.1,2,1.1
1994m1,9,12.5,,.89999998,2.9000001,.2
1994m1,10,12.6,,.1,3,.1
1994m1,11,12.6,,0,3,.1
1994m1,12,12.7,,.1,3.0999999,
1994m2,1,6.5,,,,.89999998
1994m2,2,6.5,,0,0,.89999998
1994m2,3,6.7,,.2,.2,.69999999
1994m2,4,6.7,,0,.2,.69999999
1994m2,5,6.7,,0,.2,.69999999
1994m2,6,6.6,,-.1,.1,.80000001
1994m2,7,6.9,,.30000001,.40000001,.5
1994m2,8,7.3,,.40000001,.80000001,.1
1994m2,9,7,,-.30000001,.5,.40000001
1994m2,10,7,,0,.5,.40000001
1994m2,11,7.4,,.40000001,.89999998,0
1994m2,12,7.4,,0,.89999998,
1994m3,1,8.300000000000001,,,,4.1999998
1994m3,2,10.6,,2.3,2.3,1.9
1994m3,3,10.6,,0,2.3,1.9
1994m3,4,10.7,,.1,2.4000001,1.8
1994m3,5,11,,.30000001,2.7,1.5
1994m3,6,11.1,,.1,2.8,1.4
1994m3,7,12.3,,1.2,4,.2
1994m3,8,12.2,,-.1,3.9000001,.30000001
1994m3,9,12.2,,0,3.9000001,.30000001
1994m3,10,12.5,,.30000001,4.1999998,0
1994m3,11,12.5,,0,4.1999998,0
1994m3,12,12.5,,0,4.1999998,
1994m4,1,13.8,,,,1.6
1994m4,2,14.1,,.30000001,.30000001,1.3
1994m4,3,14.1,,0,.30000001,1.3
1994m4,4,14.5,,.40000001,.69999999,.89999998
1994m4,5,14.7,,.2,.89999998,.69999999
1994m4,6,15.6,,.89999998,1.8,-.2
1994m4,7,15.5,,-.1,1.7,-.1
1994m4,8,15.5,,0,1.7,-.1
1994m4,9,15.4,,-.1,1.6,0
1994m4,10,15.4,,0,1.6,0
1994m4,11,15.4,,0,1.6,0
1994m4,12,15.4,,0,1.6,
1994m5,1,16.3,,,,1.5
1994m5,2,16.9,,.60000002,.60000002,.89999998
1994m5,3,16.7,,-.2,.40000001,1.1
1994m5,4,16.7,,0,.40000001,1.1
1994m5,5,17.7,,1,1.4,.1
1994m5,6,17.6,,-.1,1.3,.2
1994m5,7,17.6,,0,1.3,.2
1994m5,8,17.4,,-.2,1.1,.40000001
1994m5,9,17.4,,0,1.1,.40000001
1994m5,10,17.4,,0,1.1,.40000001
1994m5,11,17.4,,0,1.1,.40000001
1994m5,12,17.8,,.40000001,1.5,
1994m6,1,14.6,,,,.30000001
1994m6,2,14.9,,.30000001,.30000001,0
1994m6,3,15,,.1,.40000001,-.1
1994m6,4,15.2,,.2,.60000002,-.30000001
1994m6,5,15.3,,.1,.69999999,-.40000001
1994m6,6,15.3,,0,.69999999,-.40000001
1994m6,7,14.9,,-.40000001,.30000001,0
1994m6,8,14.9,,0,.30000001,0
1994m6,9,14.9,,0,.30000001,0
1994m6,10,14.9,,0,.30000001,0
1994m6,11,14.9,,0,.30000001,0
1994m6,12,14.9,,0,.30000001,
1994m7,1,8.9,,,,1.3
1994m7,2,10,,1.1,1.1,.2
1994m7,3,9.1,,-.89999998,.2,1.1
1994m7,4,9.5,,.40000001,.60000002,.69999999
1994m7,5,9.5,,0,.60000002,.69999999
1994m7,6,10.3,,.80000001,1.4,-.1
1994m7,7,10.3,,0,1.4,-.1
1994m7,8,10.3,,0,1.4,-.1
1994m7,9,10.3,,0,1.4,-.1
1994m7,10,10.2,,-.1,1.3,0
1994m7,11,10.2,,0,1.3,0
1994m7,12,10.2,,0,1.3,
1994m8,1,8.9,,,,.89999998
1994m8,2,8.9,,0,0,.89999998
1994m8,3,9.9,,1,1,-.1
1994m8,4,9.9,,0,1,-.1
1994m8,5,10.1,,.2,1.2,-.30000001
1994m8,6,10.1,,0,1.2,-.30000001
1994m8,7,10.1,,0,1.2,-.30000001
1994m8,8,10.1,,0,1.2,-.30000001
1994m8,9,9.800000000000001,,-.30000001,.89999998,0
1994m8,10,9.800000000000001,,0,.89999998,0
1994m8,11,9.800000000000001,,0,.89999998,0
1994m8,12,9.800000000000001,,0,.89999998,
1994m9,1,11.8,,,,.2
1994m9,2,11.9,,.1,.1,.1
1994m9,3,11.6,,-.30000001,-.2,.40000001
1994m9,4,11.7,,.1,-.1,.30000001
1994m9,5,11.7,,0,-.1,.30000001
1994m9,6,11.7,,0,-.1,.30000001
1994m9,7,11.7,,0,-.1,.30000001
1994m9,8,12,,.30000001,.2,0
1994m9,9,12,,0,.2,0
1994m9,10,12,,0,.2,0
1994m9,11,12,,0,.2,0
1994m9,12,12,,0,.2,
1994m10,1,18.3,,,,-1.1
1994m10,2,17.7,,-.60000002,-.60000002,-.5
1994m10,3,17.4,,-.30000001,-.89999998,-.2
1994m10,4,17.4,,0,-.89999998,-.2
1994m10,5,17.4,,0,-.89999998,-.2
1994m10,6,17.4,,0,-.89999998,-.2
1994m10,7,17.3,,-.1,-1,-.1
1994m10,8,17.2,,-.1,-1.1,0
1994m10,9,17.2,,0,-1.1,0
1994m10,10,17.2,,0,-1.1,0
1994m10,11,17.2,,0,-1.1,0
1994m10,12,17.2,,0,-1.1,
1994m11,1,14.9,,,,1
1994m11,2,15.6,,.69999999,.69999999,.30000001
1994m11,3,15.6,,0,.69999999,.30000001
1994m11,4,15.6,,0,.69999999,.30000001
1994m11,5,15.6,,0,.69999999,.30000001
1994m11,6,15.9,,.30000001,1,0
1994m11,7,15.9,,0,1,0
1994m11,8,15.9,,0,1,0
1994m11,9,15.9,,0,1,0
1994m11,10,15.9,,0,1,0
1994m11,11,15.9,,0,1,0
1994m11,12,15.9,,0,1,
1994m12,1,9.6,,,,1.3
1994m12,2,9.6,,0,0,1.3
1994m12,3,9.6,,0,0,1.3
1994m12,4,9.6,,0,0,1.3
1994m12,5,10.9,,1.3,1.3,0
1994m12,6,10.9,,0,1.3,0
1994m12,7,10.9,,0,1.3,0
1994m12,8,10.9,,0,1.3,0
1994m12,9,10.9,,0,1.3,0
1994m12,10,10.9,,0,1.3,0
1994m12,11,10.9,,0,1.3,0
1994m12,12,10.9,,0,1.3,
1995m1,1,12.4,,,,4.9000001
1995m1,2,12.4,,0,0,4.9000001
1995m1,3,13.5,,1.1,1.1,3.8
1995m1,4,13.3,,-.2,.89999998,4
1995m1,5,13.3,,0,.89999998,4
1995m1,6,13.1,,-.2,.69999999,4.1999998
1995m1,7,13.1,,0,.69999999,4.1999998
1995m1,8,13.1,,0,.69999999,4.1999998
1995m1,9,13.1,,0,.69999999,4.1999998
1995m1,10,13.1,,0,.69999999,4.1999998
1995m1,11,13.1,,0,.69999999,4.1999998
1995m1,12,17.3,,4.1999998,4.9000001,
1995m2,1,11.8,,,,3.4000001
1995m2,2,13.7,,1.9,1.9,1.5
1995m2,3,13.6,,-.1,1.8,1.6
1995m2,4,13.5,,-.1,1.7,1.7
1995m2,5,13.9,,.40000001,2.0999999,1.3
1995m2,6,13.9,,0,2.0999999,1.3
1995m2,7,13.9,,0,2.0999999,1.3
1995m2,8,13.2,,-.69999999,1.4,2
1995m2,9,13.2,,0,1.4,2
1995m2,10,13.2,,0,1.4,2
1995m2,11,15.2,,2,3.4000001,0
1995m2,12,15.2,,0,3.4000001,
1995m3,1,5.9,,,,1.1
1995m3,2,6.8,,.89999998,.89999998,.2
1995m3,3,6.3,,-.5,.40000001,.69999999
1995m3,4,6.3,,0,.40000001,.69999999
1995m3,5,6.3,,0,.40000001,.69999999
1995m3,6,6.3,,0,.40000001,.69999999
1995m3,7,6,,-.30000001,.1,1
1995m3,8,6,,0,.1,1
1995m3,9,6,,0,.1,1
1995m3,10,7,,1,1.1,0
1995m3,11,7,,0,1.1,0
1995m3,12,7,,0,1.1,
1995m4,1,7.2,,,,0
1995m4,2,7,,-.2,-.2,.2
1995m4,3,6.9,,-.1,-.30000001,.30000001
1995m4,4,6.9,,0,-.30000001,.30000001
1995m4,5,6.9,,0,-.30000001,.30000001
1995m4,6,7.2,,.30000001,0,0
1995m4,7,7.2,,0,0,0
1995m4,8,7.2,,0,0,0
1995m4,9,7.2,,0,0,0
1995m4,10,7.2,,0,0,0
1995m4,11,7.2,,0,0,0
1995m4,12,7.2,,0,0,
1995m5,1,10.1,,,,1.9
1995m5,2,10.9,,.80000001,.80000001,1.1
1995m5,3,10.9,,0,.80000001,1.1
1995m5,4,10.9,,0,.80000001,1.1
1995m5,5,11.4,,.5,1.3,.60000002
1995m5,6,11.4,,0,1.3,.60000002
1995m5,7,11.4,,0,1.3,.60000002
1995m5,8,12.3,,.89999998,2.2,-.30000001
1995m5,9,12.3,,0,2.2,-.30000001
1995m5,10,12.3,,0,2.2,-.30000001
1995m5,11,12.3,,0,2.2,-.30000001
1995m5,12,12,,-.30000001,1.9,
1995m6,1,5.6,,,,1.3
1995m6,2,5.5,,-.1,-.1,1.4
1995m6,3,5.5,,0,-.1,1.4
1995m6,4,6,,.5,.40000001,.89999998
1995m6,5,6.3,,.30000001,.69999999,.60000002
1995m6,6,6.3,,0,.69999999,.60000002
1995m6,7,6.9,,.60000002,1.3,0
1995m6,8,6.9,,0,1.3,0
1995m6,9,6.9,,0,1.3,0
1995m6,10,6.9,,0,1.3,0
1995m6,11,6.9,,0,1.3,0
1995m6,12,6.9,,0,1.3,
1995m7,1,5.7,,,,1.7
1995m7,2,5.9,,.2,.2,1.5
1995m7,3,5.2,,-.69999999,-.5,2.2
1995m7,4,5.6,,.40000001,-.1,1.8
1995m7,5,5.6,,0,-.1,1.8
1995m7,6,6.7,,1.1,1,.69999999
1995m7,7,6.7,,0,1,.69999999
1995m7,8,6.7,,0,1,.69999999
1995m7,9,6.7,,0,1,.69999999
1995m7,10,7.4,,.69999999,1.7,0
1995m7,11,7.4,,0,1.7,0
1995m7,12,7.4,,0,1.7,
1995m8,1,5.7,,,,2
1995m8,2,7,,1.3,1.3,.69999999
1995m8,3,7.3,,.30000001,1.6,.40000001
1995m8,4,7.3,,0,1.6,.40000001
1995m8,5,7.3,,0,1.6,.40000001
1995m8,6,7.3,,0,1.6,.40000001
1995m8,7,7.3,,0,1.6,.40000001
1995m8,8,7.3,,0,1.6,.40000001
1995m8,9,7.9,,.60000002,2.2,-.2
1995m8,10,7.9,,0,2.2,-.2
1995m8,11,7.7,,-.2,2,0
1995m8,12,7.7,,0,2,
1995m9,1,3.7,,,,.60000002
1995m9,2,3.9,,.2,.2,.40000001
1995m9,3,3.9,,0,.2,.40000001
1995m9,4,4.2,,.30000001,.5,.1
1995m9,5,4.2,,0,.5,.1
1995m9,6,4.2,,0,.5,.1
1995m9,7,4.2,,0,.5,.1
1995m9,8,4.3,,.1,.60000002,0
1995m9,9,4.3,,0,.60000002,0
1995m9,10,4.3,,0,.60000002,0
1995m9,11,4.3,,0,.60000002,0
1995m9,12,4.3,,0,.60000002,
1995m10,1,3.1,,,,1.1
1995m10,2,3.6,,.5,.5,.60000002
1995m10,3,4,,.40000001,.89999998,.2
1995m10,4,4,,0,.89999998,.2
1995m10,5,4,,0,.89999998,.2
1995m10,6,4,,0,.89999998,.2
1995m10,7,4.2,,.2,1.1,0
1995m10,8,4.2,,0,1.1,0
1995m10,9,4.2,,0,1.1,0
1995m10,10,4.2,,0,1.1,0
1995m10,11,4.2,,0,1.1,0
1995m10,12,4.2,,0,1.1,
1995m11,1,.3,,,,-.2
1995m11,2,.1,,-.2,-.2,0
1995m11,3,.1,,0,-.2,0
1995m11,4,.1,,0,-.2,0
1995m11,5,.1,,0,-.2,0
1995m11,6,.1,,0,-.2,0
1995m11,7,.1,,0,-.2,0
1995m11,8,.1,,0,-.2,0
1995m11,9,.1,,0,-.2,0
1995m11,10,.1,,0,-.2,0
1995m11,11,.1,,0,-.2,0
1995m11,12,.1,,0,-.2,
1995m12,1,-1.9,,,,.2
1995m12,2,-1.9,,0,0,.2
1995m12,3,-1.9,,0,0,.2
1995m12,4,-1.9,,0,0,.2
1995m12,5,-1.7,,.2,.2,0
1995m12,6,-1.7,,0,.2,0
1995m12,7,-1.7,,0,.2,0
1995m12,8,-1.7,,0,.2,0
1995m12,9,-1.7,,0,.2,0
1995m12,10,-1.7,,0,.2,0
1995m12,11,-1.7,,0,.2,0
1995m12,12,-1.7,,0,.2,
1996m1,1,-4.1,,,,1.8
1996m1,2,-3.7,,.40000001,.40000001,1.4
1996m1,3,-3.7,,0,.40000001,1.4
1996m1,4,-2.6,,1.1,1.5,.30000001
1996m1,5,-2.5,,.1,1.6,.2
1996m1,6,-2.5,,0,1.6,.2
1996m1,7,-2.3,,.2,1.8,0
1996m1,8,-2.3,,0,1.8,0
1996m1,9,-2.2,,.1,1.9,-.1
1996m1,10,-2.2,,0,1.9,-.1
1996m1,11,-2.2,,0,1.9,-.1
1996m1,12,-2.3,,-.1,1.8,
1996m2,1,1.2,,,,3
1996m2,2,2.3,,1.1,1.1,1.9
1996m2,3,3.6,,1.3,2.4000001,.60000002
1996m2,4,3.7,,.1,2.5,.5
1996m2,5,3.8,,.1,2.5999999,.40000001
1996m2,6,4.3,,.5,3.0999999,-.1
1996m2,7,4.3,,0,3.0999999,-.1
1996m2,8,4.4,,.1,3.2,-.2
1996m2,9,4.4,,0,3.2,-.2
1996m2,10,4.4,,0,3.2,-.2
1996m2,11,4.2,,-.2,3,0
1996m2,12,4.2,,0,3,
1996m3,1,-3,,,,1.5
1996m3,2,-1.7,,1.3,1.3,.2
1996m3,3,-1.7,,0,1.3,.2
1996m3,4,-1.5,,.2,1.5,0
1996m3,5,-1.2,,.30000001,1.8,-.30000001
1996m3,6,-1.2,,0,1.8,-.30000001
1996m3,7,-1.1,,.1,1.9,-.40000001
1996m3,8,-1.1,,0,1.9,-.40000001
1996m3,9,-1.1,,0,1.9,-.40000001
1996m3,10,-1.5,,-.40000001,1.5,0
1996m3,11,-1.5,,0,1.5,0
1996m3,12,-1.5,,0,1.5,
1996m4,1,1.9,,,,0
1996m4,2,1.9,,0,0,0
1996m4,3,1.6,,-.30000001,-.30000001,.30000001
1996m4,4,1.7,,.1,-.2,.2
1996m4,5,1.7,,0,-.2,.2
1996m4,6,1.8,,.1,-.1,.1
1996m4,7,1.8,,0,-.1,.1
1996m4,8,1.8,,0,-.1,.1
1996m4,9,1.8,,0,-.1,.1
1996m4,10,1.8,,0,-.1,.1
1996m4,11,1.8,,0,-.1,.1
1996m4,12,1.9,,.1,0,
1996m5,1,2.2,,,,.30000001
