target_period,gdp_release_1,gdp_release_2,gdp_release_3,gdp_release_4,gdp_release_5,gdp_release_6,gdp_release_7,gdp_release_8,gdp_release_9,gdp_release_10,gdp_release_11,gdp_most_recent_hat,gdp_release_hat_1,gdp_release_hat_2,gdp_release_hat_3,gdp_release_hat_4,gdp_release_hat_5,gdp_release_hat_6,gdp_release_hat_7,gdp_release_hat_8,gdp_release_hat_9,gdp_release_hat_10,gdp_release_hat_11,gdp_most_recent,r_2_gdp,r_3_gdp,r_4_gdp,r_5_gdp,r_6_gdp,r_7_gdp,r_8_gdp,r_9_gdp,r_10_gdp,r_11_gdp,r_12_gdp,e_1_gdp,e_2_gdp,e_3_gdp,e_4_gdp,e_5_gdp,e_6_gdp,e_7_gdp,e_8_gdp,e_9_gdp,e_10_gdp,e_11_gdp,z_2_gdp,z_3_gdp,z_4_gdp,z_5_gdp,z_6_gdp,z_7_gdp,z_8_gdp,z_9_gdp,z_10_gdp,z_11_gdp,z_12_gdp
1993m1,1.2,1.3,1.3,1.3,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,,,,,,,,,,,,,-2.2,.1,0,0,-3.5,0,0,0,0,0,0,0,-3.4000001,-3.5,-3.5,-3.5,0,0,0,0,0,0,0,.1,.1,.1,-3.4000001,-3.4000001,-3.4000001,-3.4000001,-3.4000001,-3.4000001,-3.4000001,-3.4000001
1993m2,.1,.2,.1,.2,-1.6,-1.6,-1.6,-1.6,-1.6,-1.5,-1.5,,,,,,,,,,,,,-1.5,.1,-.1,.1,-1.8,0,0,0,0,.1,0,0,-1.6,-1.7,-1.6,-1.7,.1,.1,.1,.1,.1,0,0,.1,0,.1,-1.7,-1.7,-1.7,-1.7,-1.7,-1.6,-1.6,-1.6
1993m3,5.7,5.8,5.9,5.9,5,5,5,5,4.9,4.9,5,,,,,,,,,,,,,5,.1,.1,0,-.89999998,0,0,0,-.1,0,.1,0,-.69999999,-.80000001,-.89999998,-.89999998,0,0,0,0,.1,.1,0,.1,.2,.2,-.69999999,-.69999999,-.69999999,-.69999999,-.80000001,-.80000001,-.69999999,-.69999999
1993m4,7.2,7.2,7.3,7.3,6,6,6,6,6,6,5.9,,,,,,,,,,,,,5.9,0,.1,0,-1.3,0,0,0,0,0,-.1,0,-1.3,-1.3,-1.4,-1.4,-.1,-.1,-.1,-.1,-.1,-.1,0,0,.1,.1,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.3,-1.3
1993m5,4.5,4.8,4.7,4.7,3.9,3.9,3.9,3.9,4,4.1,4,,,,,,,,,,,,,4,.30000001,-.1,0,-.80000001,0,0,0,.1,.1,-.1,0,-.5,-.80000001,-.69999999,-.69999999,.1,.1,.1,.1,0,-.1,0,.30000001,.2,.2,-.60000002,-.60000002,-.60000002,-.60000002,-.5,-.40000001,-.5,-.5
1993m6,7.6,8.199999999999999,8,8,8,8,8,8,8,8,8.1,,,,,,,,,,,,,8.1,.60000002,-.2,0,0,0,0,0,0,0,.1,0,.5,-.1,.1,.1,.1,.1,.1,.1,.1,.1,0,.60000002,.40000001,.40000001,.40000001,.40000001,.40000001,.40000001,.40000001,.40000001,.5,.5
1993m7,11.6,12,11.9,11.9,11.5,11.6,11.6,11.5,11.3,11.3,11.3,,,,,,,,,,,,,11.3,.40000001,-.1,0,-.40000001,.1,0,-.1,-.2,0,0,0,-.30000001,-.69999999,-.60000002,-.60000002,-.2,-.30000001,-.30000001,-.2,0,0,0,.40000001,.30000001,.30000001,-.1,0,0,-.1,-.30000001,-.30000001,-.30000001,-.30000001
1993m8,11.2,11.8,11.8,11.8,12.5,12.5,12.5,12.5,12.6,12.7,12.7,,,,,,,,,,,,,12.7,.60000002,0,0,.69999999,0,0,0,.1,.1,0,0,1.5,.89999998,.89999998,.89999998,.2,.2,.2,.2,.1,0,0,.60000002,.60000002,.60000002,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.5
1993m9,10.5,10.4,10.6,10.6,10.2,10.2,10.2,10.2,9.9,9.9,10.1,,,,,,,,,,,,,10.1,-.1,.2,0,-.40000001,0,0,0,-.30000001,0,.2,0,-.40000001,-.30000001,-.5,-.5,-.1,-.1,-.1,-.1,.2,.2,0,-.1,.1,.1,-.30000001,-.30000001,-.30000001,-.30000001,-.60000002,-.60000002,-.40000001,-.40000001
1993m10,6.3,5.4,5.4,5.4,4.9,4.8,4.8,4.9,4.8,4.8,4.8,,,,,,,,,,,,,5.4,-.89999998,0,0,-.5,-.1,0,.1,-.1,0,0,.60000002,-.89999998,0,0,0,.5,.60000002,.60000002,.5,.60000002,.60000002,.60000002,-.89999998,-.89999998,-.89999998,-1.4,-1.5,-1.5,-1.4,-1.5,-1.5,-1.5,-.89999998
1993m11,7.5,9,9,9,9.6,9.6,9.6,9.6,9.699999999999999,9.800000000000001,9.800000000000001,,,,,,,,,,,,,9.199999999999999,1.5,0,0,.60000002,0,0,0,.1,.1,0,-.60000002,1.7,.2,.2,.2,-.40000001,-.40000001,-.40000001,-.40000001,-.5,-.60000002,-.60000002,1.5,1.5,1.5,2.0999999,2.0999999,2.0999999,2.0999999,2.2,2.3,2.3,1.7
1993m12,7.7,8.699999999999999,8.699999999999999,9.300000000000001,9.300000000000001,9.300000000000001,9.300000000000001,9.4,9.4,9.4,9.4,,,,,,,,,,,,,9.4,1,0,.60000002,0,0,0,.1,0,0,0,0,1.7,.69999999,.69999999,.1,.1,.1,.1,0,0,0,0,1,1,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7
1994m1,9.6,9.800000000000001,11.1,11.4,11.5,11.5,11.5,11.6,12.5,12.6,12.6,,,,,,,,,,,,,12.7,.2,1.3,.30000001,.1,0,0,.1,.89999998,.1,0,.1,3.0999999,2.9000001,1.6,1.3,1.2,1.2,1.2,1.1,.2,.1,.1,.2,1.5,1.8,1.9,1.9,1.9,2,2.9000001,3,3,3.0999999
