year,wr,sectores_economicos,economic_sectors,2011_dic,2011_year,2012_ene,2012_feb,2012_mar,2012_abr,2012_may,2012_jun,2012_jul,2012_ago,2012_sep,2012_oct,2012_nov,2012_dic,2012_ene_dic
2013,08,agropecuario,agriculture and livestock,-1.3,3.8,2.4,3.1,2.2,1.3,10.8,11.3,3.2,4.4,4.8,3.2,3.9,7.4,5.1
2013,08,agricola,agriculture,-4.2,3.1,1.0,1.2,-0.2,-1.7,14.0,15.5,0.8,2.5,3.8,3.8,4.4,11.0,5.2
2013,08,pecuario,livestock,2.1,5.2,4.0,5.2,5.5,7.8,3.8,3.6,6.9,6.8,5.8,2.5,3.3,3.4,4.9
2013,08,pesca,fishing,74.5,29.7,-15.5,-10.9,-4.5,-44.7,5.4,20.6,0.8,-12.0,18.9,15.4,-15.8,-47.2,-11.9
2013,08,mineria e hidrocarburos,mining and fuel,4.2,-0.2,-0.9,3.7,7.3,6.8,1.3,4.9,4.5,0.6,5.1,-3.3,-1.4,-1.7,2.2
2013,08,mineria metalica,metals,4.4,-3.6,0.7,3.4,5.7,8.8,1.8,4.7,4.7,0.2,4.6,-5.3,0.4,-2.7,2.1
2013,08,hidrocarburos,fuel,3.1,18.1,-8.0,5.0,15.3,-1.9,-0.6,6.1,3.6,2.7,7.1,5.3,-9.1,3.1,2.3
2013,08,manufactura,manufacturing,3.7,5.6,-0.9,1.7,-2.7,-4.1,2.9,1.5,5.0,4.4,1.6,4.5,4.2,-2.0,1.3
2013,08,de recursos primarios,based on raw materials,34.9,12.3,1.1,-1.3,-8.9,-20.9,-9.0,-2.0,-1.1,-5.1,-4.4,6.9,-3.3,-20.5,-6.5
2013,08,no primaria,nonprimary,-1.3,4.4,-1.3,2.2,-1.6,-0.3,5.4,2.2,6.1,6.1,2.5,4.2,5.4,2.1,2.8
2013,08,electricidad y agua,electricity and water,7.3,7.4,5.7,7.4,5.8,5.1,5.3,4.7,5.7,5.3,4.1,3.7,5.6,4.3,5.2
2013,08,construccion,construction,3.8,3.4,12.5,10.1,14.7,14.6,15.8,19.7,21.4,17.4,19.2,16.1,16.8,5.3,15.2
2013,08,comercio,commerce,7.0,8.8,7.7,8.9,7.2,6.1,6.5,6.7,6.9,6.5,5.3,5.9,6.3,7.0,6.7
2013,08,otros servicios,other services,7.2,8.3,7.1,8.6,7.2,6.7,7.5,7.6,8.0,6.7,6.4,8.0,7.5,5.8,7.2
2013,08,pbi,gdp,6.0,6.9,5.5,6.9,5.7,4.6,7.1,7.4,7.5,6.5,6.3,6.8,6.8,4.3,6.3
2013,08,sectores primarios,primary sectors,8.1,4.4,0.6,2.2,1.6,-3.1,4.8,7.5,2.8,1.0,3.6,1.7,0.4,-3.2,1.7
2013,08,sectores no primarios,non primary sectors,5.6,7.4,6.3,7.8,6.4,6.2,7.6,7.4,8.4,7.4,6.7,7.6,7.8,5.5,7.1
2013,08,pbi desestacionalizado,seasonally adjusted gdp,1.3,,0.0,0.4,0.6,0.1,1.4,0.5,0.6,0.3,0.3,0.6,0.5,-0.4,
2013,08,indicador de demanda interna,domestic demand indicator,5.4,7.2,2.9,5.7,5.5,5.1,9.7,7.5,12.8,9.7,6.7,9.7,7.2,6.0,7.4
2013,08,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,0.3,,-0.1,0.5,1.0,1.3,1.5,1.0,1.3,0.1,0.1,0.5,-0.4,-0.5,
