year,wr,sectores_economicos,economic_sectors,2012_sep,2012_oct,2012_nov,2012_dic,2012_year,2013_ene,2013_feb,2013_mar,2013_abr,2013_may,2013_jun,2013_jul,2013_ago,2013_sep,2013_ene_sep
2013,46,agropecuario,agriculture and livestock,4.9,4.6,2.7,10.3,5.7,7.0,5.6,5.2,2.4,-2.0,0.0,-1.7,0.6,1.7,1.7
2013,46,agricola,agriculture,3.6,3.9,4.2,13.6,5.6,10.0,8.4,9.2,2.2,-3.1,-2.5,-4.3,1.3,0.9,1.4
2013,46,pecuario,livestock,6.3,5.3,1.0,6.5,5.9,3.7,2.6,0.0,2.9,0.8,4.2,2.1,-0.2,2.6,2.2
2013,46,pesca,fishing,18.9,15.4,-15.8,-47.2,-11.7,16.4,17.3,-15.8,-0.2,-10.1,2.6,11.9,-10.2,-7.1,0.3
2013,46,mineria e hidrocarburos,mining and fuel,5.2,-3.2,-1.3,-1.6,2.2,-4.9,-1.8,-2.3,4.8,3.7,6.0,3.5,7.9,-2.1,1.7
2013,46,mineria metalica,metals,4.7,-5.2,0.4,-2.6,2.2,-9.1,-3.3,-3.7,3.2,2.2,6.1,4.4,8.4,-2.5,0.7
2013,46,hidrocarburos,fuel,7.1,5.3,-9.1,3.1,2.3,16.3,4.7,3.9,12.1,10.7,5.4,-0.3,5.9,-0.2,6.3
2013,46,manufactura,manufacturing,1.6,4.7,4.1,-1.9,1.5,4.0,0.1,-4.2,5.9,1.0,3.0,1.3,-0.8,3.7,1.5
2013,46,de recursos primarios,based on raw materials,-4.3,7.7,-4.2,-20.0,-6.2,-0.8,2.2,-3.9,-6.9,6.8,13.5,1.6,4.3,10.1,3.1
2013,46,no primaria,nonprimary,2.6,4.2,5.5,2.1,2.9,4.8,-0.3,-4.3,8.2,0.0,1.1,1.2,-1.6,2.8,1.2
2013,46,electricidad y agua,electricity and water,4.1,3.7,5.6,4.5,5.2,6.3,3.9,4.1,6.4,5.6,6.0,7.1,4.9,6.0,5.6
2013,46,construccion,construction,18.6,16.1,16.8,5.2,15.1,18.4,14.3,3.7,26.4,10.7,7.0,11.5,7.7,-1.3,10.5
2013,46,comercio,commerce,5.3,5.9,6.3,7.0,6.7,5.5,5.6,4.0,7.5,6.6,5.0,4.3,5.4,5.5,5.5
2013,46,otros servicios,other services,6.5,7.8,7.8,5.6,7.1,6.9,5.5,4.0,7.3,6.0,4.9,5.6,5.1,6.1,5.7
2013,46,pbi,gdp,6.3,6.8,6.8,4.3,6.3,6.4,5.0,2.5,7.7,4.7,4.4,4.6,4.3,4.4,4.9
2013,46,sectores primarios,primary sectors,3.7,2.4,-0.3,-2.2,2.0,1.7,2.9,0.6,1.6,0.5,3.7,0.8,3.5,1.5,1.8
2013,46,sectores no primarios,non primary sectors,6.7,7.5,7.9,5.4,7.0,7.3,5.3,2.8,8.9,5.6,4.6,5.3,4.4,4.8,5.4
2013,46,pbi desestacionalizado,seasonally adjusted gdp,0.3,0.5,0.5,-0.5,,1.2,0.3,0.0,0.4,0.4,0.5,0.4,0.1,0.5,
2013,46,indicador de demanda interna,domestic demand indicator,6.7,9.7,7.2,6.0,7.3,11.8,9.2,3.5,8.3,4.9,5.4,5.6,2.8,4.8,6.2
2013,46,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,0.0,0.3,0.2,0.6,,1.2,0.2,-0.4,0.0,0.8,0.7,0.6,-0.1,0.5,
