year,wr,sectores_economicos,economic_sectors,2013_ene,2013_feb,2013_mar,2013_abr,2013_may,2013_jun,2013_jul,2013_ago,2013_sep,2013_oct,2013_nov,2013_dic,2013_year,2014_ene
2014,12,agropecuario,agriculture and livestock,6.0,5.7,5.4,0.8,-2.6,1.5,-3.6,0.5,2.5,2.9,4.2,-0.6,1.5,1.9
2014,12,agricola,agriculture,7.3,8.0,8.7,-0.2,-3.9,0.0,-6.8,0.5,1.9,2.4,2.5,-2.1,0.7,1.9
2014,12,pecuario,livestock,4.1,2.9,0.5,3.2,1.0,5.3,2.4,0.5,3.2,3.7,6.7,1.7,2.9,2.0
2014,12,pesca,fishing,23.1,6.8,-15.1,-26.3,-22.8,6.3,-23.8,39.2,11.2,15.0,261.4,79.1,18.1,-17.6
2014,12,mineria e hidrocarburos,mining and fuel,-2.3,-0.1,-2.1,6.7,4.0,8.4,5.8,9.5,1.3,6.2,7.6,6.7,4.3,5.5
2014,12,mineria metalica,metals,-7.5,-2.4,-4.9,4.4,1.6,7.8,6.3,10.3,1.6,10.4,7.0,7.5,3.6,8.1
2014,12,hidrocarburos,fuel,17.9,7.9,8.8,15.5,12.8,10.7,4.4,6.9,0.2,-7.7,9.5,3.6,7.2,-2.4
2014,12,manufactura,manufacturing,4.6,-3.0,-1.3,7.4,0.4,7.1,1.1,2.7,7.4,7.5,12.5,12.2,4.9,0.4
2014,12,procesadores recursos primarios,based on raw materials,1.1,-11.8,-2.1,-5.7,-0.7,14.6,-6.1,10.7,8.6,15.5,56.4,38.5,9.6,4.7
2014,12,manufactura no primaria,nonprimary,5.8,-0.2,-1.1,11.8,0.9,3.8,3.9,0.6,7.1,5.5,-0.3,2.7,3.3,-1.0
2014,12,electricidad y agua,electricity and water,6.1,3.9,3.9,6.1,5.6,6.1,6.6,4.8,6.0,7.2,4.3,5.9,5.5,5.1
2014,12,construccion,construction,18.3,11.3,4.1,31.1,9.6,7.5,20.4,6.8,-4.5,3.1,2.9,2.4,8.4,3.2
2014,12,comercio,commerce,5.3,5.7,4.3,7.6,6.6,5.0,4.5,5.6,5.6,6.3,6.7,7.1,5.9,4.7
2014,12,otros servicios,other services,6.6,6.6,5.2,7.3,6.1,6.1,6.2,6.3,6.6,6.8,6.4,6.2,6.4,6.7
2014,12,derechos de importacion y otros impuestos,import duties and other taxes,10.7,4.9,1.1,12.2,4.2,3.7,4.0,2.9,3.2,4.5,0.6,3.7,4.5,1.1
2014,12,pbi,gdp,6.1,4.2,2.7,8.5,4.1,6.0,5.2,5.6,4.7,6.1,7.2,6.7,5.6,4.2
2014,12,sectores primarios,primary sectors,0.7,-0.4,-0.4,2.5,0.1,7.1,0.7,7.9,2.7,7.0,17.4,11.6,4.7,3.9
2014,12,sectores no primarios,non primary sectors,7.6,5.4,3.5,10.2,5.4,5.6,6.4,5.0,5.2,5.9,4.7,5.5,5.8,4.3
2014,12,pbi desestacionalizado,seasonally adjusted gdp,1.3,0.0,0.4,-0.4,0.0,2.2,0.5,1.0,-0.7,1.6,0.5,0.2,,-1.1
