year,wr,sectores_economicos,economic_sectors,2013_oct,2013_nov,2013_dic,2013_year,2014_ene,2014_feb,2014_mar,2014_abr,2014_may,2014_jun,2014_jul,2014_ago,2014_sep,2014_oct,2014_ene_oct
2014,49,agropecuario,agriculture and livestock,2.6,4.4,-0.1,1.6,2.3,0.4,0.8,3.7,0.2,-4.4,2.2,3.7,1.6,1.6,1.0
2014,49,agricola,agriculture,2.3,3.1,-1.1,1.0,2.5,-0.7,-1.5,4.0,-0.7,-7.2,2.0,3.8,0.3,0.2,-0.1
2014,49,pecuario,livestock,3.2,6.2,1.4,2.5,2.2,1.8,4.5,3.1,2.7,2.4,2.6,3.7,3.2,3.5,3.0
2014,49,pesca,fishing,15.0,261.4,79.1,18.1,-17.6,18.2,22.3,82.2,-9.3,-30.7,13.5,-22.0,-26.4,-9.7,-5.5
2014,49,mineria e hidrocarburos,mining and fuel,6.8,8.2,7.4,4.9,5.5,8.0,1.6,-4.8,-2.0,-5.9,-1.3,-3.7,-3.1,3.8,-0.4
2014,49,mineria metalica,metals,11.2,7.7,8.4,4.3,8.1,9.9,-0.7,-7.9,-2.9,-6.8,-3.4,-4.1,-4.8,0.2,-1.6
2014,49,hidrocarburos,fuel,-7.7,9.5,3.6,7.2,-2.4,1.9,9.4,6.0,0.9,-2.6,6.9,-2.3,3.0,17.6,3.7
2014,49,manufactura,manufacturing,9.1,15.2,12.6,5.1,1.0,4.7,7.9,2.1,-3.0,-8.3,-5.1,-2.6,-1.8,-3.1,-1.0
2014,49,procesadores recursos primarios,based on raw materials,14.1,53.4,34.5,8.2,3.3,17.3,8.5,27.3,-8.3,-24.6,-0.6,-4.1,-6.8,-11.2,-1.6
2014,49,manufactura no primaria,nonprimary,7.8,3.8,4.0,3.9,0.1,1.1,7.6,-5.3,-0.7,0.3,-6.7,-2.0,-0.3,-0.7,-0.7
2014,49,electricidad y agua,electricity and water,7.2,4.3,5.9,5.5,4.9,6.1,6.1,4.8,5.1,4.9,4.3,4.4,4.7,4.7,5.0
2014,49,construccion,construction,4.3,4.5,3.5,8.9,3.8,9.8,3.1,-8.9,5.8,2.4,-6.0,-3.7,6.9,-3.2,0.5
2014,49,comercio,commerce,6.3,6.7,7.1,5.9,4.7,5.3,5.6,3.5,4.2,5.5,4.2,3.2,4.5,4.2,4.5
2014,49,otros servicios,other services,7.0,6.7,6.4,6.5,6.8,6.1,6.7,6.0,5.6,5.7,5.2,5.1,5.5,5.5,5.8
2014,49,derechos de importacion y otros impuestos,import duties and other taxes,4.4,0.7,3.5,4.8,1.0,1.6,5.3,1.7,0.9,-0.1,-1.7,-1.0,0.9,-0.7,0.7
2014,49,pbi,gdp,6.6,8.0,7.0,5.8,4.4,5.6,5.5,2.5,2.3,0.3,1.3,1.3,2.7,2.4,2.8
2014,49,sectores primarios,primary sectors,7.0,17.2,11.6,4.8,3.8,7.5,2.6,3.1,-2.5,-9.5,0.0,-2.4,-3.0,0.7,-0.3
2014,49,sectores no primarios,non primary sectors,6.5,5.7,5.9,6.0,4.5,5.1,6.2,2.3,3.9,3.6,1.6,2.3,4.0,2.8,3.6
2014,49,pbi desestacionalizado,seasonally adjusted gdp,0.9,0.9,-0.2,,-0.6,0.8,-0.5,0.8,-0.6,-0.4,0.6,0.3,0.8,0.2,3.0
2014,49,indicador de demanda interna,domestic demand indicator,5.9,7.1,5.6,7.0,3.3,1.5,6.9,2.2,2.2,0.6,0.5,3.0,4.0,2.0,2.6
2014,49,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,1.9,0.1,-0.2,,0.1,-0.8,1.0,0.4,-1.0,0.1,0.7,0.5,1.0,-0.1,
