year,wr,sectores_economicos,economic_sectors,2014_ene,2014_feb,2014_mar,2014_abr,2014_may,2014_jun,2014_jul,2014_ago,2014_sep,2014_oct,2014_nov,2014_dic,2014_year,2015_ene
2015,12,agropecuario,agriculture and livestock,-0.4,0.5,0.9,4.0,-0.1,-4.2,2.2,3.5,2.1,1.4,5.4,0.8,1.4,-3.0
2015,12,agricola,agriculture,-5.8,-1.0,-1.5,4.4,-0.9,-6.9,1.7,3.2,0.9,0.5,6.4,-2.3,0.2,-8.0
2015,12,pecuario,livestock,6.9,2.5,4.7,3.2,2.1,2.6,2.9,3.9,3.6,2.5,4.1,5.2,3.3,3.9
2015,12,pesca,fishing,-37.3,16.1,-1.9,57.8,-10.2,-30.1,6.6,-26.9,-35.1,-15.1,-70.8,-65.8,-27.9,-23.5
2015,12,mineria e hidrocarburos,mining and fuel,11.6,8.0,1.6,-4.8,-2.0,-5.8,-1.6,-3.9,-3.1,3.8,0.5,-5.2,-0.8,5.6
2015,12,mineria metalica,metals,14.6,9.9,-0.7,-7.9,-2.9,-6.7,-3.9,-4.4,-4.8,0.2,-0.9,-7.7,-2.1,5.8
2015,12,hidrocarburos,fuel,2.4,1.9,9.4,6.0,0.9,-2.6,6.9,-2.3,3.0,17.6,5.7,4.6,4.0,5.1
2015,12,manufactura,manufacturing,-5.4,4.2,8.2,2.1,-1.9,-8.6,-5.1,-3.0,-2.2,-3.3,-13.8,-12.4,-3.3,-5.5
2015,12,procesadores recursos primarios,based on raw materials,-13.0,16.1,7.4,26.5,-8.7,-24.9,-0.4,-4.7,-7.8,-11.5,-41.3,-34.6,-9.7,-15.8
2015,12,manufactura no primaria,nonprimary,-2.9,0.9,8.4,-5.2,1.0,0.0,-6.9,-2.7,-0.7,-1.1,-1.6,-1.9,-1.0,-1.8
2015,12,electricidad y agua,electricity and water,9.5,6.1,6.1,4.8,5.1,4.9,4.3,4.4,4.8,4.7,4.5,4.3,4.9,4.3
2015,12,construccion,construction,1.3,8.6,2.8,-6.4,5.1,2.4,-2.3,-4.0,7.0,-3.6,3.7,5.0,1.7,-3.0
2015,12,comercio,commerce,8.4,5.3,5.6,3.5,4.2,5.5,4.2,3.2,4.5,4.2,3.8,4.5,4.4,3.6
2015,12,otros servicios,other services,12.3,6.1,6.7,6.1,5.7,5.8,5.3,5.2,5.7,5.7,5.3,5.9,5.8,5.3
2015,12,derechos de importacion y otros impuestos,import duties and other taxes,-1.6,1.6,5.3,1.7,0.9,-0.1,-1.7,-1.0,0.9,-0.7,0.1,1.8,0.8,-2.6
2015,12,pbi,gdp,6.0,5.4,5.4,2.6,2.5,0.4,1.5,1.2,2.7,2.4,0.2,0.5,2.4,1.7
2015,12,sectores primarios,primary sectors,3.2,7.3,2.2,2.9,-2.7,-9.4,-0.3,-2.8,-3.2,0.5,-9.6,-11.9,-2.3,-0.6
2015,12,sectores no primarios,non primary sectors,6.8,4.9,6.3,2.6,4.1,3.6,2.0,2.2,4.1,2.9,2.9,3.8,3.6,2.3
2015,12,pbi desestacionalizado,seasonally adjusted gdp,-0.7,0.7,-0.5,0.8,-0.7,-0.5,0.7,0.1,0.8,0.2,-0.6,0.3,,0.5
2015,12,indicador de demanda intern,domestic demand indicator,2.7,0.9,6.5,1.7,1.6,0.0,0.1,2.4,3.3,2.1,0.4,2.7,2.0,0.3
2015,12,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,-0.2,-0.5,0.5,0.2,-0.4,-0.2,0.5,0.7,0.7,0.4,-0.3,0.3,,-0.4
