year,wr,sectores_economicos,economic_sectors,2014_dic,2014_year,2015_ene,2015_feb,2015_mar,2015_abr,2015_may,2015_jun,2015_jul,2015_ago,2015_sep,2015_oct,2015_nov,2015_dic,2015_year
2016,08,agropecuario,agriculture and livestock,2.0,1.9,-2.0,3.0,1.9,-1.3,2.8,8.6,5.9,1.9,4.6,5.2,0.8,1.7,2.8
2016,08,agricola,agriculture,-0.4,0.7,-7.2,1.5,0.8,-4.3,1.4,9.8,5.4,-0.9,3.2,4.7,-1.6,-0.3,1.3
2016,08,pecuario,livestock,9.1,5.8,5.1,4.9,3.7,5.4,6.4,5.9,6.7,5.4,6.2,5.8,4.1,4.2,5.3
2016,08,pesca,fishing,-65.8,-27.9,-23.5,-11.8,17.7,143.5,23.2,-29.6,-37.5,-10.3,3.7,-8.7,49.0,82.5,15.9
2016,08,mineria e hidrocarburos,mining and fuel,-5.2,-0.9,5.9,-2.0,8.7,9.3,1.8,11.4,11.2,6.4,13.0,10.7,11.3,22.4,9.3
2016,08,mineria metalica,metals,-7.7,-2.2,6.2,-0.5,14.8,18.2,9.0,15.5,19.0,13.6,22.7,17.3,17.7,30.7,15.5
2016,08,hidrocarburos,fuel,4.6,4.0,5.1,-7.3,-9.6,-17.1,-22.1,-3.4,-15.1,-19.9,-19.4,-11.5,-10.5,-5.5,-11.5
2016,08,manufactura,manufacturing,-12.0,-3.6,-6.8,-4.4,-4.1,5.6,-3.5,-2.7,-0.7,-2.1,-4.2,-3.3,1.4,5.0,-1.7
2016,08,procesadores recursos primarios,based on raw materials,-36.2,-9.3,-16.4,-12.2,-6.7,34.2,3.0,-4.1,-10.3,-4.7,-8.3,3.6,17.8,24.2,1.6
2016,08,manufactura no primaria,nonprimary,-1.3,-1.5,-3.6,-2.1,-3.1,-5.1,-6.2,-2.0,2.8,-1.3,-3.0,-5.1,-2.9,-0.7,-2.7
2016,08,electricidad y agua,electricity and water,4.3,4.9,4.6,3.7,5.6,5.7,5.4,5.5,5.4,6.7,6.8,7.2,7.4,10.1,6.2
2016,08,construccion,construction,7.0,1.9,-2.8,-9.6,-7.7,-8.7,-13.3,-3.7,-7.5,-8.1,-4.8,-1.1,-6.5,0.1,-5.9
2016,08,comercio,commerce,4.5,4.4,3.6,3.4,3.9,3.5,3.7,4.1,4.3,4.0,4.1,4.0,4.1,3.6,3.9
2016,08,otros servicios,other services,6.0,6.0,5.0,5.0,5.6,4.9,4.8,5.4,5.1,4.9,4.5,4.9,5.4,5.1,5.1
2016,08,derechos de importacion y otros impuestos,import duties and other taxes,1.8,0.8,-2.6,0.8,0.2,-1.2,-4.3,2.8,0.6,1.9,2.3,-0.4,1.4,3.0,0.3
2016,08,pbi,gdp,0.9,2.4,1.5,1.1,2.8,4.2,1.2,4.1,3.6,2.7,3.4,3.4,4.1,6.4,3.3
2016,08,sectores primarios,primary sectors,-11.9,-2.2,-0.3,-2.5,4.7,12.9,2.9,7.2,5.6,3.6,7.9,8.2,10.1,18.6,6.6
2016,08,sectores no primarios,non primary sectors,4.2,3.6,2.0,2.0,2.4,1.8,0.7,3.1,3.0,2.5,2.4,2.3,2.6,3.7,2.4
2016,08,pbi desestacionalizado,seasonally adjusted gdp,0.7,,0.4,0.4,1.1,0.5,-1.0,1.2,0.6,-0.3,0.7,-0.2,0.1,2.1,
2016,08,indicador de demanda interna,domestic demand indicator,2.5,2.1,0.6,3.9,5.0,5.0,1.1,4.2,2.5,1.6,3.8,1.0,3.7,3.9,3.0
2016,08,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,2.1,,-0.6,0.3,1.4,-0.3,-0.5,0.5,-0.7,0.0,2.5,-2.8,1.8,3.1,
