year,wr,sectores_economicos,economic_sectors,2015_nov,2015_dic,2015_year,2016_ene,2016_feb,2016_mar,2016_abr,2016_may,2016_jun,2016_jul,2016_ago,2016_sep,2016_oct,2016_ene_oct
2016,48,agropecuario,agriculture and livestock,0.8,2.9,3.4,5.6,0.4,-0.3,3.3,0.0,-0.5,-2.0,4.9,0.5,0.9,1.1
2016,48,agricola,agriculture,-1.9,1.9,2.1,8.8,-1.0,0.0,3.7,-1.5,-2.5,-6.9,2.7,-3.5,-0.6,-0.4
2016,48,pecuario,livestock,4.4,4.3,5.5,1.8,2.1,-0.7,2.5,3.6,4.3,5.9,7.4,5.0,2.8,3.5
2016,48,pesca,fishing,49.0,82.5,15.9,40.4,-18.9,-19.0,-77.1,-67.0,-0.4,103.2,65.6,20.9,3.4,-20.7
2016,48,mineria e hidrocarburos,mining and fuel,11.6,23.1,9.5,8.1,23.7,16.2,22.8,33.1,15.8,14.1,19.1,14.2,15.6,18.1
2016,48,mineria metalica,metals,17.7,30.7,15.5,18.6,33.7,23.4,27.7,36.7,22.3,16.0,19.8,16.6,21.6,23.3
2016,48,hidrocarburos,fuel,-10.5,-5.5,-11.5,-29.5,-13.6,-11.8,1.8,17.3,-12.2,5.2,15.9,2.1,-10.8,-4.5
2016,48,manufactura,manufacturing,1.7,5.3,-1.5,-3.0,-0.3,-4.5,-13.2,-9.1,-1.5,0.9,2.4,2.6,-3.3,-3.0
2016,48,procesadores recursos primarios,based on raw materials,17.7,24.8,1.8,8.1,5.1,-5.0,-40.9,-28.0,-1.9,24.4,13.0,15.8,-0.5,-4.4
2016,48,manufactura no primaria,nonprimary,-2.4,-0.5,-2.6,-6.2,-1.4,-4.1,2.7,-1.0,-1.7,-6.8,-1.1,-0.8,-4.2,-2.5
2016,48,electricidad y agua,electricity and water,7.2,9.9,5.9,8.5,14.2,8.4,9.1,7.0,5.6,6.5,6.8,6.7,5.5,7.8
2016,48,construccion,construction,-6.5,0.5,-5.8,-2.7,5.4,3.4,1.4,5.6,-3.8,-7.9,1.1,-3.8,-16.5,-2.3
2016,48,comercio,commerce,4.1,3.6,3.9,2.6,3.4,2.4,3.1,2.3,1.5,1.2,1.8,1.3,0.7,2.0
2016,48,otros servicios,other services,5.4,5.0,5.1,5.2,5.4,4.7,4.9,4.5,4.4,4.2,4.1,3.7,3.2,4.4
2016,48,derechos de importacion y otros impuestos,import duties and other taxes,1.4,3.0,0.3,2.4,4.1,-1.3,2.0,3.6,0.7,0.8,4.3,4.8,1.7,2.3
2016,48,pbi,gdp,4.2,6.6,3.3,3.6,6.2,3.7,2.7,4.8,3.6,3.7,5.6,4.1,2.1,4.0
2016,48,sectores primarios,primary sectors,10.2,19.4,6.9,8.0,14.5,8.7,0.6,10.2,8.3,12.3,15.5,11.4,10.1,9.8
2016,48,sectores no primarios,non primary sectors,2.7,3.7,2.4,2.5,4.2,2.4,3.3,3.2,2.2,1.3,3.1,2.4,0.1,2.5
2016,48,pbi desestacionalizado,seasonally adjusted gdp,-0.1,1.3,,-0.6,1.1,-0.1,-0.7,1.0,0.1,0.7,0.3,0.1,-0.3,
2016,48,indicador de demanda interna,domestic demand indicator,3.7,4.4,3.0,2.2,4.2,-0.6,-2.8,0.4,3.4,-2.6,4.7,1.7,0.0,1.0
2016,48,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,0.2,1.3,,-0.8,0.5,-1.9,0.2,-0.4,2.9,-1.5,1.3,0.6,-0.7,
