year,wr,sectores_economicos,economic_sectors,2016_ago,2016_sep,2016_oct,2016_nov,2016_dic,2016_year,2017_ene,2017_feb,2017_mar,2017_abr,2017_may,2017_jun,2017_jul,2017_ene_jul
2017,37,agropecuario,agriculture and livestock,6.1,2.6,3.8,5.1,2.0,2.3,1.0,-1.0,-2.2,-0.9,-2.1,6.4,9.0,1.5
2017,37,agricola,agriculture,4.2,0.2,4.5,7.8,0.2,1.2,-3.1,-4.0,-5.9,-2.9,-2.2,10.2,14.3,1.4
2017,37,pecuario,livestock,8.3,5.3,3.0,1.7,4.2,4.0,6.3,2.5,3.2,3.3,-2.1,-1.8,1.4,1.7
2017,37,pesca,fishing,65.6,20.9,3.4,23.3,40.5,-10.1,42.2,30.6,37.3,101.0,280.4,52.0,-49.4,50.7
2017,37,mineria e hidrocarburos,mining and fuel,19.4,14.5,15.7,11.6,5.4,16.3,14.9,1.4,-2.7,0.0,-0.6,6.2,1.8,2.8
2017,37,mineria metalica,metals,20.0,16.9,21.7,15.5,8.3,21.2,14.1,1.5,-2.7,1.9,1.7,6.9,4.3,3.8
2017,37,hidrocarburos,fuel,15.9,2.1,-10.8,-5.9,-9.5,-5.1,19.5,1.2,-2.8,-9.9,-13.0,2.5,-11.0,-2.8
2017,37,manufactura,manufacturing,3.0,2.7,-2.7,4.1,7.2,-1.4,6.2,-2.9,2.4,-2.2,11.1,2.0,-6.3,1.4
2017,37,procesadores recursos primarios,based on raw materials,17.2,15.2,-1.7,15.2,22.4,-0.6,20.8,7.6,5.0,22.2,55.3,17.5,-18.2,14.0
2017,37,manufactura no primaria,nonprimary,-1.1,-0.5,-3.1,0.5,1.5,-1.7,1.3,-5.9,1.5,-9.1,-2.4,-3.3,-0.7,-2.7
2017,37,electricidad y agua,electricity and water,6.8,6.6,5.6,5.7,4.6,7.3,5.7,-2.0,-0.7,-0.9,2.7,3.1,1.3,1.3
2017,37,construccion,construction,1.1,-3.8,-16.5,-8.7,-4.2,-3.1,-5.3,-6.9,-3.9,-8.0,-3.9,3.5,3.8,-2.9
2017,37,comercio,commerce,1.8,1.3,0.7,0.5,1.3,1.8,0.9,0.2,-0.8,-0.6,1.5,1.7,1.2,0.6
2017,37,otros servicios,other services,4.4,4.1,3.0,3.1,3.1,4.3,3.6,2.8,2.3,2.2,3.2,3.0,2.9,2.8
2017,37,derechos de importacion y otros impuestos,import duties and other taxes,4.3,4.8,1.8,3.3,3.9,2.5,6.0,1.4,4.0,-0.4,5.5,2.7,4.2,3.3
2017,37,pbi,gdp,5.8,4.4,2.3,3.5,3.3,4.0,4.9,0.7,0.9,0.2,3.5,3.6,1.6,2.2
2017,37,sectores primarios,primary sectors,16.4,11.9,10.6,10.8,7.9,9.9,13.1,2.0,-1.2,3.2,7.0,8.3,-0.5,4.5
2017,37,sectores no primarios,non primary sectors,3.1,2.6,0.1,1.6,2.1,2.4,2.7,0.4,1.5,-0.6,2.3,2.1,2.2,1.5
2017,37,pbi desestacionalizado,seasonally adjusted gdp,0.7,-0.1,-0.6,0.7,0.5,,0.7,-1.0,-0.1,-0.2,1.5,0.4,-0.7,
2017,37,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,
2017,37,demanda interna sin inventarios,domestic demand without inventories,2.2,1.2,-2.9,-0.4,-2.7,1.0,0.3,-2.7,-1.3,-2.2,1.3,2.4,3.4,0.2
2017,37,demanda interna sin inventarios desestacionalizada,seasonally adjusted domestic demand without inventories,0.5,0.5,-1.1,0.1,0.1,,0.7,-0.7,0.3,0.1,1.2,0.6,1.2,
2017,37,demanda interna,domestic demand,4.7,2.1,-0.1,0.8,0.6,1.0,-0.4,-4.0,1.1,0.5,2.7,-1.9,5.3,0.5
2017,37,demanda interna desestacionalizada,seasonally adjusted domestic demand,1.1,0.6,-1.1,-1.6,2.9,,-3.6,0.2,1.5,0.9,-0.8,-0.9,5.6,
