year,wr,sectores_economicos,economic_sectors,2016_oct,2016_nov,2016_dic,2016_year,2017_ene,2017_feb,2017_mar,2017_abr,2017_may,2017_jun,2017_jul,2017_ago,2017_sep,2017_ene_sep
2017,46,agropecuario,agriculture and livestock,4.3,5.9,2.5,2.6,1.5,-0.9,-1.7,-1.6,-3.3,5.1,10.7,1.7,3.1,1.5
2017,46,agricola,agriculture,5.5,9.1,1.1,1.7,-2.6,-4.0,-5.6,-4.2,-4.2,7.7,16.8,1.3,1.3,0.8
2017,46,pecuario,livestock,3.0,1.7,4.2,4.0,6.7,3.1,4.0,3.8,-1.1,-0.6,1.9,2.2,5.0,2.7
2017,46,pesca,fishing,3.4,23.3,40.5,-10.1,42.2,30.6,37.3,101.0,280.4,52.0,-49.4,-40.5,-30.0,34.2
2017,46,mineria e hidrocarburos,mining and fuel,15.7,11.6,5.4,16.3,14.9,1.4,-2.7,0.0,-0.6,6.1,2.0,3.6,7.1,3.4
2017,46,mineria metalica,metals,21.7,15.5,8.3,21.2,14.1,1.5,-2.7,1.9,1.7,6.9,4.5,4.4,9.1,4.5
2017,46,hidrocarburos,fuel,-10.8,-5.9,-9.5,-5.1,19.5,1.2,-2.8,-9.9,-13.0,2.5,-11.0,-0.5,-4.4,-2.7
2017,46,manufactura,manufacturing,-2.7,4.1,7.2,-1.4,6.3,-2.8,2.5,-2.1,11.4,2.4,-5.5,-0.9,-2.6,0.8
2017,46,procesadores recursos primarios,based on raw materials,-1.7,15.2,22.4,-0.6,20.8,7.8,5.1,22.3,55.7,17.4,-18.0,-7.0,-2.8,9.6
2017,46,manufactura no primaria,nonprimary,-3.1,0.5,1.5,-1.7,1.3,-5.9,1.8,-8.9,-2.3,-2.8,0.2,1.2,-2.5,-2.0
2017,46,electricidad y agua,electricity and water,5.6,5.7,4.6,7.3,5.8,-2.0,-0.6,-0.8,2.8,3.1,1.4,1.9,1.8,1.5
2017,46,construccion,construction,-16.5,-8.7,-4.2,-3.1,-5.3,-6.9,-3.9,-8.0,-3.9,3.1,3.3,4.4,8.9,-0.7
2017,46,comercio,commerce,0.7,0.5,1.3,1.8,0.9,0.2,-0.8,-0.6,1.5,1.7,1.2,1.2,1.6,0.8
2017,46,otros servicios,other services,3.0,3.1,3.1,4.3,3.5,2.8,2.5,2.3,3.2,3.1,3.1,3.2,3.3,3.0
2017,46,derechos de importacion y otros impuestos,import duties and other taxes,1.8,3.3,3.9,2.5,6.0,1.4,4.0,-0.4,5.5,2.7,4.2,5.0,4.4,3.7
2017,46,pbi,gdp,2.3,3.5,3.4,4.0,5.0,0.7,1.0,0.3,3.4,3.6,1.8,2.5,3.2,2.4
2017,46,sectores primarios,primary sectors,10.7,11.0,8.0,10.0,13.2,2.0,-1.1,3.0,6.7,7.9,0.0,1.2,4.6,4.1
2017,46,sectores no primarios,non primary sectors,0.1,1.6,2.2,2.4,2.7,0.4,1.6,-0.5,2.4,2.2,2.4,2.8,2.8,1.9
2017,46,pbi desestacionalizado,seasonally adjusted gdp,-0.5,0.7,0.5,,0.7,-0.9,0.0,-0.1,1.5,0.5,-0.4,0.6,0.5,
2017,46,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,
2017,46,demanda interna sin inventarios,domestic demand without inventories,-2.8,-0.5,-2.8,0.9,-0.4,-2.6,-0.9,-1.8,1.3,2.4,3.3,2.7,3.2,0.9
2017,46,demanda interna sin inventarios desestacionalizada,seasonally adjusted domestic demand without inventories,0.4,0.1,-1.8,,-0.3,0.6,2.9,0.2,1.8,2.4,7.3,8.0,7.8,
2017,46,demanda interna,domestic demand,-0.1,0.9,0.6,1.1,-0.4,-4.0,1.2,0.3,2.5,-2.2,5.5,1.7,0.2,0.5
2017,46,demanda interna desestacionalizada,seasonally adjusted domestic demand,4.1,-0.6,0.2,,-2.7,-2.2,-3.8,0.4,4.4,5.8,6.5,4.8,8.8,
