year,wr,sectores_economicos,economic_sectors,2016_dic,2016_year,2017_ene,2017_feb,2017_mar,2017_abr,2017_may,2017_jun,2017_jul,2017_ago,2017_sep,2017_oct,2017_nov,2017_ene_nov
2018,03,agropecuario,agriculture and livestock,2.5,2.6,1.5,-0.9,-1.7,-1.6,-3.3,5.1,10.7,1.7,3.1,-2.5,0.9,1.2
2018,03,agricola,agriculture,1.1,1.7,-2.6,-4.0,-5.6,-4.2,-4.2,7.7,16.8,1.3,1.3,-8.0,-1.3,0.0
2018,03,pecuario,livestock,4.2,3.9,6.7,3.1,4.0,3.8,-1.1,-0.6,1.9,2.2,5.0,4.2,3.9,2.9
2018,03,pesca,fishing,40.5,-10.1,42.2,30.6,37.3,101.0,280.4,52.0,-49.4,-40.5,-30.0,-12.4,-45.6,20.4
2018,03,mineria e hidrocarburos,mining and fuel,5.4,16.3,14.9,1.4,-2.7,0.0,-0.6,6.1,2.0,3.6,7.1,-1.5,3.6,2.9
2018,03,mineria metalica,metals,8.3,21.2,14.1,1.5,-2.7,1.9,1.7,6.9,4.5,4.4,9.1,-1.6,5.0,3.9
2018,03,hidrocarburos,fuel,-9.5,-5.1,19.5,1.2,-2.8,-9.9,-13.0,2.5,-11.0,-0.5,-4.4,-0.9,-3.8,-2.7
2018,03,manufactura,manufacturing,7.2,-1.4,6.3,-2.8,2.5,-2.1,11.4,2.4,-5.5,-0.9,-2.6,1.6,-6.6,0.2
2018,03,procesadores recursos primarios,based on raw materials,22.4,-0.6,20.8,7.8,5.1,22.3,55.7,17.4,-18.0,-7.0,-2.8,2.9,-17.6,6.2
2018,03,manufactura no primaria,nonprimary,1.5,-1.7,1.3,-5.9,1.8,-8.9,-2.3,-2.8,0.2,1.2,-2.5,1.3,-2.6,-1.7
2018,03,electricidad y agua,electricity and water,4.6,7.3,5.8,-2.0,-0.6,-0.8,2.8,3.1,1.4,1.9,1.8,1.0,0.8,1.4
2018,03,construccion,construction,-4.2,-3.1,-5.3,-6.9,-3.9,-8.0,-3.9,3.1,3.3,4.4,8.9,14.3,5.3,1.3
2018,03,comercio,commerce,1.3,1.8,0.9,0.2,-0.8,-0.6,1.5,1.7,1.2,1.2,1.6,1.4,1.7,0.9
2018,03,otros servicios,other services,3.1,4.3,3.5,2.8,2.5,2.3,3.2,3.1,3.1,3.2,3.3,3.9,3.5,3.1
2018,03,derechos de importacion y otros impuestos,import duties and other taxes,3.9,2.5,6.0,1.4,4.0,-0.4,5.5,2.7,4.2,5.0,4.4,7.2,4.9,4.1
2018,03,pbi,gdp,3.4,4.0,5.0,0.7,1.0,0.3,3.4,3.6,1.8,2.5,3.2,3.0,1.8,2.4
2018,03,sectores primarios,primary sectors,8.0,10.0,13.2,2.0,-1.1,3.0,6.7,7.9,0.0,1.2,4.6,-1.3,-1.0,3.1
2018,03,sectores no primarios,non primary sectors,2.2,2.4,2.7,0.4,1.6,-0.5,2.4,2.2,2.4,2.8,2.8,4.2,2.6,2.2
2018,03,pbi desestacionalizado,seasonally adjusted gdp,0.5,,0.7,-0.9,0.0,-0.1,1.5,0.5,-0.4,0.6,0.5,-0.4,-0.6,
2018,03,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,
2018,03,demanda interna sin inventarios,domestic demand without inventories,-2.8,0.9,-0.3,-2.5,-0.8,-1.7,1.4,2.5,3.4,2.8,3.3,4.2,3.9,1.5
2018,03,demanda interna sin inventarios desestacionalizada,seasonally adjusted domestic demand without inventories,-1.8,,-0.2,0.9,3.4,0.5,1.9,2.4,7.3,8.0,7.7,5.3,4.5,
2018,03,demanda interna,domestic demand,0.6,1.1,-0.6,-4.3,0.8,0.0,2.1,-2.7,5.1,1.3,-0.5,6.6,3.1,1.0
2018,03,demanda interna desestacionalizada,seasonally adjusted domestic demand,0.3,,-3.0,-2.9,-4.9,-0.6,3.8,5.5,6.2,4.4,8.3,7.0,6.1,
