year,wr,sectores_economicos,economic_sectors,2017_ene,2017_feb,2017_mar,2017_abr,2017_may,2017_jun,2017_jul,2017_ago,2017_sep,2017_oct,2017_nov,2017_dic,2017_ene_dic
2018,07,agropecuario,agriculture and livestock,1.8,-1.0,-1.8,-0.5,-3.6,5.9,11.8,1.9,6.5,0.8,-0.2,11.5,2.6
2018,07,agricola,agriculture,-2.1,-4.0,-5.5,-2.5,-4.7,9.0,18.7,2.1,8.2,-2.0,-3.1,19.5,2.6
2018,07,pecuario,livestock,6.8,2.6,3.5,3.7,-1.0,-0.7,1.8,1.8,4.7,4.3,3.7,1.8,2.7
2018,07,pesca,fishing,42.2,30.6,37.3,101.0,280.4,52.0,-49.4,-40.5,-30.0,-12.4,-45.6,-66.9,4.7
2018,07,mineria e hidrocarburos,mining and fuel,14.9,1.4,-2.7,0.0,-0.6,6.3,2.1,3.7,7.1,-1.5,3.7,5.6,3.2
2018,07,mineria metalica,metals,14.1,1.5,-2.7,1.9,1.7,7.0,4.7,4.4,9.1,-1.6,5.0,6.6,4.2
2018,07,hidrocarburos,fuel,19.5,1.2,-2.8,-9.9,-13.0,2.5,-11.0,-0.5,-4.4,-0.9,-3.8,-0.3,-2.4
2018,07,manufactura,manufacturing,6.8,-2.5,2.6,-1.7,12.5,3.2,-4.7,0.5,-1.2,2.9,-5.6,-12.5,-0.3
2018,07,procesadores recursos primarios,based on raw materials,21.0,7.8,5.1,22.4,56.7,17.4,-18.3,-7.2,-3.0,2.7,-17.8,-32.1,1.9
2018,07,manufactura no primaria,nonprimary,2.0,-5.4,1.8,-8.5,-0.9,-1.8,1.4,3.1,-0.7,3.0,-1.3,-3.6,-0.9
2018,07,electricidad y agua,electricity and water,5.8,-1.9,-0.6,-0.9,2.7,3.1,1.4,1.9,1.7,1.0,0.3,-0.6,1.1
2018,07,construccion,construction,-5.0,-6.9,-3.9,-8.1,-3.9,3.3,3.6,4.6,8.9,16.2,5.6,6.6,2.2
2018,07,comercio,commerce,0.9,0.2,-0.8,-0.6,1.5,1.7,1.2,1.2,1.6,1.4,1.7,1.9,1.0
2018,07,otros servicios,other services,3.7,2.9,2.5,2.5,3.4,3.3,3.3,3.5,3.6,4.2,3.7,3.8,3.4
2018,07,derechos de importacion y otros impuestos,import duties and other taxes,6.0,1.4,4.0,-0.4,5.5,2.7,4.2,5.0,4.4,7.2,4.9,-1.3,3.6
2018,07,pbi,gdp,5.1,0.8,1.0,0.4,3.6,3.9,2.1,2.8,3.6,3.6,2.0,1.3,2.5
2018,07,sectores primarios,primary sectors,13.3,2.0,-1.1,3.3,6.7,8.2,0.3,1.3,5.3,-0.6,-1.2,-1.5,2.9
2018,07,sectores no primarios,non primary sectors,2.9,0.5,1.6,-0.4,2.6,2.5,2.7,3.3,3.2,4.7,2.9,2.1,2.4
2018,07,pbi desestacionalizado,seasonally adjusted gdp,0.3,-0.9,-0.5,1.0,0.8,0.5,-0.5,0.7,0.6,-0.4,-0.2,0.3,
2018,07,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,
2018,07,demanda interna sin inventarios,domestic demand without inventories,-0.2,-2.4,-0.7,-1.6,1.4,2.5,3.6,2.9,3.4,4.4,3.9,3.9,1.8
2018,07,demanda interna sin inventarios desestacionalizada,seasonally adjusted domestic demand without inventories,-0.9,0.0,2.4,2.6,4.4,5.6,7.5,7.0,6.7,4.3,3.6,2.0,
2018,07,demanda interna,domestic demand,-0.3,-4.2,0.9,0.0,2.0,-2.5,5.1,1.3,-0.3,6.7,2.7,3.5,1.3
2018,07,demanda interna desestacionalizada,seasonally adjusted domestic demand,-3.0,-3.7,-3.9,-0.3,4.7,6.0,6.8,5.1,9.0,6.7,6.0,6.6,
