year,wr,sectores_economicos,economic_sectors,2017_jun,2017_jul,2017_ago,2017_sep,2017_oct,2017_nov,2017_dic,2017_year,2018_ene,2018_feb,2018_mar,2018_abr,2018_may,2018_jun,2018_ene_jun
2018,33,agropecuario,agriculture and livestock,6.1,12.1,1.7,5.3,0.5,0.6,12.0,2.6,3.8,4.2,8.8,11.4,15.7,3.7,8.4
2018,33,agricola,agriculture,9.2,19.1,1.4,5.6,-2.5,-3.1,18.8,2.3,5.9,6.2,10.9,13.9,18.4,2.1,10.0
2018,33,pecuario,livestock,-0.5,1.9,1.9,4.9,4.3,5.7,3.7,3.1,1.3,1.9,6.0,6.5,9.7,7.6,5.6
2018,33,pesca,fishing,52.0,-49.4,-40.5,-30.0,-12.4,-45.6,-66.9,4.7,12.4,5.1,-4.9,81.2,26.7,-7.9,20.4
2018,33,mineria e hidrocarburos,mining and hydrocarbons,6.4,2.3,3.9,7.5,-1.1,4.0,6.0,3.4,-1.6,-2.4,5.1,1.1,1.7,-4.6,-0.1
2018,33,mineria metalica,metals,7.1,4.7,4.4,9.1,-1.6,5.0,6.6,4.2,-1.8,1.7,5.5,-0.5,0.2,-5.7,-0.3
2018,33,hidrocarburos,hydrocarbons,2.5,-11.0,-0.5,-4.4,-0.9,-3.8,-0.3,-2.4,1.1,-24.6,4.1,10.9,12.5,2.6,1.3
2018,33,manufactura,manufacturing,3.3,-4.5,0.6,-1.2,3.0,-5.6,-12.4,-0.2,0.0,-0.2,1.7,21.0,10.6,1.5,5.7
2018,33,procesadores recursos primarios,based on raw materials,17.4,-18.0,-7.2,-2.9,2.9,-17.8,-32.1,1.9,2.3,-5.1,3.5,42.9,23.4,-0.5,11.7
2018,33,manufactura no primaria,nonprimary,-1.5,2.2,3.4,-0.6,3.2,-1.4,-3.3,-0.9,-0.9,1.4,1.2,12.7,4.8,2.3,3.5
2018,33,electricidad y agua,electricity and water,3.1,1.4,1.9,1.7,1.0,0.3,-0.6,1.1,-0.2,1.9,4.2,6.1,3.9,3.9,3.3
2018,33,construccion,construction,2.9,3.8,4.7,9.1,16.3,5.5,6.7,2.1,8.6,6.3,-0.4,10.2,10.0,2.2,6.1
2018,33,comercio,commerce,1.7,1.2,1.2,1.6,1.4,1.7,1.9,1.0,2.4,2.6,3.1,4.9,3.3,1.6,3.0
2018,33,otros servicios,other services,3.1,3.0,3.2,3.4,4.0,3.5,3.8,3.2,4.1,4.1,4.4,5.3,5.1,4.5,4.6
2018,33,derechos de importacion y otros impuestos,import duties and other taxes,3.3,5.0,5.7,1.6,7.8,5.1,-1.3,3.8,4.8,4.5,2.5,8.2,8.0,1.4,4.9
2018,33,pbi,gdp,3.8,2.1,2.8,3.3,3.6,2.0,1.4,2.5,2.8,2.6,3.8,7.8,6.5,2.0,4.3
2018,33,sectores primarios,primary sectors,8.3,0.5,1.4,5.3,-0.4,-0.8,-1.1,3.1,0.5,-1.2,5.6,10.8,9.3,-1.8,4.0
2018,33,sectores no primarios,non primary sectors,2.4,2.6,3.2,2.8,4.7,2.8,2.1,2.3,3.5,3.6,3.3,6.9,5.6,3.3,4.4
2018,33,pbi desestacionalizado,seasonally adjusted gdp,2.7,6.1,5.8,4.0,3.4,2.8,1.9,,1.3,2.1,3.5,9.0,14.5,13.3,
2018,33,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2018,33,demanda interna sin inventarios,domestic demand without inventories,2.3,3.7,2.8,3.6,4.6,3.6,2.0,1.6,3.8,4.3,3.3,6.8,4.4,4.0,4.4
2018,33,demanda interna,domestic demand,-2.0,5.2,1.6,-1.0,7.0,2.7,2.5,1.4,3.9,7.0,1.9,8.7,7.6,2.4,5.3
