year,wr,sectores_economicos,economic_sectors,2019_mar,2019_abr,2019_may,2019_jun,2019_jul,2019_ago,2019_sep,2019_oct,2019_nov,2019_dic,2019_year,2020_ene,2020_feb,2020_mar,2020_ene_mar
2020,20,agropecuario,agriculture and livestock,5.2,4.2,1.5,0.2,-1.5,3.5,2.6,5.5,3.2,7.1,3.2,4.3,4.1,0.7,2.9
2020,20,agricola,agriculture,5.5,4.1,0.7,-1.7,-4.5,3.4,1.8,7.1,3.2,10.1,2.6,5.7,5.4,-0.3,3.4
2020,20,pecuario,livestock,4.7,4.5,3.7,4.5,3.7,3.7,3.5,3.6,3.2,3.1,4.1,2.6,2.6,2.0,2.4
2020,20,pesca,fishing,-18.0,-65.1,-28.8,11.4,39.8,-3.6,-3.4,-12.1,-17.9,-48.5,-25.9,-32.7,19.3,-21.4,-15.3
2020,20,mineria e hidrocarburos,mining and fuel,0.4,-2.6,-1.3,-2.9,0.3,4.2,-3.4,0.7,4.1,1.6,0.0,3.8,4.0,-21.8,-5.2
2020,20,mineria metalica,metals,0.5,-1.4,0.0,-2.5,-0.6,-0.3,-4.9,0.1,3.7,1.8,-0.8,3.1,3.1,-23.1,-6.3
2020,20,hidrocarburos,fuel,-0.4,-9.0,-8.8,-5.2,5.2,38.2,5.3,3.9,6.7,0.1,4.6,7.4,9.0,-14.8,0.2
2020,20,manufactura,manufacturing,3.8,-14.0,-6.8,0.7,8.3,2.1,1.8,0.9,-2.3,-5.5,-1.7,0.8,5.3,-32.2,-9.6
2020,20,procesadores recursos primarios,based on raw materials,3.9,-32.4,-18.2,2.8,10.5,6.1,1.6,7.2,-2.7,-22.3,-8.8,2.1,24.2,-21.7,-0.4
2020,20,manufactura no primaria,nonprimary,3.8,-4.5,0.1,-0.3,7.6,0.9,1.8,-1.1,-2.1,2.6,1.2,0.4,-0.2,-35.8,-12.4
2020,20,electricidad y agua,electricity and water,6.7,3.8,4.2,3.4,4.1,4.0,2.8,2.8,2.4,2.0,3.9,1.4,5.0,-11.9,-2.1
2020,20,construccion,construction,6.1,9.5,-0.3,13.4,0.6,5.0,4.4,1.5,-3.5,-9.9,1.5,5.2,5.2,-46.3,-13.0
2020,20,comercio,commerce,3.0,3.0,2.3,2.7,3.2,3.1,3.4,3.5,3.5,3.6,3.0,2.7,2.5,-22.3,-6.2
2020,20,otros servicios,other services,4.1,4.0,4.5,4.2,4.1,4.2,3.8,3.7,4.4,4.3,4.2,3.8,3.9,-5.7,0.5
2020,20,derechos de importacion y otros impuestos,import duties and other taxes,1.2,1.0,0.6,3.0,6.9,1.7,2.4,-0.8,-2.6,3.1,1.8,0.1,2.4,-22.0,-6.6
2020,20,pbi,gdp,3.4,0.1,0.7,2.8,3.8,3.6,2.4,2.4,2.0,1.1,2.2,3.0,3.9,-16.3,-3.4
2020,20,sectores primarios,primary sectors,1.7,-8.4,-4.9,-0.8,1.6,4.2,-1.4,2.5,2.0,-3.2,-1.3,2.9,6.9,-16.3,-2.8
2020,20,sectores no primarios,non primary sectors,3.8,2.9,2.8,4.0,4.4,3.4,3.4,2.4,2.0,2.3,3.2,3.1,3.2,-16.2,-3.6
2020,20,pbi desestacionalizado,seasonally adjusted gdp,-1.9,-0.7,2.5,3.3,4.2,3.7,3.7,3.4,2.3,2.2,,0.8,-1.7,-23.0,
2020,20,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2020,20,demanda interna sin inventarios,domestic demand without inventories,2.8,2.0,3.4,3.8,5.2,3.7,3.4,2.8,1.3,1.4,2.8,5.4,3.6,-16.9,-3.3
2020,20,demanda interna,domestic demand,2.7,-0.6,2.3,3.8,3.8,4.4,3.5,0.9,3.1,1.9,2.3,5.6,3.5,-12.0,-1.2
