year,wr,sectores_economicos,economic_sectors,2019_may,2019_jun,2019_jul,2019_ago,2019_sep,2019_oct,2019_nov,2019_dic,2019_year,2020_ene,2020_feb,2020_mar,2020_abr,2020_may,2020_ene_may
2020,28,agropecuario,agriculture and livestock,1.5,0.2,-1.5,3.5,2.6,5.5,3.2,7.1,3.2,4.3,4.1,0.7,0.6,1.6,2.0
2020,28,agricola,agriculture,0.7,-1.7,-4.5,3.4,1.8,7.1,3.2,10.1,2.6,5.7,5.4,-0.3,0.4,2.7,2.4
2020,28,pecuario,livestock,3.7,4.5,3.7,3.7,3.5,3.6,3.2,3.1,4.1,2.6,2.6,2.0,1.0,-1.2,1.3
2020,28,pesca,fishing,-28.8,11.4,39.8,-3.6,-3.4,-12.1,-17.9,-48.5,-25.9,-32.7,19.3,-21.4,-57.8,-47.0,-33.7
2020,28,mineria e hidrocarburos,mining and fuel,-1.3,-2.9,0.3,4.2,-3.4,0.7,4.1,1.6,0.0,3.8,4.0,-21.8,-42.3,-45.8,-21.3
2020,28,mineria metalica,metals,0.0,-2.5,-0.6,-0.3,-4.9,0.1,3.7,1.8,-0.8,3.1,3.1,-23.1,-47.3,-49.9,-23.9
2020,28,hidrocarburos,fuel,-8.8,-5.2,5.2,38.2,5.3,3.9,6.7,0.1,4.6,7.4,9.0,-14.8,-13.4,-20.7,-6.6
2020,28,manufactura,manufacturing,-6.8,0.7,8.3,2.1,1.8,0.9,-2.3,-5.5,-1.7,0.8,5.3,-32.2,-54.9,-41.5,-25.6
2020,28,procesadores recursos primarios,based on raw materials,-18.2,2.8,10.5,6.1,1.6,7.2,-2.7,-22.3,-8.8,2.1,23.7,-21.5,-23.4,-24.1,-11.6
2020,28,manufactura no primaria,nonprimary,0.1,-0.3,7.6,0.9,1.8,-1.1,-2.1,2.6,1.2,0.4,-0.1,-35.9,-66.4,-50.1,-30.6
2020,28,electricidad y agua,electricity and water,4.2,3.4,4.1,4.0,2.8,2.8,2.4,2.0,3.9,1.4,5.0,-11.9,-25.6,-21.7,-10.7
2020,28,construccion,construction,-0.3,13.4,0.6,5.0,4.4,1.5,-3.5,-9.9,1.5,5.2,5.2,-46.3,-89.7,-66.4,-41.3
2020,28,comercio,commerce,2.3,2.7,3.2,3.1,3.4,3.5,3.5,3.6,3.0,2.7,2.5,-22.3,-65.4,-49.6,-27.4
2020,28,otros servicios,other services,4.5,4.2,4.1,4.2,3.8,3.7,4.4,4.3,4.2,3.8,3.9,-5.7,-30.1,-22.9,-10.6
2020,28,derechos de importacion y otros impuestos,import duties and other taxes,0.6,3.0,6.9,1.7,2.4,-0.8,-2.6,3.1,1.8,0.1,2.4,-22.0,-41.4,-36.9,-19.9
2020,28,pbi,gdp,0.7,2.8,3.8,3.6,2.4,2.4,2.0,1.1,2.2,3.1,3.9,-16.3,-40.5,-32.8,-17.3
2020,28,sectores primarios,primary sectors,-4.9,-0.8,1.6,4.2,-1.4,2.5,2.0,-3.2,-1.3,2.9,6.7,-16.3,-26.8,-28.4,-14.0
2020,28,sectores no primarios,non primary sectors,2.8,4.0,4.4,3.4,3.4,2.4,2.0,2.3,3.2,3.1,3.2,-16.2,-44.5,-34.2,-18.2
2020,28,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2020,28,variacion porcentual mensual,monthly percent change,1.2,0.1,0.0,1.0,-0.6,0.7,0.2,-0.6,,0.3,-1.3,-16.6,-29.3,14.9,
2020,28,variacion porcentual promedio movil  meses,threemonth moving average percent change,0.5,0.1,0.4,0.4,0.1,0.3,0.1,0.1,,0.0,-0.5,-5.8,-14.9,-13.3,
2020,28,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2020,28,demanda interna sin inventarios,domestic demand without inventories,3.4,3.8,5.2,3.7,3.4,2.8,1.3,1.4,2.8,5.2,3.9,-17.2,-38.1,-32.1,-16.6
2020,28,demanda interna,domestic demand,2.3,3.8,3.8,4.4,3.5,0.9,3.1,1.9,2.3,5.3,3.2,-14.3,-35.7,-30.1,-15.2
