year,wr,sectores_economicos,economic_sectors,2019_nov,2019_dic,2019_year,2020_ene,2020_feb,2020_mar,2020_abr,2020_may,2020_jun,2020_jul,2020_ago,2020_sep,2020_oct,2020_nov,2020_ene_nov
2021,04,agropecuario,agriculture and livestock,5.2,7.7,3.4,4.2,4.9,1.7,2.5,5.9,-0.5,-5.9,-4.3,-2.6,2.4,1.3,1.0
2021,04,agricola,agriculture,3.0,10.0,2.5,5.2,6.5,1.9,3.4,9.2,0.2,-8.3,-4.0,-2.3,6.3,3.9,2.2
2021,04,pecuario,livestock,3.3,3.1,4.1,2.9,2.9,1.5,0.7,-1.8,-1.8,-2.1,-4.8,-2.9,-2.5,-2.3,-1.0
2021,04,pesca,fishing,-17.9,-48.5,-25.9,-32.7,19.3,-21.4,-57.8,-47.0,48.0,33.3,-6.5,7.3,12.3,-0.7,-6.4
2021,04,mineria e hidrocarburos,mining and fuel,4.1,1.6,0.0,3.9,3.6,-21.7,-42.2,-45.6,-14.2,-5.9,-11.1,-12.2,-2.8,-4.7,-14.1
2021,04,mineria metalica,metals,3.7,1.8,-0.8,3.3,2.5,-22.9,-47.1,-49.7,-13.2,-6.1,-10.2,-10.9,-1.1,-3.1,-14.6
2021,04,hidrocarburos,fuel,6.7,0.1,4.6,7.4,9.0,-14.8,-13.4,-20.7,-19.7,-5.1,-16.4,-19.1,-12.4,-13.9,-11.1
2021,04,manufactura,manufacturing,-2.3,-5.5,-1.7,0.8,3.7,-29.0,-52.9,-42.4,-8.9,-10.8,-12.5,-6.3,-3.3,-4.2,-15.2
2021,04,procesadores recursos primarios,based on raw materials,-2.7,-22.3,-8.8,1.9,24.6,-22.1,-23.5,-22.9,10.7,4.1,-12.5,-1.7,-3.6,-6.8,-5.6
2021,04,manufactura no primaria,nonprimary,-2.1,2.6,1.2,0.5,-2.4,-31.3,-63.6,-52.1,-18.2,-16.1,-12.4,-7.7,-3.3,-3.1,-18.7
2021,04,electricidad y agua,electricity and water,2.5,2.0,3.9,1.4,5.1,-11.8,-25.5,-21.8,-10.6,-5.0,-2.7,-1.7,0.0,-0.3,-6.7
2021,04,construccion,construction,-3.5,-9.9,1.5,5.7,5.6,-46.3,-90.3,-66.7,-42.7,-12.9,-6.7,4.4,8.8,17.3,-19.8
2021,04,comercio,commerce,3.5,3.6,3.0,2.7,2.6,-22.3,-65.4,-49.6,-27.8,-10.5,-8.1,-6.1,-3.8,-2.5,-17.4
2021,04,otros servicios,other services,4.3,4.3,4.2,3.7,3.8,-6.8,-27.9,-22.3,-17.8,-13.6,-9.8,-7.7,-6.3,-5.5,-10.1
2021,04,derechos de importacion y otros impuestos,import duties and other taxes,-2.6,3.1,1.8,2.1,2.4,-22.1,-41.5,-37.0,-27.9,-19.2,-11.8,-9.0,-7.8,-2.4,-15.8
2021,04,pbi,gdp,2.1,1.2,2.2,3.0,3.7,-16.3,-39.2,-32.3,-17.9,-11.6,-9.7,-6.9,-3.8,-2.8,-12.4
2021,04,sectores primarios,primary sectors,2.4,-3.0,-1.2,2.9,6.9,-16.0,-26.1,-26.8,-4.6,-3.9,-9.7,-8.4,-1.6,-3.7,-8.9
2021,04,sectores no primarios,non primary sectors,2.0,2.3,3.2,3.1,2.9,-16.3,-43.0,-34.2,-22.1,-13.8,-9.7,-6.6,-4.4,-2.6,-13.4
2021,04,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,,
2021,04,variacion porcentual mensual,monthly percent change,0.3,-0.7,,0.3,-1.5,-16.4,-27.8,13.2,19.8,8.1,3.8,1.9,4.4,1.2,
2021,04,variacion porcentual promedio movil  meses,threemonth moving average percent change,0.1,0.1,,0.0,-0.6,-5.8,-14.5,-13.0,-0.9,13.4,9.9,4.5,3.4,2.5,
2021,04,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2021,04,demanda interna sin inventarios,domestic demand without inventories,1.3,1.4,2.3,5.3,3.9,-17.1,-37.9,-32.2,-20.1,-12.8,-8.8,-3.2,-0.9,1.0,-11.2
2021,04,demanda interna,domestic demand,3.2,1.9,,5.9,3.5,-14.8,-34.2,-29.3,-15.8,-12.2,-10.4,-8.1,-5.8,0.6,
