year,wr,sectores_economicos,economic_sectors,2019_year,2020_ene,2020_feb,2020_mar,2020_abr,2020_may,2020_jun,2020_jul,2020_ago,2020_sep,2020_oct,2020_nov,2020_dic,2020_year
2021,08,agropecuario,agriculture and livestock,3.5,4.7,5.7,1.1,2.5,5.0,-0.8,-4.3,-2.5,3.2,2.3,1.3,-2.4,1.3
2021,08,agricola,agriculture,2.7,6.5,8.2,1.1,3.8,8.2,0.2,-5.3,-0.3,8.5,6.3,4.0,-2.5,3.1
2021,08,pecuario,livestock,4.1,2.5,2.7,1.2,-0.1,-2.8,-3.0,-2.8,-5.1,-3.1,-2.9,-2.4,-2.2,-1.6
2021,08,pesca,fishing,-17.2,-34.3,7.1,-18.5,-51.7,-46.3,46.2,23.0,-3.9,10.8,4.0,-2.2,108.5,2.1
2021,08,mineria e hidrocarburos,mining and fuel,0.0,3.5,3.6,-21.7,-42.1,-45.6,-14.2,-5.9,-11.1,-12.2,-2.8,-4.7,-3.7,-13.2
2021,08,mineria metalica,metals,-0.8,2.8,2.5,-22.9,-47.1,-49.7,-13.2,-6.1,-10.2,-10.9,-1.1,-3.1,-2.5,-13.5
2021,08,hidrocarburos,fuel,4.6,7.4,9.0,-14.8,-13.4,-20.7,-19.7,-5.1,-16.4,-19.1,-12.4,-13.9,-10.9,-11.0
2021,08,manufactura,manufacturing,-1.7,0.5,4.1,-33.5,-53.1,-44.4,-12.8,-9.3,-10.9,-3.7,-2.6,-3.2,9.2,-13.4
2021,08,procesadores recursos primarios,based on raw materials,-8.5,1.1,23.5,-21.5,-27.2,-29.9,9.7,5.2,-10.5,-1.6,-3.9,-6.2,40.4,-2.6
2021,08,manufactura no primaria,nonprimary,1.0,0.3,-1.6,-37.6,-62.5,-51.5,-23.6,-14.3,-11.0,-4.3,-2.2,-1.9,-2.1,-17.3
2021,08,electricidad y agua,electricity and water,3.9,1.6,5.1,-11.8,-25.5,-21.7,-10.6,-5.0,-2.6,-1.7,-0.1,-0.4,-0.3,-6.1
2021,08,construccion,construction,1.4,5.9,6.0,-46.1,-90.2,-66.3,-42.9,-12.5,-5.9,4.6,14.5,18.4,23.1,-13.9
2021,08,comercio,commerce,3.0,2.7,2.6,-25.1,-63.6,-49.6,-27.8,-10.5,-7.7,-6.1,-3.8,-2.5,-1.6,-16.0
2021,08,otros servicios,other services,4.2,3.6,3.6,-6.2,-28.4,-22.3,-17.9,-13.6,-9.9,-7.5,-6.3,-5.4,-4.7,-9.6
2021,08,derechos de importacion y otros impuestos,import duties and other taxes,1.9,1.9,3.0,-21.9,-40.0,-36.6,-27.4,-19.3,-11.2,-8.5,-7.6,-1.8,1.6,-13.9
2021,08,pbi,gdp,2.2,2.9,3.8,-16.8,-39.1,-32.6,-18.3,-11.3,-9.3,-6.2,-3.3,-2.5,0.5,-11.1
2021,08,sectores primarios,primary sectors,-0.9,2.5,6.8,-16.0,-26.6,-28.3,-4.8,-3.4,-9.0,-7.0,-1.7,-3.6,5.1,-7.7
2021,08,sectores no primarios,non primary sectors,3.2,3.0,3.0,-17.1,-42.7,-34.1,-22.7,-13.5,-9.4,-6.0,-3.7,-2.2,-0.7,-12.1
2021,08,pbi desestacionalizado,seasonally adjusted gdp,,,,,,,,,,,,,,
2021,08,variacion porcentual mensual,monthly percent change,,0.7,-0.4,-18.2,-26.5,12.0,20.0,8.9,3.6,2.7,3.9,0.9,2.1,
2021,08,variacion porcentual promedio movil  meses,threemonth moving average percent change,,0.0,-0.3,-6.0,-14.3,-13.5,-0.4,13.4,10.1,4.9,3.4,2.5,2.3,
2021,08,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,
2021,08,demanda interna sin inventarios,domestic demand without inventories,2.9,5.3,3.5,-15.9,-37.1,-32.1,-19.4,-12.0,-7.8,-3.8,0.9,2.7,8.7,-8.9
2021,08,demanda interna,domestic demand,2.4,5.9,3.7,-15.4,-34.1,-29.6,-16.2,-11.9,-10.0,-7.5,-5.4,0.1,5.2,-9.8
