year,wr,sectores_economicos,economic_sectors,2011_1,2011_2,2011_3,2011_4,2011_year,2012_1,2012_2,2012_3,2012_4,2012_year,2013_1
2013,29,agropecuario,agriculture and livestock,3.6,4.1,6.4,2.7,4.2,2.5,7.7,4.0,4.9,5.1,6.6
2013,29,agricola,agriculture,0.9,2.8,8.5,1.2,3.2,0.6,9.1,2.1,6.4,5.2,9.6
2013,29,pecuario,livestock,7.0,7.0,3.8,4.5,5.6,4.9,5.0,6.5,3.1,4.9,3.1
2013,29,pesca,fishing,21.4,19.0,59.8,42.8,31.8,-10.6,-11.0,0.7,-25.1,-11.9,-4.5
2013,29,mineria e hidrocarburos,mining and fuel,-0.3,-2.3,0.9,0.9,-0.2,3.3,4.2,3.4,-2.1,2.2,-0.8
2013,29,mineria metalica,metals,-5.6,-7.5,-0.5,1.1,-3.2,3.2,4.9,3.2,-2.5,2.1,-2.8
2013,29,hidrocarburos,fuel,34.6,31.5,10.4,3.7,18.1,3.7,1.2,4.4,-0.1,2.3,8.1
2013,29,manufactura,manufacturing,12.2,6.0,3.8,1.2,5.6,-0.7,0.1,3.7,2.2,1.3,-0.2
2013,29,de procesamiento de recursos primarios,based on raw materials,12.8,12.4,15.2,12.1,13.0,-3.2,-11.1,-3.5,-7.2,-6.5,-2.6
2013,29,no primaria,nonprimary,12.1,4.8,2.1,-0.5,4.4,-0.3,2.5,4.9,3.9,2.8,0.2
2013,29,electricidad y agua,electricity and water,7.3,7.4,7.7,7.3,7.4,6.3,5.0,5.0,4.5,5.2,4.8
2013,29,construccion,construction,5.7,-0.3,1.7,5.0,3.0,12.5,16.7,19.3,12.5,15.2,11.9
2013,29,comercio,commerce,10.3,8.8,8.6,7.6,8.8,7.9,6.4,6.2,6.4,6.7,5.0
2013,29,otros servicios,other services,8.9,8.8,8.0,7.0,8.1,7.7,7.3,7.0,7.1,7.3,5.6
2013,29,pbi,gdp,8.6,6.9,6.6,5.6,6.9,6.0,6.4,6.8,5.9,6.3,4.8
2013,29,pbi de los sectores primarios,primary sectors gross domestic product,4.2,4.0,6.7,4.5,4.8,1.4,3.0,2.5,-0.6,1.7,2.2
2013,29,pbi de los sectores no primarios,non primary sectors gross domestic product,9.4,7.5,6.6,5.8,7.2,6.9,7.1,7.5,7.0,7.1,5.2
