year,wr,sectores_economicos,economic_sectors,2010_1,2010_2,2010_3,2010_4,2010_year,2011_1,2011_2,2011_3,2011_4,2011_year,2012_1,2012_2,2012_3,2012_4,2012_year,2013_1,2013_2
2013,33,agropecuario,agriculture and livestock,4.4,5.0,3.0,7.2,4.9,3.6,4.1,6.4,2.7,4.2,3.5,8.1,4.4,6.0,5.8,6.1,0.0
2013,33,agricola,agriculture,4.9,5.2,3.1,8.4,5.3,0.9,2.8,8.5,1.2,3.2,1.6,9.9,2.4,8.1,6.2,9.1,-1.8
2013,33,pecuario,livestock,3.8,4.5,2.9,5.8,4.3,7.0,7.0,3.8,4.5,5.6,5.8,4.4,6.9,3.5,5.1,2.6,3.9
2013,33,pesca,fishing,-2.2,-8.7,-23.1,-18.0,-12.2,21.4,19.0,59.8,42.8,31.8,-10.4,-10.9,0.8,-25.0,-11.7,3.2,-6.1
2013,33,mineria e hidrocarburos,mining and fuel,1.1,1.7,-2.3,-1.0,-0.1,-0.3,-2.3,0.9,0.9,-0.2,3.5,4.3,3.5,-2.1,2.2,-3.0,4.8
2013,33,mineria metalica,metals,-1.0,-2.3,-8.2,-7.4,-4.8,-5.6,-7.5,-0.5,1.1,-3.2,3.4,5.0,3.3,-2.5,2.2,-5.4,3.8
2013,33,hidrocarburos,fuel,11.0,22.3,37.4,44.8,29.5,34.6,31.5,10.4,3.7,18.1,3.7,1.2,4.4,-0.1,2.3,8.1,9.3
2013,33,manufactura,manufacturing,7.8,17.3,17.8,13.5,14.1,12.2,6.0,3.8,1.2,5.6,-0.6,2.7,3.7,2.2,1.4,-0.3,3.1
2013,33,de procesamiento de recursos primarios,based on raw materials,-4.9,-1.2,2.9,-2.8,-1.6,12.8,12.4,15.2,12.1,13.0,-2.9,-11.3,-3.1,-7.2,-6.4,-2.3,1.9
2013,33,no primaria,nonprimary,10.4,21.8,20.5,16.6,17.3,12.1,4.8,2.1,-0.5,4.4,-0.2,2.6,4.9,4.0,2.8,0.1,3.2
2013,33,electricidad y agua,electricity and water,6.5,8.6,8.4,7.3,7.7,7.3,7.4,7.7,7.3,7.4,6.3,5.0,5.0,4.6,5.2,4.8,6.0
2013,33,construccion,construction,16.8,21.5,16.6,15.5,17.4,5.7,-0.3,1.7,5.0,3.0,12.4,16.7,17.8,12.4,14.8,11.9,14.5
2013,33,comercio,commerce,8.1,11.0,9.6,9.9,9.7,10.3,8.8,8.6,7.6,8.8,7.9,6.4,6.2,6.4,6.7,5.0,6.4
2013,33,otros servicios,other services,4.7,8.5,8.7,8.6,7.7,8.9,8.8,8.0,7.0,8.1,7.6,6.4,7.0,7.0,7.0,5.3,6.1
2013,33,pbi,gdp,6.2,10.0,9.5,9.2,8.8,8.6,6.9,6.6,5.6,6.9,6.1,6.4,6.7,5.9,6.3,4.5,5.6
2013,33,pbi de los sectores primarios,primary sectors gross domestic product,1.4,2.6,0.5,1.7,1.6,4.2,4.0,6.7,4.5,4.8,1.9,3.2,2.7,-0.1,2.0,1.5,1.4
2013,33,pbi de los sectores no primarios,non primary sectors gross domestic product,7.1,11.7,11.2,10.5,10.2,9.4,7.5,6.6,5.8,7.2,6.8,7.0,7.4,6.9,7.1,5.0,6.4
