year,wr,sectores_economicos,economic_sectors,2016_3,2016_4,2016_year,2017_1,2017_2,2017_3,2017_4,2017_year,2018_1,2018_2,2018_3,2018_4,2018_year,2019_1,2019_2,2019_3
2019,36,agropecuario,agriculture and livestock,2.5,4.3,2.7,-0.1,0.6,6.9,4.5,2.8,7.3,11.1,6.8,5.6,8.0,5.3,2.6,0.6
2019,36,pesca,fishing,68.3,27.6,-10.1,37.9,128.8,-42.8,-51.5,4.7,6.1,29.2,4.9,154.6,39.7,-20.5,-30.1,23.6
2019,36,mineria e hidrocarburos,mining and fuel,16.0,10.8,16.3,4.3,2.0,4.5,2.9,3.4,0.2,-0.8,-3.0,-2.2,-1.5,-0.5,-2.3,0.3
2019,36,manufactura,manufacturing,2.1,3.0,-1.4,2.3,4.6,-1.7,-5.3,-0.2,0.5,10.7,1.8,10.2,5.9,-0.9,-6.7,3.1
2019,36,electricidad y agua,electricity and water,6.6,5.3,7.3,1.1,1.6,1.7,0.2,1.1,2.3,5.0,3.9,6.3,4.4,5.9,3.8,3.6
2019,36,construccion,construction,-3.9,-9.6,-3.2,-5.5,-3.1,5.9,9.0,2.1,4.5,7.0,1.1,8.1,5.3,2.2,7.4,2.9
2019,36,comercio,commerce,1.4,0.9,1.8,0.1,0.9,1.4,1.7,1.0,2.7,3.2,2.2,2.5,2.6,2.4,2.7,3.3
2019,36,otros servicios,other services,4.4,3.1,4.1,3.1,2.8,3.3,3.8,3.3,4.3,5.3,4.0,4.5,4.5,3.8,3.6,3.7
2019,36,pbi global,gdp,4.8,3.1,4.1,2.3,2.6,2.7,2.3,2.5,3.2,5.6,2.5,4.7,4.0,2.4,1.2,3.0
2019,36,sectores primarios,primary sectors,13.7,10.0,9.6,4.8,6.5,2.1,-1.2,3.0,1.9,6.5,-0.6,5.6,3.5,-1.3,-4.4,1.4
2019,36,sectores no primarios,nonprimary sectors,2.4,1.2,2.5,1.6,1.3,2.9,3.3,2.3,3.5,5.2,3.4,4.5,4.2,3.4,3.1,3.4
