year,wr,sectores_economicos,economic_sectors,2018_1,2018_2,2018_3,2018_4,2018_year,2019_1,2019_2,2019_3,2019_4,2019_year,2020_1,2020_2
2020,32,agropecuario,agriculture and livestock,7.0,11.3,6.7,4.9,7.8,5.3,2.1,1.0,6.1,3.4,3.6,1.0
2020,32,pesca,fishing,13.8,34.2,16.1,168.1,47.7,-25.9,-32.7,11.7,-30.7,-25.9,-15.3,-15.7
2020,32,mineria e hidrocarburos,mining and fuel,0.2,-0.8,-3.0,-2.2,-1.5,-0.5,-2.3,0.3,2.1,0.0,-5.2,-34.3
2020,32,manufactura,manufacturing,0.5,10.7,1.9,10.3,5.9,-1.0,-6.9,4.0,-2.3,-1.7,-9.6,-34.0
2020,32,electricidad y agua,electricity and water,2.3,5.0,3.9,6.3,4.4,5.9,3.8,3.6,2.4,3.9,-2.1,-19.4
2020,32,construccion,construction,4.5,7.0,1.1,8.1,5.3,2.3,7.5,3.3,-4.6,1.5,-12.9,-67.0
2020,32,comercio,commerce,2.7,3.2,2.2,2.5,2.6,2.4,2.7,3.3,3.6,3.0,-6.1,-47.5
2020,32,otros servicios,other services,4.1,5.2,3.9,4.3,4.4,4.0,3.7,4.0,3.4,3.8,-0.8,-25.5
2020,32,pbi global,gdp,3.1,5.6,2.5,4.6,4.0,2.5,1.2,3.2,1.8,2.2,-3.5,-30.2
2020,32,sectores primarios,primary sectors,2.0,6.7,-0.5,5.6,3.6,-1.5,-4.7,1.4,0.5,-1.2,-2.6,-20.0
2020,32,sectores no primarios,nonprimary sectors,3.5,5.2,3.3,4.4,4.1,3.6,3.2,3.7,2.2,3.2,-3.7,-33.5
