year,wr,sectores_economicos,economic_sectors,2019_2,2019_3,2019_4,2019_year,2020_1,2020_2,2020_3,2020_4,2020_year,2021_1,2021_2,2021_3,2021_4,2021_year,2022_1,2022_2
2022,37,agropecuario,agriculture and livestock,2.4,2.2,5.3,3.5,4.0,1.8,-1.9,0.2,1.0,0.6,1.1,11.3,6.4,4.5,3.9,4.7
2022,37,pesca,fishing,-27.3,29.5,-23.9,-17.2,-16.5,-14.4,14.9,38.6,4.2,51.6,26.1,-28.8,-3.0,9.9,-33.2,-12.8
2022,37,mineria e hidrocarburos,mining and fuel,-2.2,0.3,2.1,0.0,-5.7,-34.3,-10.2,-3.9,-13.4,0.0,39.0,6.5,-3.1,8.1,1.2,-1.3
2022,37,manufactura,manufacturing,-6.8,3.8,-2.5,-1.7,-9.3,-36.2,-6.9,2.0,-12.5,16.2,61.6,9.3,2.7,18.6,1.9,3.5
2022,37,electricidad y agua,electricity and water,3.8,3.7,2.4,3.9,-1.9,-19.4,-3.1,-0.2,-6.1,2.8,25.3,6.3,3.0,8.5,3.4,2.6
2022,37,construccion,construction,7.1,3.3,-4.5,1.4,-12.3,-66.3,-4.4,20.1,-13.3,42.5,232.5,23.9,-5.8,34.5,-0.5,3.7
2022,37,comercio,commerce,2.7,3.3,3.6,3.0,-7.1,-46.8,-8.1,-2.6,-16.0,1.4,85.9,10.1,3.9,17.8,5.9,2.6
2022,37,otros servicios,other services,3.5,4.1,3.7,3.8,-1.5,-24.9,-10.7,-4.7,-10.4,0.5,31.3,13.5,6.7,11.8,5.4,4.4
2022,37,pbi global,gdp,1.2,3.4,2.0,2.2,-3.9,-29.9,-8.8,-1.3,-11.0,4.5,42.0,11.9,3.5,13.6,3.8,3.3
2022,37,sectores primarios,primary sectors,-4.4,1.9,0.5,-0.9,-2.8,-19.8,-6.4,0.2,-7.6,3.0,20.8,5.1,-2.2,6.3,-0.7,-0.3
2022,37,sectores no primarios,nonprimary sectors,3.0,3.8,2.4,3.2,-4.2,-33.2,-9.5,-1.8,-12.0,5.0,50.0,13.8,5.1,15.7,5.0,4.4
