target_period,agriculture_2018_10,fishing_2018_10,manufacturing_2018_10,electricity_2018_10,construction_2018_10,commerce_2018_10,services_2018_10,gdp_2018_10
2017m8,1.7,-40.5,0.6,1.9,4.7,1.2,3.2,2.8
2017m9,5.3,-30.0,-1.2,1.7,9.1,1.6,3.4,3.3
2017m10,0.5,-12.4,3.0,1.0,16.3,1.4,4.0,3.6
2017m11,0.6,-45.6,-5.6,0.3,5.5,1.7,3.5,2.0
2017m12,12.0,-66.9,-12.4,-0.6,6.7,1.9,3.8,1.4
2018m1,3.8,12.4,0.0,-0.2,8.6,2.4,4.1,2.8
2018m2,4.2,5.1,-0.2,1.9,6.3,2.6,4.1,2.6
2018m3,8.8,-4.9,1.7,4.2,-0.4,3.1,4.4,3.8
2018m4,11.4,81.2,21.0,6.1,10.2,4.9,5.3,7.8
2018m5,15.7,26.7,10.6,3.9,10.0,3.3,5.1,6.5
2018m6,3.7,-7.9,1.5,3.9,2.2,1.6,4.5,2.0
2018m7,3.8,-17.3,0.9,4.2,5.0,2.7,4.3,2.3
2018m8,7.5,26.0,1.5,2.9,-0.1,2.5,4.6,2.3
