target_period,agriculture_2017_10,fishing_2017_10,mining_2017_10,manufacturing_2017_10,electricity_2017_10,construction_2017_10,commerce_2017_10,services_2017_10,gdp_2017_10
2015q1,1.2,-9.2,4.4,-5.2,4.5,-6.8,3.6,4.3,1.9
2015q2,4.1,36.6,7.6,0.1,5.1,-8.6,3.8,4.0,3.2
2015q3,4.7,-21.6,10.3,-2.0,6.0,-6.8,4.1,4.2,3.3
2015q4,3.5,43.8,15.1,1.2,8.1,-2.1,3.9,4.1,4.6
2015,3.5,15.9,9.5,-1.5,5.9,-5.8,3.9,4.1,3.3
2016q1,2.5,1.8,15.7,-2.6,10.3,2.1,2.8,4.5,4.6
2016q2,1.4,-59.6,23.6,-8.0,7.2,0.9,2.3,4.3,3.8
2016q3,2.2,68.3,16.0,2.2,6.6,-3.6,1.4,4.1,4.7
2016q4,3.6,27.6,10.7,2.9,5.3,-9.2,0.9,3.1,3.0
2016,2.3,-10.1,16.3,-1.4,7.3,-3.1,1.8,4.0,4.0
2017q1,-0.8,37.9,4.1,1.9,1.0,-5.3,0.1,3.0,2.1
2017q2,1.1,128.8,1.9,3.5,1.6,-2.9,0.9,2.8,2.4
