target_period,agriculture_2019_6,fishing_2019_6,mining_2019_6,manufacturing_2019_6,electricity_2019_6,construction_2019_6,commerce_2019_6,services_2019_6,gdp_2019_6
2017q1,-0.1,37.9,4.3,2.3,1.1,-5.5,0.1,3.1,2.3
2017q2,0.6,128.8,2.0,4.4,1.6,-3.1,0.9,2.9,2.6
2017q3,6.9,-42.8,4.5,-1.7,1.7,5.9,1.4,3.3,2.7
2017q4,4.5,-51.5,2.9,-5.3,0.2,9.0,1.7,3.8,2.3
2017,2.8,4.7,3.4,-0.2,1.1,2.1,1.0,3.3,2.5
2018q1,7.3,6.1,0.4,0.5,2.3,4.9,2.7,4.3,3.2
2018q2,10.8,29.2,-0.6,10.9,5.0,7.4,3.2,5.2,5.5
2018q3,6.6,4.9,-2.8,1.7,3.9,1.1,2.2,4.0,2.5
2018q4,5.6,154.6,-2.0,11.4,6.4,7.9,2.5,4.1,4.7
2018,7.8,39.7,-1.3,6.2,4.4,5.4,2.6,4.4,4.0
2019q1,4.9,-20.5,-0.6,-0.9,6.0,1.8,2.4,3.7,2.3
