target_period,agriculture_1,agriculture_2,agriculture_3,agriculture_4,agriculture_5,agriculture_6,agriculture_7,agriculture_8,agriculture_9,agriculture_10,agriculture_11,agriculture_12,agriculture_13,agriculture_14,agriculture_15,agriculture_16,agriculture_17,agriculture_18,agriculture_19,agriculture_20,agriculture_21,agriculture_22,agriculture_23,agriculture_24,agriculture_25,agriculture_26,agriculture_27,agriculture_28,agriculture_29,agriculture_30,agriculture_31,agriculture_32,agriculture_33,agriculture_34,agriculture_35,agriculture_36,agriculture_37,agriculture_38,agriculture_39,agriculture_40,commerce_1,commerce_2,commerce_3,commerce_4,commerce_5,commerce_6,commerce_7,commerce_8,commerce_9,commerce_10,commerce_11,commerce_12,commerce_13,commerce_14,commerce_15,commerce_16,commerce_17,commerce_18,commerce_19,commerce_20,commerce_21,commerce_22,commerce_23,commerce_24,commerce_25,commerce_26,commerce_27,commerce_28,commerce_29,commerce_30,commerce_31,commerce_32,commerce_33,commerce_34,commerce_35,commerce_36,commerce_37,commerce_38,commerce_39,commerce_40,construction_1,construction_2,construction_3,construction_4,construction_5,construction_6,construction_7,construction_8,construction_9,construction_10,construction_11,construction_12,construction_13,construction_14,construction_15,construction_16,construction_17,construction_18,construction_19,construction_20,construction_21,construction_22,construction_23,construction_24,construction_25,construction_26,construction_27,construction_28,construction_29,construction_30,construction_31,construction_32,construction_33,construction_34,construction_35,construction_36,construction_37,construction_38,construction_39,construction_40,electricity_1,electricity_2,electricity_3,electricity_4,electricity_5,electricity_6,electricity_7,electricity_8,electricity_9,electricity_10,electricity_11,electricity_12,electricity_13,electricity_14,electricity_15,electricity_16,electricity_17,electricity_18,electricity_19,electricity_20,electricity_21,electricity_22,electricity_23,electricity_24,electricity_25,electricity_26,electricity_27,electricity_28,electricity_29,electricity_30,electricity_31,electricity_32,electricity_33,electricity_34,electricity_35,electricity_36,electricity_37,electricity_38,electricity_39,electricity_40,fishing_1,fishing_2,fishing_3,fishing_4,fishing_5,fishing_6,fishing_7,fishing_8,fishing_9,fishing_10,fishing_11,fishing_12,fishing_13,fishing_14,fishing_15,fishing_16,fishing_17,fishing_18,fishing_19,fishing_20,fishing_21,fishing_22,fishing_23,fishing_24,fishing_25,fishing_26,fishing_27,fishing_28,fishing_29,fishing_30,fishing_31,fishing_32,fishing_33,fishing_34,fishing_35,fishing_36,fishing_37,fishing_38,fishing_39,fishing_40,gdp_1,gdp_2,gdp_3,gdp_4,gdp_5,gdp_6,gdp_7,gdp_8,gdp_9,gdp_10,gdp_11,gdp_12,gdp_13,gdp_14,gdp_15,gdp_16,gdp_17,gdp_18,gdp_19,gdp_20,gdp_21,gdp_22,gdp_23,gdp_24,gdp_25,gdp_26,gdp_27,gdp_28,gdp_29,gdp_30,gdp_31,gdp_32,gdp_33,gdp_34,gdp_35,gdp_36,gdp_37,gdp_38,gdp_39,gdp_40,manufacturing_1,manufacturing_2,manufacturing_3,manufacturing_4,manufacturing_5,manufacturing_6,manufacturing_7,manufacturing_8,manufacturing_9,manufacturing_10,manufacturing_11,manufacturing_12,manufacturing_13,manufacturing_14,manufacturing_15,manufacturing_16,manufacturing_17,manufacturing_18,manufacturing_19,manufacturing_20,manufacturing_21,manufacturing_22,manufacturing_23,manufacturing_24,manufacturing_25,manufacturing_26,manufacturing_27,manufacturing_28,manufacturing_29,manufacturing_30,manufacturing_31,manufacturing_32,manufacturing_33,manufacturing_34,manufacturing_35,manufacturing_36,manufacturing_37,manufacturing_38,manufacturing_39,manufacturing_40,mining_1,mining_2,mining_3,mining_4,mining_5,mining_6,mining_7,mining_8,mining_9,mining_10,mining_11,mining_12,mining_13,mining_14,mining_15,mining_16,mining_17,mining_18,mining_19,mining_20,mining_21,mining_22,mining_23,mining_24,mining_25,mining_26,mining_27,mining_28,mining_29,mining_30,mining_31,mining_32,mining_33,mining_34,mining_35,mining_36,mining_37,mining_38,mining_39,mining_40,services_1,services_2,services_3,services_4,services_5,services_6,services_7,services_8,services_9,services_10,services_11,services_12,services_13,services_14,services_15,services_16,services_17,services_18,services_19,services_20,services_21,services_22,services_23,services_24,services_25,services_26,services_27,services_28,services_29,services_30,services_31,services_32,services_33,services_34,services_35,services_36,services_37,services_38,services_39,services_40
1993,8.5,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,14.1,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.4,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,13.7,13.7,13.7,13.7,13.7,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,17.0,17.0,17.0,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,34.6,34.6,34.6,34.6,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,23.1,23.1,23.1,23.1,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,13.1,13.1,13.1,13.1,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,15.7,15.7,15.7,15.7,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.9,5.9,5.9,5.9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994q1,11.6,11.6,11.6,11.6,11.6,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,15.1,15.1,15.1,15.1,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,27.8,27.8,27.8,27.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,14.6,14.6,14.6,14.6,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,10.7,10.7,10.7,10.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,11.3,11.3,11.3,11.3,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,7.6,7.6,7.6,7.6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994q2,27.5,27.5,27.5,27.5,27.5,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,17.3,17.3,17.3,17.3,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,31.8,31.8,31.8,31.8,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,37.4,37.4,37.4,37.4,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,16.1,16.1,16.1,16.1,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,16.2,16.2,16.2,16.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994q3,4.8,4.8,4.8,4.8,4.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,16.7,16.7,16.7,16.7,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,32.8,32.8,32.8,32.8,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,16.0,16.0,16.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,16.3,16.3,16.3,16.3,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.7,3.7,3.7,3.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994q4,7.2,7.2,7.2,7.2,7.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,18.9,18.9,18.9,18.9,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,43.8,43.8,43.8,43.8,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,20.8,20.8,20.8,20.8,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,14.4,14.4,14.4,14.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,19.0,19.0,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.7,2.7,2.7,2.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,,,,,,,,,,,,,,,,,,,,,,,,12.7,12.7,12.7,12.7,12.7,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,,,,,,,,,,,,,,,,,,,,,,,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.6,-14.6,-14.6,-14.6,-14.6,-19.1,-19.1,-19.1,-19.1,-19.1,-19.1,-19.1,-19.1,-19.1,-19.1,-19.1,-19.1,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,4.5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.1,3.1,3.1,3.1,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995q1,10.6,10.6,10.6,10.6,10.6,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,21.2,21.2,21.2,21.2,21.2,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,,,,,,,,,,,,,,,,,,,,,,,,12.7,12.7,12.7,12.7,12.7,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,10.8,10.8,10.8,10.8,10.8,10.4,10.4,10.4,10.4,10.4,10.4,10.3,10.3,10.3,10.3,10.3,10.3,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.7,4.7,4.7,4.7,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995q2,7.7,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,,,,,,,,,,,,,,,,,,,,,,,,15.6,15.6,15.6,15.6,15.6,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.6,-13.6,-13.6,-13.6,-13.6,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,,,,,,,,,,,,,,,,,,,,,,,,8.7,8.7,8.7,8.7,8.7,8.6,8.7,8.7,8.7,8.7,8.7,8.6,8.6,8.6,8.6,8.6,8.6,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.9,5.9,5.9,5.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.9,0.9,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995q3,8.7,8.7,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,12.0,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.1,-24.1,-24.1,-24.1,-24.1,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.5,6.5,6.5,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.7,3.7,3.7,3.7,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
