year;gdp;agriculture;fishing;mining;manufacturing;electricity;construction;commerce;services;public_adm_defense
1950;100;10.96285435;0.109970674;10.31280547;13.75855327;0.30058651;3.731671554;10.51564027;45.66715543;4.640762463
1951;100;10.33526425;0.105119546;10.1831764;13.84894098;0.284046432;4.012435419;10.23238129;46.55230257;4.446333117
1952;100;10.04287494;0.107715378;9.935159567;13.78123218;0.278792743;4.680338775;10.06188354;46.7189051;4.393097768
1953;100;9.713487072;0.087850654;8.846960168;14.71498453;0.331436558;4.664071079;10.22861136;47.06798443;4.344614156
1954;100;9.40449566;0.109927599;11.22019635;15.28941283;0.320306281;4.971380918;10.29149767;44.08096736;4.311815322
1955;100;8.811629489;0.121737262;10.67170325;15.52687171;0.32940671;4.973325218;10.08629024;45.20928068;4.269755451
1956;100;8.012447849;0.145338896;11.27316873;15.28452226;0.335134396;5.319403598;9.607755967;45.74413515;4.278093154
1957;100;7.543569928;0.152314377;11.5855125;15.79740585;0.35433134;5.122572991;9.563739558;45.67026342;4.210290039
1958;100;8.151557385;0.230123489;10.60836872;15.53981785;0.405146987;4.701325641;9.801315917;46.08790069;4.474443328
1959;100;8.288690242;0.359763091;10.5101095;16.47369331;0.395896501;4.015521656;10.25717562;45.1447693;4.554380783
1960;100;8.026191634;0.446058388;14.29960255;17.38769908;0.413175879;3.506991107;10.48952049;41.07311354;4.357647328
1961;100;7.70060598;0.58600253;14.55949923;17.45754811;0.478124792;4.015449158;10.40287674;40.21309183;4.586801625
1962;100;7.166545631;0.68627451;12.58290971;17.16896635;0.452674897;3.980876301;10.0677802;43.42774147;4.466230937
1963;100;6.972481322;0.685646666;12.83354216;17.38479744;0.461738364;3.297136758;10.04919022;43.71780593;4.597661144
1964;100;6.865200348;0.829703833;12.64699477;17.46189024;0.462761324;3.422256098;10.07513066;43.60082753;4.635235192
1965;100;6.629691865;0.64946445;12.15323237;17.62007361;0.474212138;3.66174242;9.950207726;44.22852901;4.632846407
1966;100;6.455545502;0.708605172;12.32820611;17.53893043;0.477165579;3.683984952;9.855707415;44.41068622;4.541168627
1967;100;6.458180484;0.778613353;12.01393984;17.55410858;0.502567865;3.526228907;9.888114453;44.75696992;4.521276596
1968;100;6.229511199;0.791165321;12.73922678;17.86074025;0.530190649;3.013570683;9.889566507;44.32723477;4.618793839
1969;100;6.415201161;0.68645837;12.22090513;17.44895793;0.537843671;3.106754892;9.794416333;45.23813736;4.551325148
1970;100;6.69068627;0.882335322;12.66249604;18.33391813;0.544292206;3.413807564;10.32529162;42.5540655;4.593107344
1971;100;6.525492378;0.58177117;11.37113073;18.52667065;0.576861709;3.565087184;10.87936635;43.37672752;4.596892311
1972;100;6.155160007;0.298901655;11.67693317;18.27491045;0.607292251;3.8153452;10.98424045;43.42455896;4.762657852
1973;100;5.814688879;0.203867531;11.40318896;18.31459587;0.636900023;3.932262409;10.98429327;44.01976176;4.690441291
1974;100;5.512287695;0.26051409;11.00484978;18.15368291;0.636661066;4.321268969;11.12592421;44.49077318;4.494038104
1975;100;5.283031173;0.22172949;9.732620321;17.94900222;0.657362723;4.231120386;11.69231773;45.60127821;4.631537759
1976;100;5.285454394;0.257137163;10.16720344;18.33323691;0.73605513;4.173979005;11.09289723;45.06971631;4.884320419
1977;100;5.261944113;0.223571767;12.24583926;17.96069237;0.827663963;3.691816889;10.60780772;44.10321456;5.07744936
1978;100;5.323831896;0.290175487;16.51631497;17.70399468;0.88566033;3.401172546;10.62068602;40.04355922;5.214604842
1979;100;5.313728713;0.312274802;18.68212448;17.71306118;0.912803267;3.438183496;10.72543839;37.86300365;5.039382025
1980;100;4.723859758;0.245829256;18.00221962;17.67822621;0.980930332;3.618224779;10.63151865;38.94186019;5.177331201
1981;100;4.880130695;0.254379568;16.53071492;16.86084307;0.997733195;3.812867084;10.70881453;40.91723619;5.037280739
1982;100;4.999235158;0.299138278;16.7715728;16.70018753;1.081543508;3.897862408;10.67323109;40.48791266;5.089316571
1983;100;5.042495068;0.234608185;16.88293621;15.25775282;1.013684424;3.444503465;9.76374766;42.29840138;6.061870795
1984;100;5.364924745;0.331416853;17.07315585;15.5698783;0.981433332;3.351399519;9.621464582;41.40940662;6.296920204
1985;100;5.409672346;0.380339555;17.44718005;15.94256634;1.020817012;2.939259295;9.504302741;41.15441427;6.2014484
1986;100;5.15791257;0.459064056;15.22999656;16.8416393;1.096835191;3.260447806;10.0059569;41.80488685;6.143260776
1987;100;5.01050912;0.368566277;13.46561874;17.31514409;1.076811204;3.498391258;10.01553955;43.38473339;5.86468637
1988;100;5.924475586;0.481789882;12.64093454;16.97759347;1.195124902;3.601874361;9.906941954;43.37538912;5.895876187
1989;100;6.37810783;0.578288467;13.71396673;16.32880905;1.344740209;3.504227402;9.442660378;42.94074111;5.768458817
1990;100;6.24653447;0.604652391;13.17891374;16.18831357;1.420537058;3.804821377;9.76289177;43.45906054;5.334275077
1991;100;6.30400248;0.528239503;13.1672414;16.8145479;1.444586514;3.785501182;9.877691245;43.21425343;4.863936353
1992;100;5.850003571;0.599284495;12.89468046;16.50532084;1.483602459;3.972938052;9.688540875;44.05617562;4.949453632
1993;100;6.073673755;0.689110572;13.25041797;16.43686032;1.562066221;4.316040791;9.56919793;43.26035054;4.8422819
1994;100;6.12818879;0.791017556;12.0278614;16.79978467;1.5166663;5.038342379;10.09700951;43.15824746;4.442881941
1995;100;6.056173799;0.625460273;11.52319777;16.5248343;1.418153179;5.52532526;10.42212176;43.320923;4.583810654
1996;100;6.273848435;0.594500744;11.84126084;16.35697904;1.452173783;5.224144193;10.22640777;43.24831226;4.782372929
1997;100;6.148728204;0.556469247;12.0161848;16.05631039;1.546526623;5.63758013;10.33743249;42.91541294;4.785355187
1998;100;6.180871523;0.504714105;12.49730288;15.67850274;1.625310756;5.705239458;10.10507059;42.63802242;5.064965524
1999;100;6.768741595;0.659959238;13.48757031;15.23359692;1.673005911;5.053217301;9.874432125;42.10336588;5.146110723
2000;100;6.973677697;0.769552714;13.24890755;15.65747254;1.687615602;4.576363481;9.97853353;42.10848443;4.999392458
2001;100;6.876285893;0.66553359;14.47356651;15.69639503;1.709902496;4.234278558;9.997763664;41.54575543;4.80051883
2002;100;6.8506572;0.64850513;15.09163475;15.87289469;1.717329805;4.36055019;9.759387207;41.30074266;4.398298363
2003;100;6.707031552;0.576970842;15.06272573;15.83229164;1.71218235;4.345400724;9.654183955;41.62374335;4.485469863
2004;100;6.358769446;0.771230166;15.20968305;16.20747178;1.72052605;4.34301897;9.727664197;41.30387555;4.357760795
2005;100;6.186056188;0.761394454;15.78123232;16.25318008;1.710035004;4.441345982;9.624376303;40.70175311;4.540626563
2006;100;6.266844989;0.73422087;14.95529501;16.21395936;1.710805912;4.75020197;10.01364571;40.77862036;4.576405814
2007;100;5.966348966;0.739459419;14.35502185;16.51803449;1.72196451;5.103959111;10.17757661;41.12507937;4.292555671
2008;100;5.904778284;0.697967724;14.21761688;16.42560266;1.70493307;5.466506148;10.32734256;41.01728438;4.237968298
2009;100;5.892943722;0.658079406;14.15111726;15.19735294;1.703464486;5.761101014;10.13204118;41.55001659;4.953883406
2010;100;5.667908114;0.438388719;13.2435269;15.44803327;1.709323416;6.219885312;10.46401156;41.86599177;4.942930949
2011;100;5.542564294;0.666820921;12.49212319;15.73958292;1.739297389;6.061695089;10.69128825;42.21968414;4.846943799
2012;100;5.552888573;0.400974956;11.98101109;15.01812388;1.734929812;6.618521843;10.92419045;42.83242772;4.936931672
2013;100;5.305465181;0.465783737;11.89742242;14.93202756;1.694436229;6.841718974;10.82476147;43.19432121;4.844063229
2014;100;5.251354567;0.324197317;11.43870852;14.42410573;1.740393916;6.802579883;10.77747439;44.25475275;4.986432931
2015;100;5.242214605;0.371187094;12.00979884;13.84936146;1.796039842;6.234741122;10.7602807;44.72918471;5.00719162
2016;100;5.176232752;0.317595762;12.97796368;13.31449955;1.86290948;5.839535389;10.64015583;44.84819002;5.022917535
2017;100;5.177600809;0.340324572;13.11494219;13.05951791;1.83425221;5.834524469;10.51505693;45.0622794;5.061501512
2018;100;5.357577073;0.460882935;12.42532163;13.28910304;1.84465402;5.915537217;10.37024013;45.25069862;5.085985343
2019;100;5.392193632;0.384006732;12.12429451;12.84437574;1.882895327;5.870601257;10.391782;45.97085647;5.138994338
2020;100;6.101761759;0.446345126;11.75676758;12.62213896;1.977434204;5.608789692;10.11640303;45.41607869;5.954280949
2021;100;5.651050444;0.432354465;11.27618861;13.19206613;1.900475119;6.674132301;10.45949893;44.92789864;5.486335352
