year;id_ns;date;base_year
1994;1;10/01/1994;1990
1994;2;17/01/1994;1990
1994;3;24/01/1994;1990
1994;4;1/02/1994;1990
1994;5;7/02/1994;1990
1994;6;14/02/1994;1990
1994;7;21/02/1994;1990
1994;8;28/02/1994;1990
1994;9;4/03/1994;1990
1994;10;14/03/1994;1990
1994;11;21/03/1994;1990
1994;12;4/04/1994;1990
1994;13;11/04/1994;1990
1994;14;18/04/1994;1990
1994;15;25/04/1994;1990
1994;16;2/05/1994;1990
1994;17;9/05/1994;1990
1994;18;16/05/1994;1990
1994;19;23/05/1994;1990
1994;20;1/06/1994;1990
1994;21;6/06/1994;1990
1994;22;13/06/1994;1990
1994;23;20/06/1994;1990
1994;24;27/06/1994;1990
1994;25;4/07/1994;1990
1994;26;11/07/1994;1990
1994;27;18/07/1994;1990
1994;28;1/08/1994;1990
1994;29;11/08/1994;1990
1994;30;15/08/1994;1990
1994;31;25/08/1994;1990
1994;32;1/09/1994;1990
1994;33;8/09/1994;1990
1994;34;15/09/1994;1990
1994;35;22/09/1994;1990
1994;36;29/09/1994;1990
1994;37;6/10/1994;1990
1994;38;13/10/1994;1990
1994;39;20/10/1994;1990
1994;40;27/10/1994;1990
1994;41;3/11/1994;1990
1994;42;10/11/1994;1990
1994;43;17/11/1994;1990
1994;44;24/11/1994;1990
1994;45;1/12/1994;1990
1994;46;9/12/1994;1990
1994;47;16/12/1994;1990
1994;48;23/12/1994;1990
1994;49;30/12/1994;1990
1995;1;5/01/1995;1990
1995;2;12/01/1995;1990
1995;3;19/01/1995;1990
1995;4;26/01/1995;1990
1995;5;2/02/1995;1990
1995;6;9/02/1995;1990
1995;7;16/02/1995;1990
1995;8;23/02/1995;1990
1995;9;2/03/1995;1990
1995;10;9/03/1995;1990
1995;11;16/03/1995;1990
1995;12;23/03/1995;1990
1995;13;30/03/1995;1990
1995;14;6/04/1995;1990
1995;15;15/04/1995;1990
1995;16;27/04/1995;1990
1995;17;4/05/1995;1990
1995;18;11/05/1995;1990
1995;19;18/05/1995;1990
1995;20;25/05/1995;1990
1995;21;1/06/1995;1990
1995;22;8/06/1995;1990
1995;23;15/06/1995;1990
1995;24;22/06/1995;1990
1995;25;30/06/1995;1990
1995;26;7/07/1995;1990
1995;27;14/07/1995;1990
1995;28;21/07/1995;1990
1995;29;27/07/1995;1990
1995;30;4/08/1995;1990
1995;31;11/08/1995;1990
1995;32;18/08/1995;1990
1995;33;25/08/1995;1990
1995;34;1/09/1995;1990
1995;35;8/09/1995;1990
1995;36;15/09/1995;1990
1995;37;22/09/1995;1990
1995;38;29/09/1995;1990
1995;39;6/10/1995;1990
1995;40;13/10/1995;1990
1995;41;20/10/1995;1990
1995;42;27/10/1995;1990
1995;43;3/11/1995;1990
1995;44;10/11/1995;1990
1995;45;17/11/1995;1990
1995;46;24/11/1995;1990
1995;47;1/12/1995;1990
1995;48;7/12/1995;1990
1995;49;15/12/1995;1990
1995;50;22/12/1995;1990
1995;51;29/12/1995;1990
1996;1;5/01/1996;1990
1996;2;12/01/1996;1990
1996;3;19/01/1996;1990
1996;4;26/01/1996;1990
1996;5;2/02/1996;1990
1996;6;9/02/1996;1990
1996;7;16/02/1996;1990
1996;8;23/02/1996;1990
1996;9;1/03/1996;1990
1996;10;8/03/1996;1990
1996;11;15/03/1996;1990
1996;12;22/03/1996;1990
1996;13;29/03/1996;1990
1996;14;12/04/1996;1990
1996;15;19/04/1996;1990
1996;16;26/04/1996;1990
1996;17;3/05/1996;1990
1996;18;10/05/1996;1990
1996;19;17/05/1996;1990
1996;20;24/05/1996;1990
1996;21;31/05/1996;1990
1996;22;7/06/1996;1990
1996;23;14/06/1996;1990
1996;24;21/06/1996;1990
1996;25;28/06/1996;1990
1996;26;5/07/1996;1990
1996;27;12/07/1996;1990
1996;28;19/07/1996;1990
1996;29;26/07/1996;1990
1996;30;2/08/1996;1990
1996;31;9/08/1996;1990
1996;32;16/08/1996;1990
1996;33;23/08/1996;1990
1996;34;29/08/1996;1990
1996;35;6/09/1996;1990
1996;36;13/09/1996;1990
1996;37;20/09/1996;1990
1996;38;27/09/1996;1990
1996;39;4/10/1996;1990
1996;40;11/10/1996;1990
1996;41;18/10/1996;1990
1996;42;25/10/1996;1990
1996;43;31/10/1996;1990
1996;44;8/11/1996;1990
1996;45;15/11/1996;1990
1996;46;22/11/1996;1990
1996;47;29/11/1996;1990
1996;48;6/12/1996;1990
1996;49;13/12/1996;1990
1996;50;20/12/1996;1990
1996;51;27/12/1996;1990
1996;52;31/12/1996;1990
1997;1;10/01/1997;1990
1997;2;17/01/1997;1990
1997;3;24/01/1997;1990
1997;4;31/01/1997;1990
1997;5;7/02/1997;1990
1997;6;14/02/1997;1990
1997;7;21/02/1997;1990
1997;8;28/02/1997;1990
1997;9;7/03/1997;1990
1997;10;14/03/1997;1990
1997;11;21/03/1997;1990
1997;12;4/04/1997;1990
1997;13;11/04/1997;1990
1997;14;18/04/1997;1990
1997;15;25/04/1997;1990
1997;16;2/05/1997;1990
1997;17;9/05/1997;1990
1997;18;16/05/1997;1990
1997;19;23/05/1997;1990
1997;20;30/05/1997;1990
1997;21;6/06/1997;1990
1997;22;13/06/1997;1990
1997;23;20/06/1997;1990
1997;24;27/06/1997;1990
1997;25;4/07/1997;1990
1997;26;11/07/1997;1990
1997;27;18/07/1997;1990
1997;28;25/07/1997;1990
1997;29;8/08/1997;1990
1997;30;15/08/1997;1990
1997;31;22/08/1997;1990
1997;32;29/08/1997;1990
1997;33;5/09/1997;1990
1997;34;12/09/1997;1990
1997;35;19/09/1997;1990
1997;36;26/09/1997;1990
1997;37;3/10/1997;1990
1997;38;10/10/1997;1990
1997;39;17/10/1997;1990
1997;40;24/10/1997;1990
1997;41;31/10/1997;1990
1997;42;7/11/1997;1990
1997;43;14/11/1997;1990
1997;44;21/11/1997;1990
1997;45;28/11/1997;1990
1997;46;5/12/1997;1990
1997;47;12/12/1997;1990
1997;48;19/12/1997;1990
1997;49;26/12/1997;1990
1998;1;9/01/1998;1990
1998;2;16/01/1998;1990
1998;3;23/01/1998;1990
1998;4;30/01/1998;1990
1998;5;6/02/1998;1990
1998;6;13/02/1998;1990
1998;7;20/02/1998;1990
1998;8;27/02/1998;1990
1998;9;6/03/1998;1990
1998;10;13/03/1998;1990
1998;11;20/03/1998;1990
1998;12;27/03/1998;1990
1998;13;3/04/1998;1990
1998;14;17/04/1998;1990
1998;15;24/04/1998;1990
1998;16;30/04/1998;1990
1998;17;8/05/1998;1990
1998;18;15/05/1998;1990
1998;19;22/05/1998;1990
1998;20;29/05/1998;1990
1998;21;5/06/1998;1990
1998;22;12/06/1998;1990
1998;23;19/06/1998;1990
1998;24;26/06/1998;1990
1998;25;3/07/1998;1990
1998;26;10/07/1998;1990
1998;27;17/07/1998;1990
1998;28;24/07/1998;1990
1998;29;7/08/1998;1990
1998;30;14/08/1998;1990
1998;31;21/08/1998;1990
1998;32;28/08/1998;1990
1998;33;4/09/1998;1990
1998;34;11/09/1998;1990
1998;35;18/09/1998;1990
1998;36;25/09/1998;1990
1998;37;2/10/1998;1990
1998;38;9/10/1998;1990
1998;39;16/10/1998;1990
1998;40;23/10/1998;1990
1998;41;30/10/1998;1990
1998;42;6/11/1998;1990
1998;43;13/11/1998;1990
1998;44;20/11/1998;1990
1998;45;27/11/1998;1990
1998;46;4/12/1998;1990
1998;47;11/12/1998;1990
1998;48;18/12/1998;1990
1998;49;24/12/1998;1990
1999;1;8/01/1999;1990
1999;2;15/01/1999;1990
1999;3;22/01/1999;1990
1999;4;29/01/1999;1990
1999;5;5/02/1999;1990
1999;6;12/02/1999;1990
1999;7;19/02/1999;1990
1999;8;26/02/1999;1990
1999;9;5/03/1999;1990
1999;10;12/03/1999;1990
1999;11;19/03/1999;1990
1999;12;26/03/1999;1990
1999;13;9/04/1999;1990
1999;14;16/04/1999;1990
1999;15;23/04/1999;1990
1999;16;30/04/1999;1990
1999;17;7/05/1999;1990
1999;18;14/05/1999;1990
1999;19;21/05/1999;1990
1999;20;28/05/1999;1990
1999;21;4/06/1999;1990
1999;22;11/06/1999;1990
1999;23;18/06/1999;1990
1999;24;25/06/1999;1990
1999;25;2/07/1999;1990
1999;26;9/07/1999;1990
1999;27;16/07/1999;1990
1999;28;23/07/1999;1990
1999;29;6/08/1999;1990
1999;30;13/08/1999;1990
1999;31;20/08/1999;1990
1999;32;27/08/1999;1990
1999;33;3/09/1999;1990
1999;34;10/09/1999;1990
1999;35;17/09/1999;1990
1999;36;24/09/1999;1990
1999;37;1/10/1999;1990
1999;38;8/10/1999;1990
1999;39;15/10/1999;1990
1999;40;22/10/1999;1990
1999;41;29/10/1999;1990
1999;42;5/11/1999;1990
1999;43;12/11/1999;1990
1999;44;19/11/1999;1990
1999;45;26/11/1999;1990
1999;46;3/12/1999;1990
1999;47;10/12/1999;1990
1999;48;17/12/1999;1990
1999;49;24/12/1999;1990
1999;50;31/12/1999;1990
2000;1;7/01/2000;1990
2000;2;14/01/2000;1990
2000;3;21/01/2000;1990
2000;4;28/01/2000;1990
2000;5;4/02/2000;1990
2000;6;11/02/2000;1990
2000;7;18/02/2000;1990
2000;8;25/02/2000;1990
2000;9;3/03/2000;1990
2000;10;10/03/2000;1990
2000;11;17/03/2000;1990
2000;12;24/03/2000;1990
2000;13;31/03/2000;1990
2000;14;7/04/2000;1990
2000;15;14/04/2000;1990
2000;16;28/04/2000;1990
2000;17;5/05/2000;1990
2000;18;12/05/2000;1990
2000;19;19/05/2000;1990
2000;20;26/05/2000;1990
2000;21;2/06/2000;1990
2000;22;9/06/2000;1990
2000;23;16/06/2000;1990
2000;24;23/06/2000;1990
2000;25;30/06/2000;1990
2000;26;7/07/2000;1990
2000;27;14/07/2000;1990
2000;28;21/07/2000;1994
2000;29;4/08/2000;1994
2000;30;11/08/2000;1994
2000;31;18/08/2000;1994
2000;32;25/08/2000;1994
2000;33;1/09/2000;1994
2000;34;8/09/2000;1994
2000;35;15/09/2000;1994
2000;36;22/09/2000;1994
2000;37;29/09/2000;1994
2000;38;6/10/2000;1994
2000;39;13/10/2000;1994
2000;40;20/10/2000;1994
2000;41;27/10/2000;1994
2000;42;3/11/2000;1994
2000;43;10/11/2000;1994
2000;44;17/11/2000;1994
2000;45;24/11/2000;1994
2000;46;1/12/2000;1994
2000;47;8/12/2000;1994
2000;48;15/12/2000;1994
2000;49;22/12/2000;1994
2001;1;5/01/2001;1994
2001;2;12/01/2001;1994
2001;3;19/01/2001;1994
2001;4;26/01/2001;1994
2001;5;2/02/2001;1994
2001;6;9/02/2001;1994
2001;7;16/02/2001;1994
2001;8;23/02/2001;1994
2001;9;2/03/2001;1994
2001;10;9/03/2001;1994
2001;11;16/03/2001;1994
2001;12;23/03/2001;1994
2001;13;30/03/2001;1994
2001;14;6/04/2001;1994
2001;15;20/04/2001;1994
2001;16;27/04/2001;1994
2001;17;4/05/2001;1994
2001;18;11/05/2001;1994
2001;19;18/05/2001;1994
2001;20;25/05/2001;1994
2001;21;1/06/2001;1994
2001;22;8/06/2001;1994
2001;23;15/06/2001;1994
2001;24;22/06/2001;1994
2001;25;28/06/2001;1994
2001;26;6/07/2001;1994
2001;27;13/07/2001;1994
2001;28;20/07/2001;1994
2001;29;3/08/2001;1994
2001;30;10/08/2001;1994
2001;31;17/08/2001;1994
2001;32;24/08/2001;1994
2001;33;31/08/2001;1994
2001;34;7/09/2001;1994
2001;35;14/09/2001;1994
2001;36;21/09/2001;1994
2001;37;28/09/2001;1994
2001;38;5/10/2001;1994
2001;39;12/10/2001;1994
2001;40;19/10/2001;1994
2001;41;26/10/2001;1994
2001;42;9/11/2001;1994
2001;43;16/11/2001;1994
2001;44;23/11/2001;1994
2001;45;30/11/2001;1994
2001;46;7/12/2001;1994
2001;47;14/12/2001;1994
2001;48;21/12/2001;1994
2002;1;4/01/2002;1994
2002;2;11/01/2002;1994
2002;3;18/01/2002;1994
2002;4;25/01/2002;1994
2002;5;1/02/2002;1994
2002;6;8/02/2002;1994
2002;7;15/02/2002;1994
2002;8;22/02/2002;1994
2002;9;1/03/2002;1994
2002;10;8/03/2002;1994
2002;11;15/03/2002;1994
2002;12;22/03/2002;1994
2002;13;5/04/2002;1994
2002;14;12/04/2002;1994
2002;15;19/04/2002;1994
2002;16;26/04/2002;1994
2002;17;3/05/2002;1994
2002;18;10/05/2002;1994
2002;19;17/05/2002;1994
2002;20;24/05/2002;1994
2002;21;31/05/2002;1994
2002;22;7/06/2002;1994
2002;23;14/06/2002;1994
2002;24;21/06/2002;1994
2002;25;28/06/2002;1994
2002;26;5/07/2002;1994
2002;27;12/07/2002;1994
2002;28;19/07/2002;1994
2002;29;26/07/2002;1994
2002;30;2/08/2002;1994
2002;31;9/08/2002;1994
2002;32;16/08/2002;1994
2002;33;23/08/2002;1994
2002;34;29/08/2002;1994
2002;35;6/09/2002;1994
2002;36;13/09/2002;1994
2002;37;20/09/2002;1994
2002;38;27/09/2002;1994
2002;39;4/10/2002;1994
2002;40;11/10/2002;1994
2002;41;18/10/2002;1994
2002;42;25/10/2002;1994
2002;43;31/10/2002;1994
2002;44;8/11/2002;1994
2002;45;15/11/2002;1994
2002;46;22/11/2002;1994
2002;47;29/11/2002;1994
2002;48;6/12/2002;1994
2002;49;13/12/2002;1994
2002;50;20/12/2002;1994
2002;51;27/12/2002;1994
2003;1;10/01/2003;1994
2003;2;17/01/2003;1994
2003;3;24/01/2003;1994
2003;4;31/01/2003;1994
2003;5;7/02/2003;1994
2003;6;14/02/2003;1994
2003;7;21/02/2003;1994
2003;8;28/02/2003;1994
2003;9;7/03/2003;1994
2003;10;14/03/2003;1994
2003;11;21/03/2003;1994
2003;12;28/03/2003;1994
2003;13;4/04/2003;1994
