sectores_economicos;economic_sectors;1992_ene;1992_feb;1992_mar;1992_abr;1992_may;1992_jun;1992_jul;1992_ago;1992_sep;1992_oct;1992_nov;1992_dic;1992_mean;1993_ene;1993_feb;1993_mar;1993_abr;1993_may;1993_jun;1993_jul;1993_ago;1993_sep;1993_oct;1993_nov;1993_mean
agropecuario;agriculture and livestock;3.7;3.6;-2.4;-6.6;-13.4;-10.7;-10.2;-12.9;-3.9;3.7;0.5;2.3;-5.7;-1.7;0.8;-4.1;-2.4;0.9;4.4;9.2;18.3;15.9;9.9;9.6;5.3
agricola;agriculture;-2.7;2.2;-4.5;-9.8;-17.5;-15.3;-13.8;-19.7;-6.5;4.7;-1.3;7.3;-9.7;5.3;2.4;-4.1;-1.7;2.9;7.3;12.5;27.9;25;17.5;17.4;9.4
pecuario;livestock;11.4;5.6;1.2;1.6;0.4;5.6;2.7;2.5;0.3;2.4;2.7;-3.5;2.6;-9.1;-1.4;-4;-4;-4.6;-4.1;-0.5;1.1;2.4;0.4;0.4;-2.2
pesca;fishing;-29.8;-26.4;-24.6;-43;-20.4;-20.3;25.9;59.4;-21;-16.7;80.3;103.2;-4.8;67.8;-37.2;104.7;128.5;15.6;38.8;101.7;0.3;27.8;20.6;12.3;43.6
mineria;mining and fuel;-1.4;-5.5;-11.1;-9.8;-12.3;-3.4;-8.3;-5;-5.7;-0.1;6.8;2.3;-4.6;7;9;10;4;7.6;5.1;15.4;11.3;12.9;6;1.4;8.1
mineria metalica;metals;3.4;-7.4;-16;-11.8;-17.8;-5.8;-12.7;-11.5;-13.1;-4.2;4.9;-4.9;-8.3;0.2;10.1;11.4;2.7;5.3;2.6;18.2;13.2;16.8;4.2;-2.1;7.3
petroleo crudo;fuels;-7.6;-3;-3.8;-6.7;-4;0;-1.9;5;5.9;6.3;9.6;13;1;17;7.5;8.1;5.7;10.7;8.4;11.8;8.8;7.9;8.4;6.3;9.1
manufactura;manufacturing;-3.5;-2.3;3.2;-13.4;-8.4;-7.7;-15.7;-11.6;-6.4;-8.1;-6;6.8;-6.2;1.4;-2;11.5;14.1;6.5;10.2;17;15.6;14;6.2;8.8;9.2
procesadores recursos primarios;based on raw materials;-19;-9.8;-9.7;-23.8;-12.3;-6.9;0.7;-2.9;-7.2;0.8;15.1;23.6;-4.9;26.3;-10;33.1;40.3;5.6;9.1;27.5;6.7;12;7.7;13.9;15.6
resto industria;non primary;5.6;0.9;9;-8.5;-6.4;-8.1;-21.3;-14.6;-6.1;-11.6;-14;-0.8;-6.7;-9.8;1;3.5;3.7;7;10.8;12.4;19.1;14.8;5.5;6.2;6.5
construccion;construction;27.7;12.8;22;4.9;-3.7;-0.7;-9.6;-0.6;0.3;3.2;-13.5;13.7;3.9;-6.8;-1.6;6.3;7;10.1;22.9;18.6;27.9;19.4;11.4;28.8;12.8
gobierno;government;-3.9;1.1;-0.6;-0.8;35.1;45.5;37.8;7.6;-11.2;-9.8;-12;-9.5;3.8;-0.6;0;1.2;0.4;-0.4;1;2.1;0.4;-5;3;-1;0.1
otros;others;3.1;4.9;6.9;-6.1;-5.2;-3.8;-7.4;-4.4;-2.7;-3;-3;2.7;-1.7;-0.1;-0.2;2.6;7.4;4;6.8;8.2;6.5;8.4;5.2;6.5;5
comercio;commerce;4.2;11.2;13.6;-7.4;-3.3;-2;-7.7;-2.1;-0.4;-4.5;-3.8;1.8;-0.4;-0.7;-1.9;-1.3;9;2.1;3.9;10.9;1.5;10.6;2.8;8;4
resto;remaining;2.5;1.9;3.5;-5.5;-6.2;-4.6;-7.3;-5.5;-3.7;-2.3;-2.6;3.2;-2.4;0.2;0.6;4.8;6.5;5;8.3;6.7;9.2;7.3;6.4;5.7;5.6
pbi;gdp;1.3;1.8;2.8;-7.5;-5.7;-3.1;-7.2;-5.7;-4.6;-3.6;-3.4;4;-2.8;1.2;0.1;5.7;7.2;4.5;7.6;11.6;11.2;10.5;6.3;7.5;6.7
