sectores_economicos;economic_sectors;1992_oct;1992_nov;1992_dic;1992_mean;1993_ene;1993_feb;1993_mar;1993_abr;1993_may;1993_jun;1993_jul;1993_ago;1993_sep;1993_oct;1993_nov;1993_dic;1993_year
agropecuario;agriculture and livestock;3.7;0.5;2.3;-5.7;-1.7;0.8;-4.1;-2.4;0.9;4.4;9.2;18.3;15.9;9.9;9.6;8.1;5.5
agricola;agriculture;4.7;-1.3;7.3;-9.7;5.3;2.4;-4.1;-1.7;2.9;7.3;12.5;27.9;25;17.5;17.4;13.1;9.6
pecuario;livestock;2.4;2.7;-3.5;2.6;-9.1;-1.4;-4;-4;-4.6;-4.1;-0.5;1.1;2.4;0.4;0.4;1.6;-1.8
pesca;fishing;-16.7;80.3;103.2;-4.8;67.8;-37.2;104.7;128.5;15.6;38.8;101.7;0.3;27.8;20.6;12.3;9.8;38
mineria;mining and fuel;-0.1;6.8;2.3;-4.6;8;9.6;10.5;4.2;9.6;9;17.4;12.6;13;6.8;4.7;8.1;9.4
mineria metalica;metals;-4.2;4.9;-4.9;-8.3;1.9;11.2;12.5;3.1;8.8;9.4;21.7;15.5;17;5.6;3.5;8.5;9.8
petroleo crudo;fuels;6.3;9.6;13;1;17;7.5;8.1;5.7;10.7;8.4;11.8;8.8;7.9;8.4;6.3;7.5;9
manufactura;manufacturing;-8.1;-6;6.8;-6.2;1.4;-2;11.5;14.1;6.5;10.2;17;15.6;14;6.2;11.8;7.1;9.3
procesadores recursos primarios;based on raw materials;0.8;15.1;23.6;-4.9;26.3;-10;33.1;40.3;5.6;9.1;27.5;6.7;12;7.7;14.4;4.5;14.4
resto industria;non primary;-11.6;-14;-0.8;-6.7;-9.8;1;3.5;3.7;7;10.8;12.4;19.1;14.8;5.5;10.4;8.5;7
construccion;construction;3.2;-13.5;13.7;3.9;-6.8;-1.6;6.3;7;10.1;22.9;18.6;27.9;19.4;11.4;28.8;25.4;14
gobierno;government;-9.8;-12;-9.5;3.8;-0.6;0;1.2;0.4;-0.4;1;2.1;0.4;-5;3;-1;0;0.1
otros;others;-3;-3;2.7;-1.7;-0.1;-0.2;2.7;7.3;4.2;7.1;8.7;7.6;8;2.7;7.6;6.3;5.2
comercio;commerce;-4.5;-3.8;1.8;-0.4;-0.7;-1.8;-1.3;8.9;2.2;4;11.8;3.5;9.7;2.4;9.3;5;4.4
resto;remaining;-2.3;-2.6;3.2;-2.4;0.3;0.7;4.9;6.5;5.2;8.7;7;9.7;7.2;2.9;6.8;7;5.6
pbi;gdp;-3.6;-3.4;4;-2.8;1.3;0.2;5.8;7.2;4.8;8.2;12;11.8;10.4;5.4;9;7.7;7
