sectores_economicos;economic_sectors;1993_ene;1993_feb;1993_mar;1993_abr;1993_may;1993_jun;1993_jul;1993_ago;1993_sep;1993_oct;1993_nov;1993_dic;1993_mean;1994_ene;1994_feb;1994_mar;1994_abr;1994_ene_abr
agropecuario;agriculture and livestock;-1.3;0.9;-2.8;-1.5;0.8;4.1;9.6;19.3;16.7;11.4;10.7;8.1;6;11.6;4.6;9.8;16.4;11.1
agricola;agriculture;5.7;2.8;-3.2;-0.3;2.7;6.9;12.9;30;26.4;20.6;19.5;13.3;10.3;13.1;3.8;13.4;20.8;14
pecuario;livestock;-8.5;-1.6;-2.1;-4.3;-4.4;-3.9;-0.3;0.7;2.8;0.2;0.8;1.6;-1.6;9.8;5.8;4.2;6;6.5
pesca;fishing;35.8;-38.4;88.1;89.7;6.6;29.8;83.7;-2.6;23.8;20.6;-4.5;-3.5;23.8;3.2;82;44.6;41.7;31.6
mineria;mining and fuel;7.1;6.1;8.3;3.4;8.1;7.3;14.2;10.2;11.3;5;4.3;8.9;7.8;6.4;0.8;5.6;4.4;4.3
mineria metalica;metals;-0.3;5;8.5;1.5;5.8;6.3;16.2;11.3;14.1;2.2;2.6;10.1;6.9;6.1;-2.7;4.2;3;2.7
petroleo crudo;fuels;17;7.5;8.1;5.7;10.7;8.4;11.8;8.8;7.9;8.4;6.3;7.5;9;6.7;5.1;7;6;6.2
manufactura;manufacturing;-3.7;-5;9.9;12;3.6;9.7;14.3;10.9;9.5;2.2;12;6.5;6.7;13.5;10.1;12.9;21.3;14.6
procesadores recursos primarios;based on raw materials;15.4;-11;26.3;30.6;2.4;6.6;23.8;2.5;10;-1;7.2;-0.8;9;10;18.9;24.7;25.2;19.5
resto industria;non primary;-12.6;-2.8;3.8;4.4;4.1;11.2;10.3;14.1;9.4;3.5;14.5;10.8;5.7;15.6;7.2;7.6;19.3;12.3
construccion;construction;-6.8;-1.6;6.3;6.9;10.1;22.9;18.6;27.7;19.3;11.2;28.6;25.5;13.5;30.7;21.6;30;27.7;27.5
gobierno;government;-0.5;0;1.2;0.5;-0.5;1;2;0.5;-5;0;0;0;-0.1;0;-0.1;0.5;0;0.1
otros;others;-4.7;-1.9;2.2;4.9;4.1;7.1;9.5;11.2;9.4;4.2;8.6;11;5.5;9.7;4.2;7.3;10.2;7.9
comercio;commerce;-8;-4;-0.5;4.9;3.7;5.8;8.6;9.9;9;2.5;6.5;12.5;4.1;18.1;8.4;14.5;17;14.6
resto;remaining;-2.9;-0.7;3.7;4.9;4.3;7.8;10;11.8;9.7;5.1;9.6;10.2;6.1;5.4;1.9;3.5;6.6;4.4
pbi;gdp;-2.2;-1.6;5;6;3.9;8;11.6;12.5;10.2;4.8;9.6;9.3;6.5;11.4;6.7;10.6;13.8;10.8
