sectores_economicos;economic_sectors;1993_ene;1993_feb;1993_mar;1993_abr;1993_may;1993_jun;1993_jul;1993_ago;1993_sep;1993_oct;1993_nov;1993_dic;1993_mean;1994_ene;1994_feb;1994_mar;1994_abr;1994_may;1994_jun;1994_jul;1994_ene_jul
agropecuario;agriculture and livestock;-1.3;0.9;-3.7;-1.6;1.6;4.4;8.8;20.5;14.7;10.6;11.6;8.7;6;11.7;3.8;11.7;17.7;27.2;36;3.5;17.4
agricola;agriculture;5.8;2.8;-3.3;-0.3;3.6;6.9;11.9;31.8;23.1;19.3;21.2;14.3;10.3;13.3;2.3;14.8;22.5;34.2;46.3;3.4;22.4
pecuario;livestock;-8.5;-1.6;-4.3;-4.5;-4;-3.1;-0.3;0.7;2.8;0.2;0.8;1.6;-1.7;9.8;5.8;6.6;6.3;6.6;3.6;4;6.1
pesca;fishing;35.8;-38.4;88.1;89.7;6.6;29.8;83.7;-2.6;23.8;20.6;-4.5;-3.5;23.8;3.2;82;44.6;41.7;42.8;30.7;24;32.1
mineria;mining and fuel;7.1;6.1;8.3;3.4;8.1;7.3;14.2;10.2;11.3;5;4.3;8.9;7.8;6.5;0.8;5.8;6.6;12.2;5.9;-1.4;5.1
mineria metalica;metals;-0.3;5;8.5;1.5;5.8;6.3;16.2;11.3;14.1;2.2;2.6;10.1;6.9;6.2;-2.7;4.6;7.1;16.5;7.6;-4;4.9
petroleo crudo;fuels;17;7.5;8.1;5.7;10.7;8.4;11.8;8.8;7.9;8.4;6.3;7.5;9;6.7;5.1;7;6;7.6;3.8;1.5;5.4
manufactura;manufacturing;-3.6;-5;9.9;12;3.6;9.7;13.8;10.9;9.5;2.2;12;6.5;6.7;13.5;10.1;12.9;21.9;18.8;13.3;17;15.4
procesadores recursos primarios;based on raw materials;15.4;-11;26.3;30.6;2.4;6.6;23.8;2.5;10;-1;7.2;-0.8;9;10.2;18.9;25;24.4;21.8;23.3;16.7;19.9
resto industria;non primary;-12.6;-2.8;3.8;4.4;4.2;11.2;9.5;14.1;9.4;3.5;14.5;10.8;5.7;15.7;7.2;7.5;20.6;17.4;8.9;17.1;13.3
construccion;construction;-6.8;-1.6;6.3;6.9;10.1;22.9;18.6;27.7;19.3;11.2;28.6;25.5;13.5;30.7;21.6;30;27.7;36.7;30;27.8;28.8
gobierno;government;-0.5;0;1.2;0.5;-0.5;1;2;0.5;-5;0;0;0;-0.1;0;-0.1;0.5;0;-0.8;-0.6;0.5;-0.1
otros;others;-4.6;-1.9;2.1;4.9;4.2;7.2;9.4;11.3;9.3;4.2;8.6;11;5.5;9.8;4.2;7.6;10.7;12.1;8.9;7.5;8.8
comercio;commerce;-8;-4;-0.6;4.9;3.7;5.8;8.6;10;8.9;2.5;6.6;12.5;4.1;18.2;8.4;14.9;17.6;17.6;11.7;11.9;14.4
resto;remaining;-2.8;-0.7;3.6;4.9;4.4;7.8;9.8;11.9;9.5;5;9.7;10.2;6.2;5.5;1.9;3.8;7;9.2;7.5;5.3;5.8
pbi;gdp;-2.2;-1.6;4.9;6;4;8;11.3;12.6;9.9;4.8;9.7;9.4;6.5;11.5;6.6;11;14.5;16.7;14.9;8.9;12.1
