sectores_economicos;economic_sectors;1993_ene;1993_feb;1993_mar;1993_abr;1993_may;1993_jun;1993_jul;1993_ago;1993_sep;1993_oct;1993_nov;1993_dic;1993_mean;1994_ene;1994_feb;1994_mar;1994_abr;1994_may;1994_jun;1994_jul;1994_ago;1994_ene_ago
agropecuario;agriculture and livestock;-1.3;0.9;-3.7;-1.6;1.6;4.4;8.8;20.5;14.7;10.6;11.6;8.7;6;11.7;3.8;11.7;17.7;27.2;36;3.5;1.7;15.4
agricola;agriculture;5.8;2.8;-3.3;-0.3;3.6;6.9;11.9;31.8;23.1;19.3;21.2;14.3;10.3;13.3;2.3;14.8;22.5;34.2;46.3;3.4;1.4;19.6
pecuario;livestock;-8.5;-1.6;-4.3;-4.5;-4;-3.1;-0.3;0.7;2.8;0.2;0.8;1.6;-1.7;9.8;5.8;6.6;6.3;6.6;3.6;4;2.5;5.6
pesca;fishing;35.8;-38.4;88.1;89.7;6.6;29.8;83.7;-2.6;23.8;20.6;-4.5;-3.5;23.8;3.2;82;44.6;41.7;42.8;30.7;24;27.9;31.9
mineria;mining and fuel;7.1;6.1;8.3;3.4;8.1;7.3;14.2;10.2;11.3;5;4.3;8.9;7.8;6.4;2.1;6.7;7.9;12.2;6.6;0.4;0.5;5.3
mineria metalica;metals;-0.3;5;8.5;1.5;5.8;6.3;16.2;11.3;14.1;2.2;2.6;10.1;6.9;6.2;-0.4;6.3;9.4;16.8;9;-0.6;2.2;6
petroleo crudo;fuels;17;7.5;8.1;5.7;10.7;8.4;11.8;8.8;7.9;8.4;6.3;7.5;9;6.7;5.1;7;6;7.6;3.8;1.5;-1.4;4.5
manufactura;manufacturing;-3.6;-5;9.9;12;3.6;9.7;13.8;10.9;9.5;2.2;12;6.5;6.7;13.5;10.1;12.9;21.9;18.8;13.3;17.5;14.5;15.4
procesadores recursos primarios;based on raw materials;15.4;-11;26.3;30.6;2.4;6.6;23.8;2.5;10;-1;7.2;-0.8;9;10.2;18.9;25;24.4;21.8;23.3;16.7;18.2;19.7
resto industria;non primary;-12.6;-2.8;3.8;4.4;4.2;11.2;9.5;14.1;9.4;3.5;14.5;10.8;5.7;15.7;7.2;7.5;20.6;17.4;8.9;17.9;13.3;13.4
construccion;construction;-6.9;-1.6;6.5;7;10.2;23.1;18.6;27.7;19.3;11.3;29;25.8;13.6;31.1;21.9;30.3;28.2;37.2;30.4;28.1;27.3;28.9
gobierno;government;-0.5;0;1.2;0.5;-0.5;1;2;0.5;-5;0;0;0;-0.1;0;-0.1;0.5;0;-0.8;-0.6;0.5;0;-0.1
otros;others;-4.6;-1.9;2.1;4.9;4.2;7.2;9.4;11.3;9.4;4.2;8.7;11.1;5.5;9.8;4.3;7.7;10.8;12;9.1;9.4;7.8;8.9
comercio;commerce;-8;-4;-0.6;4.9;3.7;5.8;8.6;10;8.9;2.4;6.6;12.5;4.1;18.2;8.5;14.9;17.6;17.6;11.7;12.1;9.9;13.9
resto;remaining;-2.8;-0.7;3.6;4.9;4.4;7.9;9.8;11.9;9.6;5.1;9.8;10.3;6.2;5.5;2.1;3.9;7.2;9.1;7.7;8;6.8;6.4
pbi;gdp;-2.2;-1.5;4.9;6;4.1;8;11.3;12.7;9.9;4.8;9.8;9.4;6.5;11.6;6.9;11.1;14.7;16.7;15;10;8.9;12
