sectores_economicos;economic_sectors;1993_ene;1993_feb;1993_mar;1993_abr;1993_may;1993_jun;1993_jul;1993_ago;1993_sep;1993_oct;1993_nov;1993_dic;1993_mean;1994_ene;1994_feb;1994_mar;1994_abr;1994_may;1994_jun;1994_jul;1994_ago;1994_sep;1994_oct;1994_nov;1994_ene_nov
agropecuario;agriculture and livestock;-1.1;1.3;-3.3;-1.7;1.4;4.5;8.9;20.4;15.4;10.6;11.7;9;6.2;11.4;3.4;11.4;17.2;27.7;35.9;3.3;1.7;2.1;6.8;6.1;12.9
agricola;agriculture;5.8;2.8;-3.3;-0.3;3.6;6.9;11.9;31.8;23.7;19.9;21.7;14.9;10.5;13;2.5;14.7;21.7;34.7;46.4;3.1;1.4;-0.4;4;1.6;15.9
pecuario;livestock;-8.2;-0.6;-3.3;-4.9;-4.6;-2.5;0.3;0.6;3.5;-0.6;0.4;1.6;-1.6;9.5;4.6;6.1;6.7;7.2;3;3.9;2.5;6.5;11.1;12.3;6.7
pesca;fishing;35.8;-38.4;88.1;89.7;6.6;29.8;83.7;-2.6;23.8;20.6;-4.5;-3.5;23.8;3.8;84.5;44.6;41.7;43.1;30.7;24;27.9;18.8;77.2;49.1;36.6
mineria;mining and fuel;7.1;6.1;8.3;3.4;8.1;7.3;14.2;10.2;11.3;5;4.3;8.9;7.8;6.4;2.1;6.7;7.9;12.4;6.7;0.6;0.5;-2.5;2.4;3;4.1
mineria metalica;metals;-0.3;5;8.5;1.5;5.8;6.3;16.2;11.3;14.1;2.2;2.6;10.1;6.9;6.2;-0.4;6.3;9.4;16.8;9;-0.3;2.2;-2.4;8.3;9.5;5.7
petroleo crudo;fuels;17;7.5;8.1;5.7;10.7;8.4;11.8;8.8;7.9;8.4;6.3;7.5;9;6.7;5.1;7;6;7.6;3.8;1.5;-1.4;-2.7;-4.3;-5;2.1
manufactura;manufacturing;-3.6;-5;9.9;12;3.6;9.7;13.8;10.9;9.5;4.3;10.1;6.5;6.7;13.6;10.1;12.9;21.9;18.8;13.3;17.5;16.2;18.1;27.5;20.1;17.3
procesadores recursos primarios;based on raw materials;15.4;-11;26.3;30.6;2.4;6.6;23.8;2.5;10;6.3;1.3;-0.8;9;10.4;19.7;24.7;23.9;22;22.5;17.1;21.4;6.1;31.3;22.6;20.2
resto industria;non primary;-12.6;-2.8;3.8;4.4;4.2;11.2;9.5;14.1;9.4;3.5;14.5;10.8;5.7;15.5;6.9;7.6;20.9;17.2;9.2;17.7;14.4;22.3;25.9;18.9;16.1
construccion;construction;-6.9;-1.6;6.5;7;10.2;23.1;18.8;28;19.4;11.3;29;25.8;13.6;31.1;21.9;30.3;28.2;37.2;30.4;28.1;27.3;44.3;51.7;44.3;34.1
gobierno;government;-0.5;0;1.2;0.5;-0.5;1;2;0.5;-5;0;0;0;-0.1;0;-0.1;0.5;0;-0.8;-0.6;0.5;0;2.5;-2.5;1;0
otros;others;-4.6;-1.8;2.2;4.9;4.1;7.2;9.4;11.3;9.5;4.5;8.5;11.1;5.5;12.4;4.8;10.3;12.9;14.1;9.7;8.4;9.3;10.3;15.1;12.7;10.9
comercio;commerce;-7.9;-4;-0.6;4.9;3.7;5.8;8.6;10;9.1;2.6;6.6;12.6;4.2;22.1;10;17.8;20.6;20.7;13.5;15.6;18;16;20.7;18.6;17.6
resto;remaining;-2.8;-0.6;3.7;4.9;4.4;7.9;9.8;12;9.6;5.5;9.4;10.3;6.2;7.4;2;6.3;8.8;10.6;7.8;4.7;5.3;7.6;12.5;9.8;7.6
pbi;gdp;-2.2;-1.5;5;5.9;4;8.1;11.3;12.7;10.1;5.4;9.2;9.4;6.5;12.6;7;12.2;15.5;17.6;15.3;9.5;9.9;11.6;17.7;14.9;13.1
