sectores_economicos;economic_sectors;1993_ene;1993_feb;1993_mar;1993_abr;1993_may;1993_jun;1993_jul;1993_ago;1993_sep;1993_oct;1993_nov;1993_dic;1993_mean;1994_ene;1994_feb;1994_mar;1994_abr;1994_may;1994_jun;1994_jul;1994_ago;1994_sep;1994_oct;1994_nov;1994_dic;1994_year
agropecuario;agriculture and livestock;-1.1;1.3;-3.3;-1.7;1.4;4.5;8.9;20.4;15.4;10.6;11.7;9;6.2;11.9;5.4;12.8;16.6;26.2;34.4;6.7;4.4;2.6;6.9;7.5;8.6;13.2
agricola;agriculture;5.8;2.8;-3.3;-0.3;3.6;6.9;11.9;31.8;23.7;19.9;21.7;14.9;10.5;11.9;4.8;15.5;20.3;32.1;44.2;7.5;4.9;0.5;4;3.9;4.8;15.7
pecuario;livestock;-8.2;-0.6;-3.3;-4.9;-4.6;-2.5;0.3;0.6;3.5;-0.6;0.4;1.6;-1.6;11.8;6.1;8.3;7.6;8.7;3.4;3.8;3.1;6.2;11.1;12.4;14;8.1
pesca;fishing;35.8;-38.4;88.1;89.7;6.6;29.8;83.7;-2.6;23.8;20.6;-4.5;-3.5;23.8;3.8;84.5;46;41.7;43.1;32.2;24;27.9;23.3;80;49.1;-6.3;31.5
mineria;mining and fuel;7.3;6.2;8.5;3.4;8.2;7.2;14.3;10.1;11.1;5;4.5;8.9;7.9;8.3;3.5;8.4;9.1;14;7.2;2.2;0.3;-1.8;1;1.4;-1.4;4.2
mineria metalica;metals;0;5.1;9;1.4;5.9;6.2;16.5;11.2;13.7;2.2;3;10;6.9;9.7;2.3;9.6;11.6;19.9;10.1;2.7;1.8;-1.1;5.6;6.7;7;7
petroleo crudo;fuels;17;7.5;8.1;5.7;10.7;8.4;11.8;8.8;7.9;8.4;6.3;7.5;9;6.7;5.1;7;6;7.6;3.8;1.5;-1.4;-2.7;-4.3;-5;-11.2;0.9
manufactura;manufacturing;-3.6;-5;9.9;12;3.6;9.7;13.8;10.9;9.5;4.3;10.1;6.5;6.7;13.6;10.1;12.9;21.9;18.8;13.3;17.5;16.2;18.1;27.5;21.6;11.4;16.9
procesadores recursos primarios;based on raw materials;15.4;-11;26.3;30.6;2.4;6.6;23.8;2.5;10;6.3;1.3;-0.8;9;10.4;19.7;24.7;23.9;22;22.5;17.1;21.4;6.1;31.3;23.5;-0.3;18.1
resto industria;non primary;-12.6;-2.8;3.8;4.4;4.2;11.2;9.5;14.1;9.4;3.5;14.5;10.8;5.7;15.5;6.9;7.6;20.9;17.2;9.2;17.7;14.4;22.3;25.9;20.7;17.5;16.4
construccion;construction;-6.9;-1.6;6.5;7;10.2;23.1;18.8;28;19.4;11.3;29;25.8;13.6;31.1;21.9;30.3;28.2;37.2;30.4;28.1;27.3;44.3;51.7;44.3;36.2;34.3
gobierno;government;-0.5;0;1.2;0.5;-0.5;1;2;0.5;-5;0;0;0;-0.1;0;-0.1;0.5;0;-0.8;-0.6;0.5;0;2.5;-2.5;1;1;0.1
otros;others;-4.6;-1.8;2.2;4.9;4.2;7.2;9.4;11.3;9.4;4.5;8.5;11.1;5.5;12.1;4.8;10.3;12.6;13.8;9.1;8.6;8.9;10;14.8;13.6;9;10.6
comercio;commerce;-7.9;-4;-0.6;4.9;3.7;5.8;8.6;10;9.1;2.6;6.6;12.6;4.2;20.9;9.5;17.2;19.5;19.9;11.8;15.2;16.3;15.2;20.2;18.5;15.1;16.6
resto;remaining;-2.8;-0.6;3.7;4.9;4.4;7.9;9.9;12;9.6;5.5;9.5;10.3;6.2;7.6;2.4;6.6;8.9;10.6;7.7;5.2;5.5;7.5;12.3;11.2;5.7;7.6
pbi;gdp;-2.1;-1.5;5;5.9;4;8.1;11.4;12.7;10;5.4;9.2;9.4;6.5;12.7;7.4;12.5;15.4;17.4;14.9;10.3;10.1;11.7;17.4;15.6;9.6;12.9
