sectores_economicos;economic_sectors;1994_abr;1994_may;1994_jun;1994_jul;1994_ago;1994_sep;1994_oct;1994_nov;1994_dic;1994_year;1995_ene;1995_feb;1995_mar;1995_abr;1995_may;1995_jun;1995_jul;1995_ago;1995_sep;1995_ene_sep
agropecuario;agriculture and livestock;16.6;26.2;34.4;6.6;4.4;2.5;6.9;7.9;8.8;13.2;11.1;11.4;8.7;10.9;14.8;-1.4;7.3;7.3;8.4;8.1
agricola;agriculture;20.3;32;44.3;7.6;4.9;0.5;4;4.6;4.8;15.8;11.2;12.2;8;11.6;16;-4.7;5.3;2.5;5.5;6.5
pecuario;livestock;7.8;9;3.2;3.4;3.2;6;11.2;12.4;14.3;8;10.9;10.4;9.9;9.2;10.3;13.1;14.3;18.5;13.2;12.2
pesca;fishing;41.7;43.1;32.2;24;27.9;23.3;80;49.1;-6.3;31.5;46.1;28.7;-56.6;-15.6;-11.1;-15.6;-42.1;-14.3;-6.3;-12.2
mineria;mining and fuel;9.2;14.4;7.4;2.2;0.4;-1.7;1.2;1.6;-1;4.3;3.7;8.3;5.2;7;-2.1;1.3;-3.2;2.4;5.5;3
mineria metalica;metals;11.7;20.1;10.2;2.7;1.8;-1.1;5.4;6.6;6.9;7;12.6;16.6;11.9;12.3;0.5;4.5;-0.6;6.5;14.8;8.6
petroleo crudo;fuels;6;7.6;3.8;1.5;-1.4;-2.7;-4.3;-5;-11.2;0.9;-7.6;-2.7;-3.4;-0.4;-5.6;-3.2;-6.5;-3.1;-7.5;-4.5
manufactura;manufacturing;21.9;18.9;13.4;17.3;15.7;18.1;26.7;22.9;14.1;17.1;13.5;13.9;-3;1.1;7.9;2.5;-0.3;4;0.5;4.2
procesadores recursos primarios;based on raw materials;23.9;22.2;22.6;17.1;21.4;6.8;32.5;24.4;-0.3;18.4;18.2;7.9;-33.1;-7.7;0.9;-10.9;-20.5;-4.8;1.4;-6.2
resto industria;non primary;20.8;17.4;9.3;17.4;13.8;22.1;24.3;22.2;22;16.6;10.7;16.2;12.6;5.7;11.4;9.3;9.7;7.3;0;9
construccion;construction;28.2;37.2;30.4;28.1;27.3;44.3;51.7;44.3;36.2;34.7;32.3;36.8;27.1;26.3;42.1;24.5;20.3;15.7;3.1;24.2
gobierno;government;0;-0.8;-0.6;0.5;0;2.5;-2.5;1;1;0.1;-0.5;0.2;-0.5;-2.5;1.8;-0.4;-0.4;-0.6;1;-0.2
otros;others;12.5;13.7;9.2;8.4;9.2;10.5;14.8;14;10.4;10.8;12.3;11.7;10.3;8.7;12.2;11;9.5;9.3;4.4;9.9
comercio;commerce;19.4;19.9;12.1;15.4;17;16.3;20.7;19;17.3;17;18.9;17;14.8;10.4;15.8;18.6;15;13.2;4.8;14.3
resto;remaining;8.8;10.6;7.8;5.1;5.5;7.7;12.2;11.5;6.7;7.7;8.3;8;7.6;7.6;10.3;7.2;6.6;7.2;4.2;7.4
pbi;gdp;15.4;17.8;14.9;10.2;9.8;12;17.2;15.9;10.9;13;13.1;13.2;6;7.2;11.4;6;5.2;7;3.7;8
