sectores_economicos;economic_sectors;1994_jun;1994_jul;1994_ago;1994_sep;1994_oct;1994_nov;1994_dic;1994_year;1995_ene;1995_feb;1995_mar;1995_abr;1995_may;1995_jun;1995_jul;1995_ago;1995_sep;1995_oct;1995_nov;1995_ene_nov
agropecuario;agriculture and livestock;34.4;6.6;4.4;2.5;6.9;7.9;8.8;13.2;11.1;11.4;8.7;10.9;14.8;-1.4;7.3;7.3;8.4;2.1;-2.8;7
agricola;agriculture;44.3;7.6;4.9;0.5;4;4.6;4.8;15.8;11.2;12.2;8;11.6;16;-4.7;5.3;2.5;5.5;-2.9;-8.6;5.1
pecuario;livestock;3.2;3.4;3.2;6;11.2;12.4;14.3;8;10.9;10.4;9.9;9.2;10.3;13.1;14.3;18.5;13.2;9;4.7;11.1
pesca;fishing;32.2;24;27.9;23.3;80;49.1;-6.3;31.5;46.1;28.7;-56.6;-15.6;-11.1;-15.6;-42.1;-14.3;-6.3;-20.7;-27;-15
mineria;mining and fuel;7.4;2.2;0.4;-1.7;1.2;1.6;-1;4.3;3.7;8.3;5.2;7;-2.1;1.3;-3.2;2.4;5.5;1.1;5.1;3
mineria metalica;metals;10.2;2.7;1.8;-1.1;5.4;6.6;6.9;7;12.6;16.6;11.9;12.3;0.5;4.5;-0.6;6.5;14.8;5.8;11.8;8.6
petroleo crudo;fuels;3.8;1.5;-1.4;-2.7;-4.3;-5;-11.2;0.9;-7.6;-2.7;-3.4;-0.4;-5.6;-3.2;-6.5;-3.1;-7.5;-5.6;-5.1;-4.6
manufactura;manufacturing;13.4;17.3;15.7;18.1;26.7;22.9;14.1;17.1;13.5;13.9;-3;1.1;7.9;2.5;-0.3;4;0.5;1.9;-4.5;3.1
procesadores recursos primarios;based on raw materials;22.6;17.1;21.4;6.8;32.5;24.4;-0.3;18.4;18.2;7.9;-33.1;-7.7;0.9;-10.9;-20.5;-4.8;1.4;-8.4;-11;-6.9
resto industria;non primary;9.3;17.4;13.8;22.1;24.3;22.2;22;16.6;10.7;16.2;12.6;5.7;11.4;9.3;9.7;7.3;0.2;6.5;-1.3;7.7
construccion;construction;30.4;28.1;27.3;44.3;51.7;44.3;36.2;34.7;32.3;36.8;27.1;26.3;42.1;24.5;20.3;15.7;3.1;7.2;2.6;19.9
gobierno;government;-0.6;0.5;0;2.5;-2.5;1;1;0.1;-0.5;0.2;-0.5;-2.5;1.8;-0.4;-0.4;-0.6;1;3.5;0.3;0.2
otros;others;9.2;8.4;9.2;10.5;14.8;14;10.4;10.8;12.3;11.3;10.3;8.7;12.2;11.9;10.3;10.1;5;5.8;3.5;9.2
comercio;commerce;12.1;15.4;17;16.3;20.7;19;17.3;17;18.9;17;14.8;10.4;15.8;18.6;15;13.2;4.8;6.7;2.5;12.6
resto;remaining;7.8;5.1;5.5;7.7;12.2;11.5;6.7;7.7;8.3;8;7.6;7.6;10.3;8.5;7.9;8.5;5;5.3;3.9;7.4
pbi;gdp;14.9;10.2;9.8;12;17.2;15.9;10.9;13;13.1;13.2;6;7.2;11.4;6.3;5.6;7.3;3.9;3.6;0.3;7
