sectores_economicos;economic_sectors;1994_jul;1994_ago;1994_sep;1994_oct;1994_nov;1994_dic;1994_year;1995_ene;1995_feb;1995_mar;1995_abr;1995_may;1995_jun;1995_jul;1995_ago;1995_sep;1995_oct;1995_nov;1995_dic;1995_year
agropecuario;agriculture and livestock;8.2;4.2;2.3;7;6.6;9.3;14;12.7;10;9.3;11;15;-0.8;8.3;8.6;10.3;5.1;0.1;0.6;7.4
agricola;agriculture;9.7;5.3;1.1;4.7;5.4;5.7;16.9;12.3;13.3;12.6;12.2;16.4;-4;6.3;4.3;7.2;1.5;-6.9;-3.2;6
pecuario;livestock;3.2;1.4;4.2;10.3;8.3;14.5;8.2;13.1;5.8;3.8;7.6;10.2;13.1;15.3;18.9;15.7;10.2;9.5;5.6;10.6
pesca;fishing;30.4;-4.5;7.3;54.7;36;-8.4;23.1;48.4;32;-56.5;-15.7;-10.8;-14;-41.4;-2.1;0.1;-20.3;-27;-23.6;-14.6
mineria;mining and fuel;2.2;0.4;-1.7;1.2;1.6;-1;4.3;4.3;5.1;7;4.6;-1.9;1.2;-2.1;1.9;3.3;2.1;5.2;1.1;2.6
mineria metalica;metals;2.7;1.8;-1.1;5.4;6.6;6.9;7;13.7;11.1;15.1;8.3;0.8;4.2;1.2;5.6;11;7.5;12;3.1;7.7
petroleo crudo;fuels;1.5;-1.4;-2.7;-4.3;-5;-11.2;0.9;-7.6;-2.7;-3.4;-0.4;-5.6;-3.2;-6.5;-3.1;-7.5;-5.6;-5.1;-2.1;-4.5
manufactura;manufacturing;15.4;15.4;18.1;22.6;21.9;13.1;15.8;18.2;16.1;-0.3;2.6;10.4;4.9;3;5.6;2.6;2.8;-3;-3.9;4.5
procesadores recursos primarios;based on raw materials;16.2;15.2;1.4;28.6;20.3;-0.6;15.3;19.2;9.1;-31.5;-6.7;3.4;-9.1;-19;-3.8;1.5;-8.4;-10.7;-9;-6.1
resto industria;non primary;15;15.5;24.3;20;22.6;20.5;15.9;17.6;18.6;16.2;7.6;13.9;12.1;14.2;9;3;8.1;0.8;-1.7;9.5
construccion;construction;28.1;27.3;42.6;51.7;44.3;36.2;34.5;32.3;37;27.3;26.3;42.9;25.5;20.3;15.7;3.1;7.2;2.6;-5.3;17.6
gobierno;government;0.5;0;2.5;-2.5;1;1;0.1;-0.5;0.2;-0.5;-2.5;1.8;-0.4;-0.4;-0.6;1;3.5;0.3;0.5;0.3
otros;others;8.3;9.8;10.2;14.3;13.6;10.3;10.8;19;16;10.5;8.3;12.9;11.7;10.6;8.7;4.6;5.2;1.3;-0.9;8.8
comercio;commerce;15.5;19.2;16.1;20.9;19;17.6;17.5;26.3;22.3;15.1;10.5;16.9;20.5;17.2;12.3;6.6;8.1;2.6;-1.3;12.9
resto;remaining;4.8;5.5;7.3;11.3;11;6.5;7.5;14.6;12.5;7.8;6.9;10.7;7.3;7.1;6.8;3.6;3.8;0.6;-0.6;6.6
pbi;gdp;10.1;9.8;11.6;16;15.3;10.7;12.7;17.3;15.2;7;7.2;12.3;6.9;6.7;7.3;4.2;4;0.1;-1.9;6.9
