sectores_economicos;economic_sectors;1994_sep;1994_oct;1994_nov;1994_dic;1994_year;1995_ene;1995_feb;1995_mar;1995_abr;1995_may;1995_jun;1995_jul;1995_ago;1995_sep;1995_oct;1995_nov;1995_dic;1995_year;1996_ene;1996_feb;1996_ene_feb
agropecuario;agriculture and livestock;2.3;7;6.6;9.3;14;12.7;10;9.3;11;15;-0.8;8.3;8.6;10.3;5.1;0.1;0.6;7.4;-3.6;0.3;-1.6
agricola;agriculture;1.1;4.7;5.4;5.7;16.9;12.3;13.3;12.6;12.2;16.4;-4;6.3;4.3;7.1;1.5;-6.9;-3.2;6;-7.2;1.4;-2.6
pecuario;livestock;4.2;10.3;8.3;14.5;8.2;13.1;5.8;3.8;7.6;10.2;13.1;15.3;18.9;15.7;10.2;9.5;5.6;10.6;0.9;-1.3;-0.2
pesca;fishing;7.3;54.7;36;-8.4;23.1;48.4;32;-56.5;-15.7;-10.8;-14;-41.4;-2.1;0.1;-20.3;-27;-23.6;-14.6;-33.8;18.7;-21.3
mineria;mining and fuel;-1.7;1.2;1.6;-1;4.3;4.3;5.1;7;4.6;-1.9;1.2;-2.1;1.9;3.3;2.1;5.2;1.1;2.6;-0.6;0.8;0
mineria metalica;metals;-1.1;5.4;6.6;6.9;7;13.7;11.1;15.1;8.3;0.8;4.2;1.2;5.6;11;7.5;12;3.1;7.7;2.7;2.9;2.8
petroleo crudo;fuels;-2.7;-4.3;-5;-11.2;0.9;-7.6;-2.7;-3.4;-0.4;-5.6;-3.2;-6.5;-3.1;-7.5;-5.6;-5.1;-2.1;-4.5;-5.8;-2.3;-4.2
manufactura;manufacturing;18.1;22.6;21.9;13.1;15.8;18.2;16.1;-0.3;2.6;10.4;4.9;3;5.6;2.6;2.8;-3;-3.9;4.5;-6.4;3.6;-1.8
procesadores recursos primarios;based on raw materials;1.4;28.6;20.3;-0.6;15.3;19.2;9.1;-31.5;-6.7;3.4;-9.1;-19;-3.8;1.5;-8.4;-10.7;-9;-6.1;-21.4;12.7;-9
resto industria;non primary;24.3;20;22.6;20.5;15.9;17.6;18.6;16.2;7.6;13.9;12.1;14.2;9;3;8.1;0.8;-1.7;9.5;2.5;0.5;1.5
construccion;construction;42.6;51.7;44.3;36.2;34.5;32.3;37;27.3;26.3;42.9;25.5;20.3;15.7;3.1;7.2;2.6;-5.3;17.6;-2.1;-2.8;-2.5
gobierno;government;2.5;-2.5;1;1;0.1;-0.5;0.2;-0.5;-2.5;1.8;-0.4;-0.4;-0.6;1;3.5;0.3;0.5;0.3;0.5;3.5;2
otros;others;10.2;14.3;13.6;10.5;10.8;19;16;10.5;8.3;12.9;11.7;10.6;8.7;4.6;5.2;1.3;-0.9;8.8;-1.8;0.6;-0.7
comercio;commerce;16.1;20.9;19;17.6;17.5;26.3;22.3;15.1;10.5;16.9;20.5;17.2;12.3;6.6;8.1;2.6;-1.3;12.9;-2.8;0;-1.5
resto;remaining;7.3;11.3;11;6.8;7.5;14.6;12.5;7.8;6.9;10.7;7.3;7.1;6.8;3.6;3.8;0.6;-0.6;6.6;-1.2;1;-0.2
pbi;gdp;11.6;16;15.3;10.7;12.8;17.3;15.2;7;7.2;12.3;6.9;6.7;7.3;4.2;4;0.1;-1.9;6.9;-3.7;1.2;-1.4
pbi desestacionalizado;seasonally adjusted gdp;-0.6;1.3;1.6;-0.6;;5.4;-3.9;-1.2;1.4;5;-3.5;-1;1.3;-1.2;1.3;-2.4;-2.7;;3.8;1.1;
