sectores_economicos;economic_sectors;1994_nov;1994_dic;1994_year;1995_ene;1995_feb;1995_mar;1995_abr;1995_may;1995_jun;1995_jul;1995_ago;1995_sep;1995_oct;1995_nov;1995_dic;1995_year;1996_ene;1996_feb;1996_mar;1996_abr;1996_ene_abr
agropecuario;agriculture and livestock;6.2;8.7;13.7;12.7;10;9.4;11.2;15.2;-1;8.6;8.8;10.6;4.9;0.1;3.6;7.7;-3.6;0.2;2.3;7.2;2.3
agricola;agriculture;4.6;4.5;16.7;12.3;13.5;13;12.5;16.6;-4.3;6.6;4.3;7.4;0.9;-7.4;2;6.3;-7.5;1.4;2.3;8.4;2.8
pecuario;livestock;8.3;14.5;8.2;13.1;5.8;3.8;7.6;10.2;13.1;15.3;18.9;15.7;10.2;9.5;5.6;10.6;0.9;-1.3;2.4;4;1.4
pesca;fishing;36;-8.4;23.1;48.4;32;-56.5;-15.7;-10.8;-14;-41.4;-2.1;0.1;-20.3;-27;-23.6;-14.6;-33.8;18.7;-34.2;-4.8;-18.2
mineria;mining and fuel;2.2;2.1;5.9;1.5;6.4;6.4;4.5;-2.9;1.5;2.2;5.9;3.1;3.4;4.4;1.7;3.1;-0.4;1.6;0;2.3;0.8
mineria metalica;metals;7.6;12.2;9.7;8.6;13;13.6;7.8;-1.1;4.7;8.1;11.9;10.3;9.4;10.4;3.9;8.3;3.2;4;2.6;7;4.2
petroleo crudo;fuels;-5.1;-11.3;0.8;-7.5;-2.6;-3.3;-0.3;-5.5;-3.1;-6.4;-3;-7.4;-5.5;-5;-2;-4.4;-5.8;-2.3;-4.2;-4.9;-4.4
manufactura;manufacturing;21.9;13.1;15.7;18.2;16.1;-0.3;2.6;10.4;4.9;3;5.6;2.6;2.8;-3;-3.9;4.5;-3.7;9;-1.6;0.3;0.8
procesadores recursos primarios;based on raw materials;20.3;-0.6;15.3;19.2;9.1;-31.5;-6.7;3.4;-9.1;-19;-3.8;1.5;-8.4;-10.7;-9;-6.1;-19.4;14.4;-6.8;-0.2;-5.2
resto industria;non primary;22.6;20.5;15.9;17.6;18.6;16.2;7.6;13.9;12.1;14.2;9;3;8.1;0.8;-1.7;9.5;5.6;7.2;0;0.6;3.3
construccion;construction;44.3;36.2;34.6;32.3;37;27.3;26.3;42.9;25.5;20.3;15.7;3.1;7.2;2.6;-5.3;17.5;-2.1;-2.8;-7.6;-9.6;-5.5
gobierno;government;3.1;3.1;3.1;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.5;3.5;0.6;0.1;1.1
otros;others;13.8;10.9;11;17.9;15.7;9.8;7.8;12.4;11.4;10.7;8.6;4.6;5.5;1.2;-1.6;8.4;-0.8;3.2;-1.5;3.7;1.1
comercio;commerce;18.9;17.7;17;26.3;22.3;15.1;10.5;16.9;20.5;17.2;12.3;6.6;8.1;2.6;-1.3;12.7;-2.8;2.2;-2.6;5.7;0.7
resto;remaining;11.3;7;8;13.1;12.2;6.9;6.1;9.9;7;7.4;6.7;3.5;4.3;0.5;-1.7;6.2;0.5;3.8;-0.9;2.4;1.4
pbi;gdp;15.4;11.3;13.1;16.5;15.2;6.8;7.3;12;6.9;7.4;7.9;4.3;4.2;0.1;-1.7;7;-2.6;3.6;-1.7;1.9;0.3
pbi promedio de ultimos doce meses;average gdp for the last twelve months;12.8;13.1;;13.6;14.1;13.5;12.9;12.3;11.6;11.3;11;10.4;9.4;8.1;7;;5.4;4.7;4;3.5;
pbi desestacionalizado;seasonally adjusted gdp;1.1;0.1;;1.5;0.5;-0.2;-0.5;2;1.2;0.2;-1.2;0.3;0.2;-1.2;-1.8;;-0.8;1.8;-0.2;1;
