sectores_economicos;economic_sectors;1995_ene;1995_feb;1995_mar;1995_abr;1995_may;1995_jun;1995_jul;1995_ago;1995_sep;1995_oct;1995_nov;1995_dic;1995_year;1996_ene;1996_feb;1996_mar;1996_abr;1996_may;1996_jun;1996_jul;1996_ene_jul
agropecuario;agriculture and livestock;12.8;10.2;9.3;11.2;14.9;-1.1;8.6;7.4;10.6;5;-0.1;3.5;7.6;-3;0.6;3;6.2;1.4;14.4;3.8;4.7
agricola;agriculture;12.6;13.8;12.9;12.6;16.3;-4.4;6.6;2.3;7.4;1.1;-7.8;1.7;6.1;-6.3;2;3.3;7.1;0.7;17.1;3.8;5.5
pecuario;livestock;13.1;5.8;3.8;7.6;10.2;13.1;15.3;18.9;15.7;10.2;9.5;5.6;10.6;0.9;-1.3;2.4;4;4;4.5;3.8;2.6
pesca;fishing;48.4;32;-56.5;-15.7;-10.8;-14;-41.4;-2.1;0.1;-20.3;-27;-23.6;-14.6;-32.6;23.8;-32.3;-4.8;10.9;7.5;13.3;-6.2
mineria;mining and fuel;1.5;6.4;6.4;4.5;-2.9;1.5;2.2;5.9;3.1;3.4;4.4;1.7;3.1;0.1;4.6;2.6;3.1;4.1;3.4;4.9;3.3
mineria metalica;metals;8.6;13;13.6;7.8;-1.1;4.7;8.1;11.9;10.3;9.4;10.4;3.9;8.3;4.1;8.9;6.9;8.3;11;7.8;8.4;7.9
petroleo crudo;fuels;-7.5;-2.6;-3.3;-0.3;-5.5;-3.1;-6.4;-3;-7.4;-5.5;-5;-2;-4.4;-5.8;-2.3;-4.2;-4.9;-5.7;-3.4;-1;-3.9
manufactura;manufacturing;18.2;16.1;-0.3;2.6;10.4;4.9;3;5.6;2.6;2.8;-3;-3.9;4.5;-3.7;9;-1.6;0.3;2.9;2.2;7.5;2.2
procesadores recursos primarios;based on raw materials;19.2;9.1;-31.5;-6.7;3.4;-9.1;-19;-3.8;1.5;-8.4;-10.7;-9;-6.1;-19.3;16.5;-6.6;-0.2;5.9;9.7;13;1.1
resto industria;non primary;17.6;18.6;16.2;7.6;13.9;12.1;14.2;9;3;8.1;0.8;-1.7;9.5;5.6;6.5;-0.1;0.6;1.5;-0.9;5.5;2.6
construccion;construction;32.3;37;27.3;26.3;42.9;25.5;20.3;15.7;3.1;7.2;2.6;-5.3;17.5;-2.1;-2.8;-7.6;-9.6;-9.8;-12;-0.4;-6.4
gobierno;government;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.5;3.5;0.6;0.1;0.1;1.3;0;0.8
otros;others;17.9;15.7;9.8;7.8;12.3;11.4;10.7;8.5;4.6;5.5;1.2;-1.6;8.4;-0.5;4;-1.2;3.4;4.2;5.1;6.1;3
comercio;commerce;26.3;22.3;15.1;10.5;16.9;20.5;17.2;12.3;6.6;8.1;2.6;-1.3;12.7;-2.3;3.4;-2.3;5.2;6.2;3.4;6.1;2.8
resto;remaining;13.1;12.2;6.9;6.1;9.9;7;7.4;6.6;3.5;4.3;0.5;-1.7;6.2;0.7;4.3;-0.5;2.2;3;6;6.1;3.1
pbi;gdp;16.6;15.2;6.8;7.3;11.9;6.9;7.4;7.7;4.3;4.2;0.1;-1.7;7;-2.3;4.3;-1.2;1.7;2.1;4.3;5.1;2
pbi promedio de ultimos doce meses;average gdp for the last twelve months;13.6;14.1;13.5;12.9;12.3;11.6;11.3;11;10.4;9.4;8.1;7;;5.4;4.7;4.1;3.6;2.7;2.5;2.3;
pbi desestacionalizado;seasonally adjusted gdp;1.5;0.5;-0.2;-0.5;2;1.2;0.2;-1.2;0.3;0.2;-1.2;-1.8;;-0.7;2;0;0.9;1.2;3;1.3;
