sectores_economicos;economic_sectors;1995_ago;1995_sep;1995_oct;1995_nov;1995_dic;1995_year;1996_ene;1996_feb;1996_mar;1996_abr;1996_may;1996_jun;1996_jul;1996_ago;1996_sep;1996_oct;1996_ene_oct
agropecuario;agriculture and livestock;7.4;10.6;5;-0.1;3.5;7.6;-2.3;0.6;3.5;7.2;2.3;14.5;0.8;9.9;3.3;4.7;5
agricola;agriculture;2.3;7.4;1.1;-7.8;1.7;6.1;-5;2;4.2;8.4;1.8;16.8;0.3;15;7.6;10.3;6.8
pecuario;livestock;18.9;15.7;10.2;9.5;5.6;10.6;0.9;-1.3;2.4;4;4;5.9;2.4;-0.2;-3.1;-2.2;1.3
pesca;fishing;-2.1;0.1;-20.3;-27;-23.6;-14.6;-31.2;30.3;-33.9;-3.8;13.7;14.9;17.5;-7.6;-11.1;-52.3;-8.6
mineria;mining and fuel;5.9;3.1;3.4;4.4;1.7;3.1;0.1;4.6;2.6;3.1;4.1;3.4;4.9;4.5;1.4;4.9;3.4
mineria metalica;metals;11.9;10.3;9.4;10.4;3.9;8.3;4.1;8.9;6.9;8.3;11;7.8;8.4;8.9;-0.9;3.7;6.7
petroleo crudo;fuels;-3;-7.4;-5.5;-5;-2;-4.4;-5.8;-2.3;-4.2;-4.9;-5.7;-3.4;-1;-3;5.5;6.9;-1.9
manufactura;manufacturing;5.6;2.6;2.8;-3;-3.9;4.5;-3.7;9;-1.6;0.4;2.9;2.2;7.4;-0.2;0.3;-3.9;1.2
procesadores recursos primarios;based on raw materials;-3.8;1.5;-8.4;-10.7;-9;-6.1;-19.3;16.5;-6.6;-0.2;5.9;9.7;13;4.8;7.1;-12.5;0.5
resto industria;non primary;9;3;8.1;0.8;-1.7;9.5;5.6;6.5;-0.1;0.6;1.5;-0.9;5.5;-1.8;-1.8;-0.4;1.4
construccion;construction;15.7;3.1;7.2;2.6;-5.3;17.5;-2.1;-2.8;-7.6;-9.6;-9.8;-12;-0.4;-6.7;-5.6;-3.7;-6.1
gobierno;government;2.5;2.5;2.5;2.5;2.5;2.5;0.5;3.5;0.6;0.1;0.1;1.3;0;0.4;1.2;-1.5;0.5
otros;others;8.5;4.6;5.5;1.2;-1.6;8.4;-0.5;3.8;-1.1;3.1;4.3;4.6;7.3;1.3;1;0.5;2.5
comercio;commerce;12.3;6.6;8.1;2.6;-1.3;12.7;-2.1;3.5;-2.3;5.2;6.2;1.9;6.2;-1.5;-0.6;0.9;1.8
resto;remaining;6.6;3.5;4.3;0.5;-1.7;6.2;0.5;4;-0.5;1.8;3.3;6.1;7.8;2.8;2;0.2;2.9
pbi;gdp;7.7;4.3;4.2;0.1;-1.7;7;-2.2;4.4;-1.1;1.8;2.3;4.3;5.1;1.5;0.4;-0.8;1.7
pbi promedio de ultimos doce meses;average gdp for the last twelve months;11;10.4;9.4;8.1;7;;5.5;4.7;4.1;3.6;2.8;2.5;2.4;1.9;1.6;1.2;
pbi desestacionalizado;seasonally adjusted gdp;-1.2;0.3;0.2;-1.2;-1.8;;-0.7;2;0;0.8;1.3;2.9;1.3;-1.5;-0.9;-1.7;
