sectores_economicos;economic_sectors;1995_oct;1995_nov;1995_dic;1995_year;1996_ene;1996_feb;1996_mar;1996_abr;1996_may;1996_jun;1996_jul;1996_ago;1996_sep;1996_oct;1996_nov;1996_dic;1996_ene_dic
agropecuario;agriculture and livestock;5;-0.1;3.5;7.6;-3.6;0.3;2.3;7.2;2.8;14.4;3.8;9.8;3.3;4.7;5.4;9.3;5.6
agricola;agriculture;1.1;-7.8;1.7;6.1;-7.4;1.6;2.3;8.4;2.5;17.2;3.9;15;7.6;10.3;15.2;17.1;8.1
pecuario;livestock;10.2;9.5;5.6;10.6;0.9;-1.3;2.4;4;4;4.5;3.8;-0.1;-3.1;-2.2;-5.1;0;0.6
pesca;fishing;-20.3;-27;-23.6;-14.6;-30.9;30.7;-32.7;2;15.3;17.8;17.5;-7.6;-11.1;-52.3;49;77.6;5.2
mineria;mining and fuel;3.4;4.4;1.7;3.1;-0.3;3.3;1.7;1.8;2.5;4;7.3;2.9;2;7;1.9;3.1;3.1
mineria metalica;metals;9.4;10.4;3.9;8.3;3.3;6.7;5.4;6.2;8.3;8.7;12.2;6.4;-0.1;7;2.3;2.7;5.8
petroleo crudo;fuels;-5.5;-5;-2;-4.4;-5.8;-2.3;-4.2;-4.9;-5.7;-3.4;-1;-3;5.5;6.9;1.3;3.9;-1.2
manufactura;manufacturing;2.8;-3;-3.9;4.5;-3.7;9;-1.6;0.3;2.9;2.2;7.4;-0.2;0.3;-3.9;8.1;11.8;2.6
procesadores recursos primarios;based on raw materials;-8.4;-10.7;-9;-6.1;-19.3;16.5;-6.6;-0.2;5.9;9.7;13;4.8;7.1;-12.5;22.5;32.6;5.3
resto industria;non primary;8.1;0.8;-1.7;9.5;5.6;6.5;-0.1;0.6;1.5;-0.9;5.5;-1.8;-1.8;-0.4;1.8;3.2;1.6
construccion;construction;7.2;2.6;-5.3;17.5;-2.1;-2.8;-7.6;-9.6;-9.8;-12;-0.4;-6.7;-5.6;-3.7;-0.2;5.1;-4.6
gobierno;government;2.5;2.5;2.5;2.5;0.5;3.5;0.6;0.1;0.1;1.3;0;0.4;1.2;-1.5;-0.2;0.5;0.4
otros;others;5.5;1.2;-1.6;8.4;-0.3;3.9;-1.4;3.4;4.8;4.7;8.2;1.8;2;4.7;6;8.1;3.8
comercio;commerce;8.1;2.6;-1.3;12.7;-2.3;3.2;-3.2;5.3;6.8;1.5;7.2;-0.5;1.4;3.8;4.8;7.4;3
resto;remaining;4.3;0.5;-1.7;6.2;1;4.3;-0.4;2.1;3.7;6.5;8.7;3;2.4;5.1;6.6;8.5;4.3
pbi;gdp;4.2;0.1;-1.7;7;-2.3;4.2;-1.5;1.8;2.5;4.4;6.2;1.5;0.9;1.1;5.5;8.5;2.8
pbi promedio de ultimos doce meses;average gdp for the last twelve months;9.4;8.1;7;;5.5;4.7;4;3.6;2.7;2.5;2.5;2;1.7;1.5;1.9;2.8;
pbi desestacionalizado;seasonally adjusted gdp;0.2;-1.2;-1.8;;-0.7;2;-0.1;0.9;1.4;3.1;1.7;-1.5;-0.8;-1.5;0.1;0.6;
