sectores_economicos;economic_sectors;1996_ene;1996_feb;1996_mar;1996_abr;1996_may;1996_jun;1996_jul;1996_ago;1996_sep;1996_oct;1996_nov;1996_dic;1996_ene_dic;1997_ene;1997_feb;1997_mar;1997_ene_mar
agropecuario;agriculture and livestock;-2.8;1.2;5;7.5;2.5;14.6;-0.1;9.7;3.8;7.3;8.2;9.3;5.8;18.8;13.4;11.7;14.3
agricola;agriculture;-5.3;2.3;6.4;9.1;1.9;17.4;-1.1;15.3;8.6;14.5;19.2;17.1;8.3;31.5;17;16.3;20.6
pecuario;livestock;0.1;-0.3;2.5;3;4.6;4.4;3.1;-1.4;-3.3;-1.6;-3.5;0;0.6;4.9;8.4;3.7;5.7
pesca;fishing;-31.9;26.1;-28.6;2;13.9;12.2;16.9;-9.7;-15.1;-43.9;62.3;79.4;6.1;-17.3;-29;36.6;-11.3
mineria;mining and fuel;-0.5;2.9;1.4;1.7;2.2;3.4;7.2;2.7;1.7;6.7;2;2;2.8;0.7;4;2.7;2.5
mineria metalica;metals;3.1;6.3;5.1;6;8;7.9;12.1;6.1;-0.6;6.6;2.4;0.8;5.3;0;7.2;1.9;3
petroleo crudo;fuels;-5.8;-2.3;-4.2;-4.9;-5.7;-3.4;-1;-3;5.5;6.9;1.3;3.9;-1.2;1.8;-1.3;4.1;1.6
manufactura;manufacturing;-3.5;9.1;-1.4;0.4;3.6;2.8;7.2;-0.2;0.3;-4.1;7.3;11.8;2.7;2.4;0.6;5.2;2.7
procesadores recursos primarios;based on raw materials;-18.6;17.6;-5.4;0.3;8.5;11.3;11.9;3.9;6.7;-12.8;19.3;32.6;5.5;-2.1;-10.4;9.3;-1.8
resto industria;non primary;5.3;6.3;-0.2;0.5;1.4;-0.8;5.6;-1.6;-1.6;-0.6;1.9;3.2;1.6;4.5;4.6;4;4.3
construccion;construction;-2.1;-2.8;-7.6;-9.6;-9.8;-12;-0.4;-6.7;-5.6;-3.7;-0.2;5.1;-4.6;10.9;15.6;3.1;9.8
gobierno;government;0.5;3.5;0.6;0.1;0.1;1.3;0;0.4;1.2;-1.5;-0.2;0.5;0.4;0.5;-3;0.5;-0.7
otros;others;-0.1;4;-0.8;3.5;4.7;4.6;7.8;1.7;2;4.9;6.4;8;3.9;4.2;4;4.6;4.3
comercio;commerce;-1.9;3.5;-2.1;5.7;6.7;1.2;7.2;-0.6;1.3;4.1;5.5;7.4;3.2;5.8;3.8;5.4;5.1
resto;remaining;1;4.3;0;2.2;3.7;6.5;8.1;2.9;2.4;5.2;6.9;8.4;4.3;3.3;4.1;4.1;3.8
pbi;gdp;-2.1;4.3;-0.8;1.9;2.5;4.4;5.3;1.4;0.9;1.4;6;8.4;2.8;4.8;4.5;5.2;4.8
pbi promedio de ultimos doce meses;average gdp for the last twelve months;5.6;4.8;4.2;3.8;2.9;2.8;2.6;2.1;1.8;1.5;2;2.8;;3.4;3.4;3.9;
pbi desestacionalizado;seasonally adjusted gdp;-0.8;1.9;0.1;0.9;1.4;2.8;1.4;-1.6;-0.8;-1.1;0.4;0.5;;0.4;1.3;-1;
