sectores_economicos;economic_sectors;1996_ene;1996_feb;1996_mar;1996_abr;1996_may;1996_jun;1996_jul;1996_ago;1996_sep;1996_oct;1996_nov;1996_dic;1996_ene_dic;1997_ene;1997_feb;1997_mar;1997_abr;1997_ene_abr
agropecuario;agriculture and livestock;-2.8;1.2;5;7.5;2.5;14.6;-0.1;9.7;3.8;7.3;8.2;9.3;5.8;18.8;13.4;11.7;4.6;11
agricola;agriculture;-5.3;2.3;6.4;9.1;1.9;17.4;-1.1;15.3;8.6;14.5;19.2;17.1;8.3;31.5;17;16.3;4.4;14
pecuario;livestock;0.1;-0.3;2.5;3;4.6;4.4;3.1;-1.4;-3.3;-1.6;-3.5;0;0.6;4.9;8.4;3.7;5.2;5.6
pesca;fishing;-30.9;30.7;-32.7;2;15.3;17.8;17.5;-7.6;-11.1;-52.3;49;77.6;5.1;-17.3;-29.1;36.6;37.4;5
mineria;mining and fuel;-0.5;2.9;1.4;1.7;2.2;3.4;7.2;2.7;1.7;6.7;2;2;2.8;2.5;5.2;6;6.7;5.1
mineria metalica;metals;3.1;6.3;5.1;6;8;7.9;12.1;6.1;-0.6;6.6;2.4;0.8;5.3;3;9;7.1;7.4;6.6
petroleo crudo;fuels;-5.8;-2.3;-4.2;-4.9;-5.7;-3.4;-1;-3;5.5;6.9;1.3;3.9;-1.2;1.8;-1.3;4.1;5.5;2.5
manufactura;manufacturing;-3.5;9.1;-1.4;0.4;3.6;2.8;7.2;-0.2;0.3;-4.1;7.3;11.8;2.7;3.4;0.1;5.5;20.4;7.3
procesadores recursos primarios;based on raw materials;-18.6;17.6;-5.4;0.3;8.5;11.3;11.9;3.9;6.7;-12.8;19.3;32.6;5.5;-1.8;-10.8;9.5;28.2;6.7
resto industria;non primary;5.3;6.3;-0.2;0.5;1.4;-0.8;5.6;-1.6;-1.6;-0.6;1.9;3.2;1.6;5.8;4.1;4.3;16.7;7.6
construccion;construction;-2.1;-2.8;-7.6;-9.6;-9.8;-12;-0.4;-6.7;-5.6;-3.7;-0.2;5.1;-4.6;10.9;15.6;3.1;23.7;13.1
gobierno;goverment;0.5;3.5;0.6;0.1;0.1;1.3;0;0.4;1.2;-1.5;-0.2;0.5;0.4;0.5;-3;0.5;0;-0.5
otros ;others;0;4.1;-0.8;3.5;4.8;4.7;7.8;1.7;2;4.7;6.1;8;3.9;4.4;3.7;4.9;13.3;6.7
comercio;commerce;-1.8;3.6;-2.2;5.7;6.7;1.4;7.2;-0.6;1.4;3.7;4.9;7.3;3.1;5.6;3.1;5.8;16.4;8.1
resto ;remaining;1.1;4.3;0;2.2;3.7;6.5;8.2;2.9;2.4;5.1;6.7;8.4;4.3;3.7;4;4.4;11.3;5.9
pbi;gdp;-2.1;4.3;-0.9;1.9;2.5;4.5;5.4;1.4;0.9;1.2;5.7;8.4;2.8;5.3;4.4;5.8;13.4;7.3
pbi promedio de ultimos doce meses;average gdp for the last twelve months;5.6;4.9;4.2;3.8;2.9;2.8;2.6;2.1;1.8;1.5;2;2.8;;3.4;3.4;3.9;4.9;
pbi desestacionalizado;seasonally adjusted gdp;-0.7;1.9;0.1;0.9;1.4;2.9;1.4;-1.6;-0.8;-1.1;0.3;0.5;;0.6;1.4;-0.7;3.5;
