sectores_economicos;economic_sectors;1996_jun;1996_jul;1996_ago;1996_sep;1996_oct;1996_nov;1996_dic;1996_ene_dic;1997_ene;1997_feb;1997_mar;1997_abr;1997_may;1997_jun;1997_ene_jun
agropecuario;agriculture and livestock;14.6;-0.1;9.7;3.8;7.3;8.2;9.3;5.8;19.4;14.2;12.1;5.4;5.8;3;8.2
agricola;agriculture;17.4;-1.1;15.3;8.6;14.5;19.2;17.1;8.3;32.5;18.4;16.7;5.5;6.8;3.2;9.6
pecuario;livestock;4.4;3.1;-1.4;-3.3;-1.6;-3.5;0;0.6;5;8.5;4;5.2;2.1;2.2;4.5
pesca;fishing;17.8;17.5;-7.6;-11.1;-52.3;49;77.6;5.1;-17.3;-29.1;36.6;37.4;16;-20.7;2.8
mineria;mining and fuel;3.4;7.2;2.7;1.7;6.7;2;2;2.8;2.5;5.2;6;6.7;6.6;3.2;5
mineria metalica;metals;7.9;12.1;6.1;-0.6;6.6;2.4;0.8;5.3;3;9;7.1;7.4;8.7;6;6.9
petroleo crudo;fuels;-3.4;-1;-3;5.5;6.9;1.3;3.9;-1.2;1.8;-1.3;4.1;5.5;3.2;-1.6;1.9
manufactura;manufacturing;2.8;7.2;-0.2;0.3;-4.1;7.3;11.8;2.7;3.4;0.1;5.5;20.4;7.5;9.6;7.7
procesadores recursos primarios;based on raw materials;11.3;11.9;3.9;6.7;-12.8;19.3;32.6;5.5;-1.8;-10.8;9.5;28.2;12.4;1.1;6.8
resto industria;non primary;-0.8;5.6;-1.6;-1.6;-0.6;1.9;3.1;1.6;5.8;4.1;4.3;16.7;5.1;13.5;8.1
construccion;construction;-12;-0.4;-6.7;-5.6;-3.7;-0.2;5.1;-4.6;10.7;15.3;3.1;22.5;16.4;34.6;16.8
comercio;commerce;1.9;7.2;-0.6;1.4;3.7;5.1;7.3;3.2;5.6;3.2;5.7;16.6;4.1;8.3;7.5
otros servicios;other services;4;5.4;1.5;1.7;2.5;3.9;5.1;2.9;3.3;3.1;3.9;9.4;4.6;7.1;5.3
pbi;gdp;4;4.9;1.2;0.8;0.8;5.2;7.8;2.6;5.3;4.5;5.8;13.4;6.6;8.2;7.4
pbi promedio de ultimos doce meses;average gdp for the last twelve months;2.8;2.6;2;1.7;1.4;1.8;2.6;;3.2;3.2;3.7;4.7;5.1;5.5;
pbi desestacionalizado;seasonally adjusted gdp;2.7;1.2;-1.7;-0.7;-1.1;0.2;0.4;;0.7;1.6;-0.6;3.6;2.1;3.4;
