sectores_economicos;economic_sectors;1996_nov;1996_dic;1996_ene_dic;1997_ene;1997_feb;1997_mar;1997_abr;1997_may;1997_jun;1997_jul;1997_ago;1997_sep;1997_oct;1997_nov;1997_ene_nov
agropecuario;agriculture and livestock;8.2;9.3;5.8;21.8;12.6;14.2;7.9;6.5;-3.2;-3.3;-8.0;0.5;3.2;10.4;4.2
agricola;agriculture;19.2;17.1;8.3;38.9;16.4;19.7;8.7;7.6;-4.5;-6.0;-14.7;-4.9;-2.2;7.3;3.1
pecuario;livestock;-3.5;0.0;0.6;3.0;7.5;4.5;5.7;2.6;2.2;4.5;7.6;9.5;11.0;14.6;6.6
pesca;fishing;44.1;75.0;-0.5;-18.9;-20.0;31.2;45.3;29.0;-11.4;-1.3;33.6;37.0;43.1;-51.9;1.3
mineria;mining and fuel;2.0;2.0;2.8;3.2;5.0;5.9;7.9;8.7;4.7;1.6;7.8;7.4;3.7;4.7;5.5
mineria metalica;metals;2.4;0.8;5.3;4.0;8.7;7.0;9.4;12.2;8.5;5.0;14.2;16.0;9.9;10.0;9.5
petroleo crudo;fuels;1.3;3.9;-1.2;1.8;-1.3;4.1;5.5;3.2;-1.6;-4.7;-3.8;-6.4;-6.9;-4.8;-1.4
manufactura;manufacturing;7.2;11.8;2.7;3.4;0.1;5.5;20.4;7.5;9.6;5.6;6.9;12.0;13.8;-0.8;7.5
procesadores recursos primarios;based on raw materials;19.3;32.6;5.5;-1.8;-10.8;9.5;28.2;12.4;1.1;3.1;7.1;18.0;14.3;-16.2;5.2
resto industria;non primary;1.8;3.2;1.6;5.8;4.1;4.3;16.7;5.1;13.5;6.5;6.8;10.1;13.6;7.3;8.4
construccion;construction;-0.2;5.1;-4.6;10.7;15.3;3.1;22.5;16.4;34.6;37.6;15.2;35.7;28.8;20.2;21.9
comercio;commerce;4.8;7.2;3.0;5.8;3.0;5.6;17.3;4.7;5.8;4.5;9.2;12.5;9.7;6.1;7.7
otros servicios;other services;4.2;5.3;3.2;3.6;3.2;3.8;9.2;4.6;8.3;5.5;7.3;9.1;5.5;6.3;6.1
pbi;gdp;5.2;7.8;2.6;5.7;4.5;6.0;14.1;7.2;7.4;6.2;6.3;11.7;10.0;5.0;7.6
pbi promedio de ultimos doce meses;average gdp for the last twelve months;1.8;2.6;;3.2;3.2;3.8;4.8;5.3;5.6;5.7;6.1;6.9;7.7;7.7;
pbi desestacionalizado;seasonally adjusted gdp;-0.1;0.7;;1.7;2.4;-5.4;14.7;-1.6;-2.4;0.6;-3.9;5.3;-1.1;-4.6;
