sectores_economicos;economic_sectors;1997_ene;1997_feb;1997_mar;1997_abr;1997_may;1997_jun;1997_jul;1997_ago;1997_sep;1997_oct;1997_nov;1997_dic;1997_ene_dic;1998_ene;1998_feb;1998_mar;1998_abr;1998_may;1998_jun;1998_ene_jun
agropecuario;agriculture and livestock;22.4;15.9;14.0;6.9;8.0;-1.4;-2.1;-8.9;-0.5;3.3;5.5;10.3;4.9;-1.0;3.4;6.4;4.5;-8.0;-0.5;0.0
agricola;agriculture;39.3;21.2;20.0;7.2;9.4;-2.6;-5.1;-16.5;-7.7;-3.6;-2.4;10.5;3.5;-5.2;4.1;6.5;5.4;-11.1;-2.4;-1.7
pecuario;livestock;4.1;8.7;3.8;6.1;3.1;3.8;6.9;8.8;11.5;13.2;16.1;10.0;8.0;5.1;2.3;6.2;2.0;3.8;6.7;4.3
pesca;fishing;-18.9;-20.1;30.9;45.3;28.9;-11.4;-1.3;33.5;36.6;43.0;-51.9;-73.7;-9.7;-78.0;-46.7;-58.4;-79.3;-63.5;-36.6;-64.9
mineria;mining and fuel;3.0;5.3;5.6;8.1;8.8;5.0;2.0;8.9;8.3;4.3;6.1;4.4;5.8;6.4;4.5;-1.1;-1.7;-3.9;-0.3;0.5
mineria metalica;mining;4.1;9.3;6.9;10.0;12.5;9.0;5.4;15.6;16.5;10.3;11.4;8.9;10.0;10.8;7.0;4.0;1.8;-2.9;0.7;3.4
mineria no metalica;fuels;1.1;-2.1;3.1;4.5;2.3;-2.2;-4.3;-3.2;-5.7;-6.1;-4.1;-3.9;-1.8;-1.7;-0.7;-10.8;-8.4;-5.9;-2.3;-5.1
manufactura;manufacturing;3.8;-0.2;4.1;17.5;7.7;9.1;5.4;5.7;10.6;14.2;-0.6;-3.2;6.0;-1.6;1.2;3.3;-13.8;-10.3;-7.6;-5.2
procesadores recursos primarios;based on raw materials;-11.3;-8.9;10.2;26.3;13.9;2.8;2.7;5.2;15.8;18.2;-16.8;-32.1;0.3;-27.9;-14.1;-16.0;-42.6;-34.2;-18.2;-27.3
resto industria;non primary;11.5;3.2;2.2;13.4;4.8;12.0;6.4;5.9;8.9;12.8;7.8;12.7;8.5;9.0;6.3;9.9;1.2;1.7;-3.1;4.2
construccion;construction;9.7;15.2;2.5;22.4;10.5;19.1;20.1;14.3;36.5;28.6;22.6;23.7;18.9;10.3;2.4;13.2;3.0;4.0;16.0;8.0
comercio;commerce;6.4;4.4;5.1;14.1;4.9;9.5;6.3;7.5;11.6;8.1;5.7;7.9;7.7;0.1;2.9;3.6;-1.8;-1.8;-0.1;0.3
otros servicios;other services;5.4;4.1;4.1;11.4;5.5;6.5;5.3;6.9;10.9;7.8;5.3;5.6;6.6;2.1;3.6;4.2;1.5;1.1;2.8;2.5
pbi;gdp;6.3;5.3;5.5;13.4;7.3;6.4;5.1;5.6;11.8;10.7;4.6;4.5;7.2;0.7;2.6;3.9;-3.7;-4.5;0.1;-0.4
pbi promedio de ultimos doce meses;average gdp for the last twelve months;3.1;3.2;3.8;4.8;5.3;5.5;5.7;6.0;6.8;7.6;7.6;7.2;;6.7;6.5;6.4;4.8;3.7;3.1;
pbi desestacionalizado;seasonally adjusted gdp;2.3;-0.4;-1.2;8.9;-4.4;-0.3;-0.4;-0.1;5.0;-1.4;-2.7;0.3;;-2.0;1.5;0.3;0.7;-5.4;4.6;
