sectores_economicos;economic_sectors;1997_sep;1997_oct;1997_nov;1997_dic;1997_ene_dic;1998_ene;1998_feb;1998_mar;1998_abr;1998_may;1998_jun;1998_jul;1998_ago;1998_sep;1998_ene_sep
agropecuario;agriculture and livestock;-0.5;3.3;5.5;10.3;4.9;-1.0;3.4;6.4;4.5;-8.0;-0.5;-5.6;5.0;8.9;0.5
agricola;agriculture;-7.7;-3.6;-2.4;10.5;3.5;-5.2;4.1;6.5;5.4;-11.1;-2.4;-9.5;2.3;9.1;-1.6
pecuario;livestock;11.5;13.2;16.1;10.0;8.0;5.1;2.3;6.2;2.0;3.8;6.7;4.6;9.8;8.7;5.5
pesca;fishing;45.2;28.4;-56.0;-78.2;-12.2;-77.1;-44.9;-54.5;-80.3;-63.3;-30.0;1.4;25.2;-19.1;-53.1
mineria;mining and fuel;8.3;4.3;6.1;4.4;5.8;6.8;4.0;-0.3;-0.9;-3.5;-0.1;6.2;5.1;7.7;2.8
mineria metalica;mining;16.5;10.3;11.4;8.9;10.0;11.5;6.3;5.2;3.0;-2.2;0.9;6.3;3.9;7.6;4.7
mineria no metalica;fuels;-5.7;-6.1;-4.1;-3.9;-1.8;-1.7;-0.7;-10.8;-8.4;-5.9;-2.3;6.0;7.6;8.0;-1.1
manufactura;manufacturing;10.6;14.2;-0.6;-3.2;6.0;-1.6;1.2;3.3;-13.8;-10.3;-7.6;0.7;3.7;-0.4;-3.1
procesadores recursos primarios;based on raw materials;15.8;18.2;-16.8;-32.1;0.3;-27.9;-14.1;-16.0;-42.6;-34.2;-18.2;0.1;8.3;0.0;-18.3
resto industria;non primary;8.9;12.8;7.8;12.7;8.5;9.0;6.3;9.9;1.2;1.7;-3.1;0.9;2.1;-0.5;3.1
construccion;construction;36.5;28.6;22.6;23.7;18.9;10.3;2.4;13.2;3.0;4.0;16.0;11.2;13.3;-0.1;7.9
comercio;commerce;11.7;7.8;5.4;7.6;7.6;0.1;3.0;3.7;-1.8;-1.7;0.3;1.3;1.9;-0.2;0.6
otros servicios;other services;10.9;7.8;5.2;5.5;6.6;2.1;3.6;4.3;1.4;1.1;3.0;3.3;3.7;3.2;2.8
pbi;gdp;11.9;10.6;4.5;4.3;7.2;0.8;2.5;4.1;-3.7;-4.4;0.2;2.2;4.8;2.5;0.9
pbi promedio de ultimos doce meses;average gdp for the last twelve months;6.8;7.6;7.5;7.2;;6.7;6.5;6.4;4.8;3.7;3.1;2.9;2.8;2.1;
pbi desestacionalizado;seasonally adjusted gdp;5.2;-1.6;-2.6;0.4;;-1.9;1.4;0.0;1.2;-5.4;4.6;1.6;2.4;3.0;
