sectores_economicos;economic_sectors;1998_ene;1998_feb;1998_mar;1998_abr;1998_may;1998_jun;1998_jul;1998_ago;1998_sep;1998_oct;1998_nov;1998_dic;1998_ene_dic;1999_ene
agropecuario;agriculture and livestock;0.2;4.8;7.8;4.9;-9.7;0.1;-2.2;1.4;9.4;11.5;16.8;17.6;3.6;15.8
agricola;agriculture;-3.9;5.3;7.6;5.2;-14;-2.3;-5.8;-3.1;8.7;12.7;27.6;27.6;2;20.5
pecuario;livestock;6.3;4.1;8.3;3.9;6.7;9.4;7.5;9.3;10.2;10.1;4.9;3.5;7;9.6
pesca;fishing;-77.1;-44.9;-54.5;-80.3;-63.3;-30;1.4;25.2;-19.1;13.3;23.5;169.8;-35.7;174.3
mineria;mining and fuel;6.9;4.1;-0.3;-0.9;-3.4;0;7.1;5.6;8.7;11.2;7.5;10.5;4.8;10.2
mineria metalica;mining;11.6;6.4;5.3;3;-2.1;1.1;7.7;4.7;9;13;8.2;14;6.8;14.3
mineria no metalica;fuels;-1.7;-0.7;-10.8;-8.4;-5.9;-2.3;6;7.6;8;7.6;6;3;0.6;1.5
manufactura;manufacturing;-1.2;1.6;3.7;-14.6;-9.4;-6.5;1.5;4.6;0;-5.8;-2.3;-4;-3;-0.8
procesadores recursos primarios;based on raw materials;-27.6;-13.8;-16.3;-44.8;-34.2;-18;-0.1;8.1;-0.4;6.1;4.4;31.6;-11;38.8
resto industria;non primary;9.4;6.7;10.5;1.9;3.1;-1.6;2.1;3.4;0.1;-10.1;-4.9;-15.6;0.2;-11.3
construccion;construction;10.3;2.4;13.2;3;4;16;11.2;13.3;-0.1;-14;-8.9;-10.7;2.3;-9.7
comercio;commerce;0.6;2.7;4.1;-1.1;-2.3;0.4;0.3;0.2;-1.2;-8.7;-2.4;-6.5;-1.2;-8.5
otros servicios;other services;1.7;4;4.2;1.7;1.8;3.1;2.7;2.7;3;0.3;0.3;0;2.1;0.1
pbi;gdp;1;2.8;4.4;-3.7;-4.4;0.6;2.7;4.1;2.5;-1.7;0.8;0.4;0.7;0.7
pbi promedio de ultimos doce meses;average gdp for the last twelve months;6.7;6.5;6.4;4.9;3.7;3.2;3.1;3;2.3;1.3;1;0.7;;0.6
pbi desestacionalizado;seasonally adjusted gdp;-2.2;1.4;-0.8;1.2;-4.4;4.4;1.1;1;1.2;-1.9;-0.5;0.1;;-1.7
