sectores_economicos;economic_sectors;1998_ene;1998_feb;1998_mar;1998_abr;1998_may;1998_jun;1998_jul;1998_ago;1998_sep;1998_oct;1998_nov;1998_dic;1998_ene_dic;1999_ene;1999_feb;1999_ene_feb
agropecuario;agriculture and livestock;0.2;4.8;7.8;4.9;-9.7;0.1;-2.2;1.4;9.4;11.5;16.8;17.6;3.6;15.8;8.5;12
agricola;agriculture;-3.9;5.3;7.6;5.2;-14;-2.3;-5.8;-3.1;8.7;12.7;27.6;27.6;2;20.5;3.9;11.6
pecuario;livestock;6.3;4.1;8.3;3.9;6.7;9.4;7.5;9.3;10.2;10.1;4.9;3.5;7;9.6;15.6;12.6
pesca;fishing;-73.6;-44;-56.2;-81;-64.8;-39;4.7;23.8;-12.8;12.2;28.2;176.6;-35.6;138.1;78.4;107.1
mineria;mining and fuel;6.9;4.1;-0.3;-0.9;-3.4;0;7.1;5.6;8.7;11.2;7.5;10.5;4.8;10.2;6.9;8.6
mineria metalica;mining;11.6;6.4;5.3;3;-2.1;1.1;7.7;4.7;9;13;8.2;14;6.8;14.3;12.1;13.2
mineria no metalica;fuels;-1.7;-0.7;-10.8;-8.4;-5.9;-2.3;6;7.6;8;7.6;6;3;0.6;1.5;-4.4;-1.4
manufactura;manufacturing;-1.2;1.6;3.7;-14.6;-9.4;-6.5;1.5;4.6;0;-5.8;-2.3;-4;-3;-0.8;1.9;0.5
procesadores recursos primarios;based on raw materials;-27.6;-13.8;-16.3;-44.8;-34.2;-18;-0.1;8.1;-0.4;6.1;4.4;31.6;-11;38.8;35.6;37.3
resto industria;non primary;9.4;6.7;10.5;1.9;3.1;-1.6;2.1;3.4;0.1;-10.1;-4.9;-15.6;0.2;-11.3;-7.2;-9.4
construccion;construction;10.3;2.4;13.2;3;4;16;11.2;13.3;-0.1;-14;-8.9;-10.7;2.3;-9.7;-16.4;-12.9
comercio;commerce;0.7;2.8;4.1;-1.2;-2.4;0.1;0.4;0.1;-1.1;-8.5;-2.2;-6.4;-1.2;-8.5;-6;-7.3
otros servicios;other services;1.7;4;4.1;1.7;1.8;3;2.8;2.7;3;0.3;0.3;0;2.1;0.1;0;0.1
pbi;gdp;1.1;2.8;4.4;-3.7;-4.4;0.5;2.7;4.1;2.6;-1.6;0.9;0.5;0.7;0.7;0.2;0.4
pbi promedio de ultimos doce meses;average gdp for the last twelve months;6.7;6.5;6.4;4.9;3.7;3.2;3.1;3;2.3;1.3;1;0.7;;0.6;0.4;
pbi desestacionalizado;seasonally adjusted gdp;-2.2;1.4;-0.9;1.2;-4.4;4.3;1.3;1;1.2;-2;-0.4;0.1;;-1.7;0.5;
