sectores_economicos;economic_sectors;1998_jul;1998_ago;1998_sep;1998_oct;1998_nov;1998_dic;1998_ene_dic;1999_ene;1999_feb;1999_mar;1999_abr;1999_may;1999_jun;1999_jul;1999_ene_jul
agropecuario;agriculture and livestock;-2.1;1.1;9.5;11.6;16.8;17.8;3.6;18.6;9.2;5.9;7.1;23.1;11.7;25.6;14.4
agricola;agriculture;-6.1;-3.8;8.9;12.8;27.3;28.4;2;24.4;5.9;3.2;5.5;26.6;13.3;36.7;16.2
pecuario;livestock;7.5;9.3;10.2;10.1;4.9;3.5;7;10.6;15.4;11.3;12.1;11.6;4.9;2.5;9.7
pesca;fishing;4.7;23.8;-12.8;12.2;28.2;176.6;-35.6;138.1;78.4;129.9;251.9;80.5;92.8;-26.8;91.3
mineria e hidrocarburos;mining and fuel;7;5.5;8.5;11.1;7.4;10.4;4.7;16.9;11.2;16.8;15.9;13;19.4;8.8;14.5
mineria;mining;7.7;4.7;9;13;8.2;14;6.8;24.6;18.6;24.4;24.8;23.4;31.1;17.8;23.5
petroleo y gas;fuels;5.6;7.1;7.4;7.1;5.6;2.6;0.3;0.9;-4.7;-0.4;-3.3;-7.9;-5.1;-9.9;-4.4
manufactura;manufacturing;2.3;4.6;-0.1;-6.2;-3.3;-6.7;-2.8;-0.8;1.9;6;8.8;5;6.9;-3.7;3.4
procesadores recursos primarios;based on raw materials;3.6;8.5;0.3;5.5;5.2;26;-10.6;38.2;35.3;34.7;59.1;30.2;26.5;-9.4;28.8
resto industria;non primary;1.8;3.3;-0.2;-10.5;-6.7;-17.7;0.4;-12.2;-7.4;-2.5;-7;-2.9;-0.5;-1.2;-4.9
construccion;construction;10.2;11.8;0.1;-13.4;-8.3;-11.4;1.3;-9.7;-16.4;-12.6;-15.6;-20.3;-22;-22.7;-17.1
comercio;commerce;-1.9;-1.6;-4.9;-9.2;-3.1;-9.2;-2.2;-9.5;-6.2;-6.1;-5.9;-0.8;1.6;-4.9;-4.5
otros servicios;other services;2.3;2;1.1;0.4;0.3;0;1.6;-0.6;-0.3;0.2;0.7;1.7;1.4;-0.4;0.4
pbi;gdp;2.4;3.5;1.4;-1.7;0.6;-0.6;0.3;1.1;0.3;2.1;3.6;5.1;4.4;0.1;2.5
pbi desestacionalizado;seasonally adjusted gdp;1.3;1.1;0.5;-1.1;-0.9;-0.8;;-1.1;1.3;0.9;2.2;-3.2;3.3;-2.8;
pbi promedio de ultimos doce meses;average gdp for the last twelve months;2.7;2.6;1.9;0.9;0.6;0.3;;0.4;0.1;-0.1;0.6;1.5;1.9;1.7;
pbi promedio de ultimos tres meses;average gdp for the last three months;-1;1.8;2.4;1;0.1;-0.6;;0.3;0.3;1.2;2.1;3.6;4.4;3.3;
pbi sectores primarios;gdp primary sectors;1.1;3.7;5.8;9.2;9.8;18.7;;22.2;14.4;15;19.8;20.9;16.8;11.2;
pbi sectores no primarios;gdp non primary sectors;3.4;3.4;-1;-7.8;-4.9;-11.4;;-10.8;-8.8;-6.1;-8;-7.3;-7.5;-7.8;
demanda interna promedio de ultimos tres meses;average domestic demand for the last three months;1.9;3.3;-1.5;-4.4;-7.1;-7.5;;-9.1;-10.1;-10.4;-7.9;-5.7;-4;-4.8;
