sectores_economicos;economic_sectors;1999_may;1999_jun;1999_jul;1999_ago;1999_sep;1999_oct;1999_nov;1999_dic;1999_year;2000_ene;2000_feb;2000_mar;2000_abr;2000_may;2000_ene_may
agropecuario;agriculture and livestock;24.2;17.7;24.4;11.1;10;8.2;4.7;-6.1;12;1.4;5.5;7.2;6.4;6.5;5.6
agricola;agriculture;27.4;22;37.8;17.4;16.9;14;5.4;-13.9;14.2;-2.5;7.9;11.7;7.7;7.3;6.8
pecuario;livestock;17;8.3;4.1;4.3;3.3;2.4;4.7;6.5;9.3;5.8;3;1.7;4.4;4.7;3.9
pesca;fishing;25.3;44.1;-17.4;-10.4;-12.6;29.2;24.8;68.2;28.9;3.1;-8.8;111.8;-12;31;21.6
mineria e hidrocarburos;mining and fuel;14.6;19.8;8.5;10.3;7.4;9.7;13.6;2.9;11.8;5.2;8.5;-1.4;3.4;5.2;4.1
mineria;mining;17.7;23.1;10.8;13.3;10;12.8;16.3;4.6;14.3;7.9;10.8;-0.4;5.3;6.6;6
petroleo y gas;fuels;-6.6;-3.6;-8;-11.2;-11.3;-12.7;-6.5;-10.8;-6.4;-13.4;-7.9;-8.7;-9.3;-3.6;-8.7
manufactura;manufacturing;-0.2;-1.8;-5.3;-6;0;6.3;9;17.4;0.3;10.7;13;20.2;7;13.1;12.8
procesadores recursos primarios;based on raw materials;33.9;30.8;-6.4;-5.1;-1.1;15.6;17.2;40.1;23.3;8.4;0.4;58.5;-6.4;22.3;15.7
resto industria;non primary;-5.7;-7.2;-5.1;-6.1;0.2;4.5;7.3;12.1;-3.6;11.2;15.7;12.6;10.6;11;12.2
construccion;construction;-10.2;-12.9;-16.3;-19.3;-14.5;-1.6;1.6;-2.8;-10.8;3.8;7.4;0.7;-6.8;6.9;2.4
comercio;commerce;3.2;0.5;0.9;-3.9;0.2;3.6;4.3;0.3;-1.6;6;9.3;10.9;6.5;7.1;7.9
otros servicios;other services;2.2;1.8;0.2;-0.8;1.9;2.5;3.3;2.6;1.2;4.8;3.8;4.6;4.7;4.5;4.5
pbi;gdp;4.2;2.8;0.6;-2;1;3.9;5;3.7;1.4;5.5;6.4;7.9;4.7;6.6;6.2
pbi sectores primarios;gdp primary sectors;22.8;20.5;13.3;7.8;6.8;10.6;10.6;7.2;14;3.8;5.3;14.2;3;8.9;7.1
pbi sectores no primarios;gdp non primary sectors;0.4;-0.8;-1.7;-3.6;0;2.7;3.9;3.1;-0.9;5.8;6.6;6.6;5.1;6;6
pbi desestacionalizado;seasonally adjusted gdp;0.9;0.3;0.4;-3;3;2;-0.3;0;;1.7;-1.1;4.3;-1.6;-1.2;
pbi promedio de ultimos doce meses;average gdp for the last twelve months;-0.4;-0.1;0;-0.3;-0.2;0.5;0.9;1.4;;1.9;2.5;3.2;3.6;3.8;
pbi promedio de ultimos tres meses;average gdp for the last three months;1.2;2.1;2.6;0.5;-0.1;0.9;3.3;4.2;;4.7;5.2;6.6;6.3;6.4;
demanda interna promedio de ultimos tres meses;average domestic demand for the last three months;-3.9;-3;-2.7;-4.5;-3.8;-0.8;3;4;;5.4;5.7;6.9;5.4;6.2;
