sectores_economicos;economic_sectors;1999_sep;1999_oct;1999_nov;1999_dic;1999_year;2000_ene;2000_feb;2000_mar;2000_abr;2000_may;2000_jun;2000_jul;2000_ago;2000_sep;2000_ene_sep
agropecuario;agriculture and livestock;10;8.2;4.7;-6.1;12;0.9;4.4;6.4;7.9;6.4;7.7;8.9;8.1;5;6.4
agricola;agriculture;16.9;14;5.4;-13.9;14.2;-3.2;5.7;9.9;9.7;7.1;8;7.2;7;1.5;6.5
pecuario;livestock;3.3;2.4;4.7;6.5;9.3;5.8;3;1.7;4.4;4.7;6.9;11.5;9.3;8.5;6.2
pesca;fishing;-12.6;29.2;24.8;68.2;28.9;-7.9;-7.2;131.4;-15.2;26.7;27.8;57;-19.2;-11.9;18.1
mineria e hidrocarburos;mining and fuel;7.4;9.7;13.6;2.9;11.8;4.7;8.2;-0.7;3.7;5.6;-3.6;-0.9;0.9;4.8;2.4
mineria;mining;10;12.8;16.3;4.6;14.3;7.6;11;0.5;5.6;6.7;-3.1;-0.1;1.7;6.6;3.9
petroleo y gas;fuels;-11.3;-12.7;-6.5;-10.8;-6.4;-13.4;-7.9;-8.7;-9.3;-3.6;-5.9;-4.9;-3;-6;-7
manufactura;manufacturing;0;6.3;9;17.4;0.3;10;10.8;17.7;5.5;12;9.6;10.8;10.3;-1.5;9.4
procesadores recursos primarios;based on raw materials;-4.4;13.3;13.7;33.2;15.6;3.7;2.9;44.4;-3;20.7;21.1;32.1;11.6;3.2;15.1
resto industria;non primary;1.1;4.5;7.7;12.3;-3.4;11.9;13;10.5;8.3;9.3;6.1;5.4;10;-2.7;7.8
construccion;construction;-14.5;-1.6;1.6;-2.8;-10.8;6.9;8.7;0.4;-8.3;4.7;-4.1;-3.5;-0.7;-10.6;-0.9
comercio;commerce;0.2;3.6;4.3;0.3;-1.6;7.1;8.5;9.5;6.2;7.1;6.2;5.9;6.9;0.2;6.4
otros servicios;other services;1.9;2.5;3.3;2.6;1.2;4.6;4;4.6;3.7;5;3.6;3.4;3.7;0.3;3.6
pbi;gdp;1;3.9;5;3.7;1.4;5.5;6;7.4;4;6.6;4.6;4.9;4.9;-0.1;4.9
pbi sectores primarios;gdp primary sectors;5.7;10.4;10.2;7.2;13;2.4;5;13.8;4.1;8.9;7.4;10.7;5.6;4.3;7
pbi sectores no primarios;gdp non primary sectors;0.1;2.7;4;3;-0.9;6.1;6.2;6;4;6;3.9;3.6;4.8;-0.9;4.4
pbi desestacionalizado;seasonally adjusted gdp;3;2;-0.3;0;;1.6;-1.4;4.2;-1.8;-0.5;1.5;0.3;-4.2;-0.2;
pbi promedio de ultimos doce meses;average gdp for the last twelve months;-0.2;0.5;0.9;1.4;;1.9;2.5;3.1;3.5;3.7;3.9;4.2;4.8;4.7;
pbi promedio de ultimos tres meses;average gdp for the last three months;-0.1;0.9;3.3;4.2;;4.7;5;6.3;5.8;6;5.1;5.4;4.8;3.3;
demanda interna promedio de ultimos tres meses;average domestic demand for the last three months;-4;-1.1;2.5;3.7;;4.9;5.2;6.1;4.6;5.7;4.8;5.4;4.1;2.9;
