sectores_economicos;economic_sectors;2000_jun;2000_jul;2000_ago;2000_sep;2000_oct;2000_nov;2000_dic;2000_year;2001_ene;2001_feb;2001_mar;2001_abr;2001_may;2001_jun;2001_ene_jun
agropecuario;agriculture and livestock;8;8.8;7;4;3.1;6;7.4;6.2;0.3;-0.6;-3.1;-5.5;-1.6;-1.4;-2.1
agricola;agriculture;9;8.4;6.2;1.1;0.2;6.1;9.5;6.7;-2.2;-2.6;-7.5;-8.8;-3.5;-3.2;-4.8
pecuario;livestock;6.3;10.4;8.6;8.2;7.6;6.4;5.2;6;3;1.8;3.2;1.1;3;2.6;2.5
pesca;fishing;38.5;74;-9.5;-13.3;-22.8;15.1;-29.7;9.1;20.4;21;-30.1;45.9;6;-29.6;-1.2
mineria e hidrocarburos;mining and fuel;-3.6;0.2;1;4.9;3.3;0.9;1;2.4;-4.5;-7;0.7;0.3;4.3;5.6;-0.1
mineria;metals;-3.5;0.7;1.3;6.2;4.1;1.7;1.4;3.4;-4.6;-6.8;1.3;0.5;4.5;7.6;0.4
hidrocarburos;fuel;-5.9;-4.9;-3;-6;-5.1;-6.6;-3.6;-6.5;-2.8;-8;-4;-1.2;2.8;-10.5;-3.9
manufactura;manufacturing;9;10.8;10.2;0.4;1.2;0.9;-6.8;6.7;-0.2;-3.9;-6.3;2.4;0.7;-3.2;-1.8
procesadores recursos primarios;based on raw materials;22.1;33.8;11.8;5.1;-6.7;9.8;-19.4;8.6;1.7;2.5;-15.4;20.8;4.7;-13;-0.8
industria no primaria;non primary industries;4.9;4.5;9.8;-0.8;3.7;-2;-1.9;6.1;-0.8;-5.6;-2.9;-3.3;-0.7;0.4;-2.1
construccion;construction;-3.2;-2.1;1.7;-7.8;-12.1;-15.7;-19.6;-4.3;-14.8;-18.3;-14.2;1.3;-6.5;-12.4;-11.2
comercio;commerce;7.6;6.9;9.6;-2.5;1.9;1.9;-1.6;5.1;-0.6;2.8;-1.4;-1.9;-1.1;-3.9;-1.1
otros servicios;other services;3.1;3.5;4.2;-1.8;0.9;-3.7;-2.6;1.8;-1;-1.7;-1.4;-0.2;-0.1;-1.1;-0.9
pbi;gdp;4.7;5.4;5.6;-1.2;0.4;-1.9;-3.5;3.1;-1.6;-2.4;-3.1;-0.3;-0.4;-2.3;-1.7
pbi sectores primarios;primary sectors;8.1;11.8;5.4;4.2;0.2;5.6;-3.2;5.6;-0.6;-1.6;-6.1;1.8;1.1;-2.9;-1.3
pbi sectores no primarios;non primary sectors;3.8;3.9;5.7;-2.2;0.5;-3.4;-3.5;2.6;-1.9;-2.6;-2.4;-0.8;-0.7;-2.1;-1.8
pbi desestacionalizado;seasonally adjusted gdp;1;-0.9;-2.9;-2.8;2.7;-1.9;-1.6;;2.9;-0.9;4;0.9;-0.5;-0.9;
demanda interna;domestic demand;2.9;5.7;5.1;-3.6;-0.8;-1.7;-5.9;2.4;-1.8;-1;-3.4;-0.6;-1;-3.1;-2.1
demanda interna desestacionalizada;seasonally adjusted domestic demand;-0.6;-0.9;-4.3;-1;3.3;-1.8;-1.3;;2.8;-0.9;2.7;0.8;0.5;-2.7;
;;;;;;;;;;;;;;;;
