sectores_economicos;economic_sectors;2000_oct;2000_nov;2000_dic;2000_year;2001_ene;2001_feb;2001_mar;2001_abr;2001_may;2001_jun;2001_jul;2001_ago;2001_sep;2001_oct;2001_ene_oct
agropecuario;agriculture and livestock;3.1;6.0;7.4;6.2;0.2;-0.5;-3.9;-5.0;-2.8;-0.8;-2.7;5.8;1.0;2.1;-1.0
agricola;agriculture;0.2;6.1;9.5;6.7;-2.3;-2.5;-8.9;-8.2;-5.2;-2.4;-6.8;10.2;0.1;2.8;-3.3
pecuario;livestock;7.6;6.4;5.2;6.0;3.0;1.8;3.2;1.1;3.0;2.6;3.8;1.3;1.8;1.5;2.3
pesca;fishing;-22.8;15.1;-29.7;9.1;20.4;21.0;-30.1;45.9;6.0;-29.6;-31.0;-6.2;-8.9;4.0;-5.2
mineria e hidrocarburos;mining and fuel;3.3;0.9;1.0;2.4;-4.5;-6.8;0.8;0.5;4.4;5.8;17.4;23.8;22.1;17.5;8.2
mineria;metals;4.1;1.7;1.4;3.4;-4.7;-6.7;1.4;0.6;4.6;7.9;20.1;26.8;24.6;19.4;9.5
hidrocarburos;fuel;-5.1;-6.6;-3.6;-6.5;-2.8;-8.0;-4.0;-1.2;2.8;-10.5;-2.8;-0.5;1.4;1.3;-2.4
manufactura;manufacturing;1.2;0.9;-6.8;6.7;0.4;-3.9;-6.3;2.4;0.9;-4.0;-3.1;-3.6;0.9;1.9;-1.5
procesadores recursos primarios;based on raw materials;-6.8;9.7;-19.5;8.5;-0.1;2.0;-16.3;20.0;4.1;-13.1;-8.4;4.7;6.0;7.8;-0.3
industria no primaria;non primary industries;3.7;-1.9;-1.8;6.1;0.6;-5.3;-3.0;-2.4;-0.1;-1.0;-1.5;-5.5;-0.4;0.5;-1.8
construccion;construction;-12.1;-15.7;-19.6;-4.3;-14.8;-18.3;-14.2;1.3;-6.4;-12.4;-8.2;-9.1;-7.6;0.6;-9.1
comercio;commerce;1.9;1.9;-1.6;5.1;-0.2;1.6;-3.4;-2.1;-2.1;-3.9;-2.0;-0.3;2.4;1.6;-1.0
otros servicios;other services;0.8;-3.8;-2.6;1.8;-0.7;-1.8;-1.7;-0.1;-0.4;-1.2;-0.1;-0.1;1.6;0.9;-0.4
pbi;gdp;0.4;-1.9;-3.5;3.1;-1.3;-2.6;-3.6;-0.3;-0.8;-2.4;-0.8;0.6;2.2;2.2;-0.7
pbi sectores primarios;primary sectors;0.2;5.6;-3.2;5.6;-0.6;-1.5;-6.4;2.1;0.5;-2.4;0.7;11.6;8.8;8.6;1.7
pbi sectores no primarios;non primary sectors;0.4;-3.4;-3.6;2.6;-1.5;-2.9;-3.0;-0.8;-1.1;-2.3;-1.1;-1.6;0.8;0.9;-1.3
pbi desestacionalizado;seasonally adjusted gdp;1.2;-0.1;0.0;;-0.6;0.9;0.3;0.8;0.2;-0.9;-0.2;1.1;0.4;-0.2;
demanda interna;domestic demand;-0.8;-1.7;-5.9;2.4;-1.4;-1.1;-3.8;-0.8;-1.7;-3.4;-2.6;-1.4;0.4;0.2;-1.6
demanda interna desestacionalizada;seasonally adjusted domestic demand;1.4;0.5;-0.5;;0.7;2.8;-1.2;0.2;0.3;-3.1;-1.6;1.5;1.2;-0.4;
