sectores_economicos;economic_sectors;2004_ene;2004_feb;2004_mar;2004_abr;2004_may;2004_jun;2004_jul;2004_ago;2004_set;2004_oct;2004_nov;2004_dic;2004_year;2005_ene
agropecuario;agriculture and livestock;4.2;1.2;0.2;-5.3;-3.2;-7.4;-2;-0.5;0.4;0.1;4.1;3.4;-1.1;1.5
agricola;agriculture;3.9;1;-1;-8.4;-5.1;-11.4;-5.5;-2.8;0;-1.9;7.4;1.5;-3.2;1.4
pecuario;livestock;4.6;1.4;1.8;0.7;1.1;1;3.2;2.1;0.7;2.1;0.7;5.2;2;1.6
pesca;fishing;9.7;14.5;33;16.9;43.4;30.8;65.8;8.1;49.9;-0.9;34.2;38.4;28.3;-0.4
mineria e hidrocarburos;mining and fuel;10.6;18.1;9.5;10.8;0;-2.1;-1.7;6;0.6;2.7;5.3;7.9;5.4;0
mineria;metals;12.3;19.7;10.9;12.1;0.4;-2.5;-2.4;5.4;-1.3;0.6;3.2;7.1;5.2;-2.2
hidrocarburos;fuel;-3.4;-4.1;-8.7;-6.3;-5.2;-1.5;3.2;11.5;23.6;28.9;30.4;17.5;7.1;30.1
manufactura;manufacturing;4.1;2.9;7;5;6.2;7.4;9.4;5.4;4.9;6.5;10.9;10.7;6.7;3.3
procesadores recursos primarios;based on raw materials;7.5;-2.3;0;-3.3;10.8;17.5;18.7;-3.5;-7.7;-1.5;10.1;7.5;4.6;-6.6
industria no primaria;non primary industries;3.3;4.1;8.6;7.6;4.9;4.9;7.2;7.5;7.7;8.5;11.1;11.4;7.2;5.7
electricidad y agua;electricity and water;3.2;6.4;4.4;5;4.2;3.5;2.4;4.3;5.5;3.2;4.6;6.8;4.5;5.1
construcción;construction;6.9;5.9;8.7;3.6;3;5.4;0.7;4.5;4.9;-2.9;8.2;7.8;4.7;4.7
comercio;commerce;2.2;3;5.1;3.1;1.3;1.1;1.8;8.1;5.5;4.1;13.2;9.7;4.7;7
otros servicios;other services;3.4;4.8;8.4;4.3;3.8;4;5.8;7.9;6.2;2.3;10.3;10.9;6;6.6
valor agregado bruto;gross aggreagated value;4.1;5;6.9;3.6;2.8;2.4;4.3;6.3;5;2.8;9.8;9.7;5.2;5
impuestos a los productos y derechos de importación;taxes on products and import duties;0.3;8.7;-0.7;5.6;14.6;9.8;-0.5;4.4;4.8;-0.6;0;3.6;4;8.1
pbi;gdp;3.8;5.3;6.2;3.7;3.7;3.1;3.9;6.1;4.9;2.5;8.8;9.1;5.1;5.3
vab sectores primarios;primary sectors;7.3;6.9;4;0.3;0.9;-1.4;2.5;1.6;-0.2;0.9;6.6;6.7;2.8;-0.4
vab sectores no primarios;non primary sectors;3.3;4.5;7.6;4.5;3.3;3.6;4.8;7.5;6.2;3.3;10.6;10.4;5.8;6.4
pbi desestacionalizado;seasonally adjusted gdp;1.3;1.1;1;-0.8;-1.2;1.1;0.4;1.2;-0.7;-1.4;5.3;1.3;;-2.2
demanda interna;domestic demand;1.9;3.5;3.2;4.2;4.1;4.7;0.8;5.2;3.9;-0.2;8.5;7;3.9;3.8
