sectores_economicos;economic_sectors;2004_jun;2004_jul;2004_ago;2004_set;2004_oct;2004_nov;2004_dic;2004_year;2005_ene;2005_feb;2005_mar;2005_abr;2005_may;2005_jun;2005_ene_jun
agropecuario;agriculture and livestock;-7.8;-2.2;-0.4;0.7;0.2;4.8;3.5;-1.1;0.5;3.8;3;8;3;8.6;4.8
agricola;agriculture;-11.4;-5.6;-2.8;0;-1.9;7.4;1.5;-3.2;0.5;5.3;3.4;10.7;3;11.4;6.1
pecuario;livestock;1;3.2;2.1;0.7;2.1;0.7;5.2;2;0.7;2;2.5;3.2;3.2;3.5;2.5
pesca;fishing;33.5;69.5;10.5;53.3;1.3;37;40.9;30.5;8;20.8;9.3;-0.2;2.4;-13.2;2.2
mineria e hidrocarburos;mining and fuel;-2.1;-1.8;5.9;0.2;2.4;4.9;7.8;5.4;0;-0.3;2.8;0.1;4.8;8.5;2.6
mineria;metals;-2.4;-2.3;5.5;-1.2;0.7;3.3;7.2;5.3;-2.2;-2.8;0.2;-2.9;2;6.1;0
hidrocarburos;fuel;-1.5;3.2;11.5;23.6;28.9;30.4;17.5;7.1;30.1;36.3;36.2;39.2;38.5;36.2;36
manufactura;manufacturing;6.1;9.8;4.9;4.2;6;11.1;10.1;6.7;5.8;8.8;2.4;6.8;9.2;5.9;6.5
procesadores recursos primarios;based on raw materials;18.6;20.2;-2.5;-5.9;-0.5;10.9;8.7;5.9;-3.4;3.8;-3.4;-0.8;3.6;-5;-0.9
industria no primaria;non primary industries;2.8;7.1;6.8;6.7;7.8;11.2;10.5;6.9;8;9.8;3.6;8.8;10.9;8.9;8.3
electricidad y agua;electricity and water;3.6;2.5;4.4;5.5;3.2;4.6;6.8;4.6;5.5;1.8;4.1;5.5;6.6;4.8;4.7
construcción;construction;5.4;0.7;4.6;5;-2.8;8.3;8;4.7;4.7;4;-0.1;10.6;8;3.8;5.1
comercio;commerce;1.5;2.1;8.5;5.9;4.4;13.6;9.7;4.8;9;9.2;5.3;9;7.1;3.3;7.1
otros servicios;other services;2.5;4.3;6.4;4.9;1.1;8.8;9.3;4.7;7.2;10.4;5.4;4.1;6;5;6.3
