sectores_economicos;economic_sectors;2005_may;2005_jun;2005_jul;2005_ago;2005_set;2005_oct;2005_nov;2005_dic;2005_year;2006_ene;2006_feb;2006_mar;2006_abr;2006_may;2006_ene_may
agropecuario;agriculture and livestock;3;7.4;5.8;3.3;5.8;6.2;3.4;8.6;4.8;-0.2;1.1;4.7;8;1;3.1
agricola;agriculture;2.5;8.8;7.1;0.7;4.7;1.5;-3.6;8;4;-4.3;-1.5;5;9.1;-1.2;1.9
pecuario;livestock;5;4.8;3.9;7;7.3;12.6;13.2;9.8;6.6;4.4;4.1;4.3;5.8;6;4.9
pesca;fishing;3.7;-3.6;-13.4;12.8;-11.8;-26.5;28.3;-24.7;1.2;8.4;12.8;38.2;-30.1;-23;-6.2
mineria e hidrocarburos;mining and fuel;4.3;10.6;14.5;8.1;10.4;14.9;17.1;15.1;8.1;5.6;1.8;7.4;8.4;9.7;6.6
mineria;metals;1.9;9.4;13.8;6.9;11.5;16.9;19.6;16.1;7.4;5.4;1.1;9.1;9.1;10.5;7
hidrocarburos;fuel;38.3;36;37.5;29.6;6;0.7;1.7;11.3;23.4;6.7;4.4;-9.5;-0.7;2.6;0.6
manufactura;manufacturing;9;8;4.6;9.5;4.7;2.9;7.6;3;6.5;4.8;4.2;9.8;-1.5;2.6;3.9
procesadores recursos primarios;based on raw materials;7.2;0.2;-4.3;7.6;0.5;-7;15.9;-5.1;2.1;2.7;4.3;12.7;-10;-6.9;-0.4
industria no primaria;non primary industries;9.5;10.6;7.5;9.9;5.7;5.5;5.1;5.2;7.7;5.3;4.1;9.2;0.7;5.3;4.9
electricidad y agua;electricity and water;6.6;4.6;5.1;6;5.8;7.8;5.2;6;5.3;6.4;6.7;7;2.8;4.1;5.4
construcción;construction;7.5;2.9;9.8;10.5;11.5;12.4;13.3;14.1;8.4;14.1;14.8;20.1;4.9;19.3;14.6
comercio;commerce;6.4;3;3.8;5;4.6;5.8;3.7;2.8;5.2;3.1;8.1;15.8;6.3;4.7;7.4
otros servicios;other services;6.5;5.5;3.7;5.9;8.1;7.6;7.5;9.5;6.3;5.2;5.4;8.8;4.2;8.8;6.5
valor agregado bruto;gross aggreagated value;6.3;5.9;5;6.6;7.1;7.1;7.9;7.7;6.2;4.9;5.5;10.3;4.1;6.3;6.2
impuestos a los productos y derechos de importación;taxes on products and import duties;8.2;0.3;7.6;14.8;-0.2;13.3;13.7;2.5;8.5;5.9;-1.1;10.5;-0.6;9;4.8
pbi;gdp;6.5;5.3;5.2;7.4;6.3;7.7;8.3;7.2;6.4;5;4.9;10.3;3.6;6.5;6.1
vab sectores primarios;primary sectors;4.1;6.7;6;6;6.3;6.2;11.9;7.2;5.4;2.7;2.2;7.8;3.7;1;3.4
vab sectores no primarios;non primary sectors;7;5.6;4.7;6.8;7.2;7.3;6.7;7.9;6.5;5.5;6.4;11;4.2;7.9;7
pbi desestacionalizado;seasonally adjusted gdp;0.7;0.8;0.3;0;1;0.4;2.7;2.1;;-5.2;0.7;3.6;-0.8;1.3;
demanda interna;domestic demand;6.2;2.5;5.3;7;5.9;8.9;7.9;4.9;5.5;8.7;7.2;14.7;2.6;9.5;8.4
demanda interna desestacionalizada;seasonally adjusted domestic demand;0.9;0.3;1.8;-1.4;0.6;1.3;2.7;0;;-1.4;0.2;3.6;-1.4;3.5;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
