sectores_economicos;economic_sectors;2007_mar;2007_abr;2007_may;2007_jun;2007_jul;2007_ago;2007_set;2007_oct;2007_nov;2007_dic;2007_year;2008_ene;2008_feb;2008_mar;2008_ene_mar
agropecuario;agriculture and livestock;6.3;-0.9;4.3;3.2;-4.5;-3;2.9;3.2;3.7;7.4;3.1;3.9;2.7;0.4;2.2
agricola;agriculture;3.9;-3;4.4;2.5;-8.3;-7;3.9;3.6;5.3;9.7;2.1;4.2;3.5;-0.5;2.2
pecuario;livestock;9.8;4.3;4.1;4.5;1.8;2.2;1.8;2.6;1.9;4.9;4.7;3.5;1.8;1.8;2.3
pesca;fishing;3.9;9.2;12.4;-3.4;-1;1;-10.5;0.4;16.4;-0.8;6.9;8.7;-0.4;-7.7;0
mineria e hidrocarburos;mining and fuel;2.4;-1.1;-0.5;-4.1;2;3.4;8.3;8;1.8;12.4;2.1;2.7;14.6;2;6.2
mineria;metals;1.1;-1.7;-1.9;-5;3.3;4.4;8.9;6.6;0.7;12.8;1.7;3.6;15.1;2.1;6.6
hidrocarburos;fuel;16.6;5.1;9.2;3.2;2.3;-4.1;3.9;15;5.8;8.6;6.5;-4.8;10.6;1.3;2
manufactura;manufacturing;7.5;10.6;13.1;12.7;14.2;7.1;9.9;14.3;11.4;6.5;10.6;10.4;13.7;6.3;10
procesadores recursos primarios;based on raw materials;-9.3;1.6;5.8;1.8;-0.2;-4.2;-5.5;-4.1;1.7;-1.6;-0.5;7;16.1;13.9;12.1
industria no primaria;non primary industries;11;12.6;14.9;15.3;17.1;9.3;12.8;17.8;13.5;8.4;12.9;11;13.3;5;9.6
electricidad y agua;electricity and water;8.4;9.8;9.5;9.7;10.3;7.4;6.4;7.8;7.9;7.6;8.4;7.8;13;7.3;9.2
construcción;construction;10.5;12.9;24.5;22.1;25.1;14.5;14.7;19.9;13;24.5;16.5;21;22.5;13.1;18.7
comercio;commerce;9.2;7.8;8.3;5.2;13.8;10;13.4;13.1;8.9;8.6;10.5;14;12.3;5.9;10.6
