SECTORES ECONÓMICOS;2008;;;2009;;;;;;;;;;;; ECONOMIC SECTORS
;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Ene.- Nov.;
;;;;;;;;;;;;;;;;
Agropecuario ;7.706801858;5.069764433;7.210650283;-1.223271137;4.935758635;8.153814568;1.79234973;6.526257114;-4.679446813;1.483373545;3.562378071;2.481326266;0.26648885;2.311604569;2.263036485;Agriculture and Livestock
  Agrícola;4.61540992;2.407522314;7.368974133;-6.901089175;2.921391825;10.3531738;1.156047355;7.308782745;-8.368026213;1.415387017;3.826190032;0.22793874;-3.493134666;2.479854709;1.048939729;  Agriculture
  Pecuario;11.44718178;8.249792898;6.95827139;5.195829383;7.156430119;4.995833259;4.06896777;2.746345233;3.598827015;0.964657334;7.600173181;4.932533769;4.568195228;2.129376786;4.314059267;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-8.605707412;5.208824361;6.192465383;-17.75124246;-11.55071925;-17.55629162;-17.08010683;31.28581338;-12.5007266;-8.273029295;-9.439100396;0.144202127;-18.21019566;-5.67;-7.648897888;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;12.38408563;3.450423862;7.57836306;10.66432818;-1.917631048;2.537351335;2.769155094;1.628694357;-2.163640477;0.318233431;1.12140623;-1.053127179;-0.504;-1.100405502;1.011424131;Mining and fuel
  Minería metálica;10.90010606;1.401377938;7.277484849;7.828201097;-3.727631514;-1.110021486;1.406032845;-0.476518238;-3.919674919;-1.752656183;-1.177029505;-3.056297098;-1.202239739;-1.58;-0.879030541;  Metals
  Hidrocarburos;25.33129313;21.91407215;10.27969953;36.51711909;15.02183988;40.15991792;15.26312565;21.42644441;13.59899091;17.34465974;21.92465673;16.08466059;4.783178627;2.640136914;17.6195594;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;1.411866853;4.113977657;8.657250968;-0.64988777;-6.912524279;-5.848221189;-14.01447747;-7.488982996;-13.63372183;-12.76343225;-10.8696609;-8.745892718;-6.511815463;-2.482765977;-8.220466658;Manufacturing
  De recursos primarios 2/;4.229692907;10.28773301;7.612452479;10.55289036;2.863406385;-2.233216356;-10.34535581;28.2968241;-7.507011773;-8.232968664;10.07742877;0.144973995;-12.12907084;-3.353920897;0.585922381;  Based on raw materials 2/
  No primaria;0.848926126;2.83945219;8.859330871;-2.627553766;-8.637587515;-6.505746811;-14.73772676;-14.43587592;-14.92021304;-13.49248382;-13.89980632;-10.13237509;-5.531472667;-2.299056319;-9.826104711;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;3.175678994;2.905222401;7.720386769;3.463520061;-1.651177006;1.698839154;0.522815881;2.115495438;-1.7662232;-1.865454383;0.299480343;0.76013916;2.42;5.114983673;1.018911158;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;10.15352724;10.33062319;16.4570651;4.496672924;4.72382761;6.296170908;-1.471771088;-0.318217514;-1.30399585;6.379339347;5.209893003;3.291429382;10.74022063;13.83;4.79869982;Construction
;;;;;;;;;;;;;;;;
Comercio;7.976746942;4.578240866;12.99534962;1.67938634;-0.844847843;0.313100816;-2.292735552;-0.72289058;-3.406403867;-2.816438214;-1.702393294;-0.747975863;-0.22;2.6687;-0.791060775;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 3/;5.300002688;4.436747633;9.321429866;4.601627492;1.861408764;5.71140691;1.042073225;2.217203099;2.399233948;1.052286973;3.182998766;2.549711896;2.531237562;6.650399131;3.041785933;Other services 3/
;;;;;;;;;;;;;;;;
PBI;5.756012025;4.709023876;9.836600314;3.06967608;0.092456627;2.893527861;-1.873830466;0.725077103;-2.287385317;-1.416421197;0.194422591;0.04045662;0.829612081;4.195526556;0.54002981;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;8.040662548;5.410187905;7.374031162;4.500269496;1.598576362;3.612511323;-0.578711045;9.168159746;-4.664153991;-0.642215329;3.246157068;0.667761918;-2.626615609;-0.288605948;1.271783448;Primary sectors
Sectores no primarios;5.315346329;4.578153027;10.3447475;2.797647825;-0.195276836;2.746622322;-2.167658026;-1.211893167;-1.728974579;-1.569150576;-0.378142849;-0.072566416;1.451531293;5.082885769;0.392176225;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 4/;-0.510895129;-0.512415664;;0.500370713;-1.112312813;-0.527499136;0.373865276;-0.116786442;-2.295107708;2.048733062;1.517775911;1.024425139;1.623206686;-0.049556206;;Seasonally adjusted GDP 4/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA 5/;6.426372271;8.082854062;12.30613372;1.56326423;-2.649648629;-1.294109741;-4.713841221;-4.493495428;-8.132843768;-6.64189627;-3.046611467;-4.60130573;-4.228850889;3.311059022;-3.281312435;DOMESTIC DEMAND INDICATOR 5/
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 6/;-2.348946639;-0.001325836;;-0.862507704;-3.740904676;-1.158793833;1.10493471;-2.206678155;-0.607999755;2.896734997;1.176877045;1.854305654;1.653024777;-0.718061846;;Seasonally adjusted domestic demand indicator 6/
