SECTORES ECONÓMICOS;2008;;2009;;;;;;;;;;;;; ECONOMIC SECTORS
;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;
;;;;;;;;;;;;;;;;
Agropecuario ;5.069764433;7.210717423;-1.362736901;4.961511313;9.053442947;2.084984438;6.076785707;-4.993202172;1.186796531;3.59598778;2.321085235;0.841434297;2.680355717;2.151199111;2.29442892;Agriculture and Livestock
  Agrícola;2.385281486;7.359216634;-5.921608447;4.079454569;11.04216854;0.617198964;7.181175762;-9.058779406;0.605152181;0.789347888;-0.200716926;-1.934663178;3.346639124;0.839868542;0.906907626;  Agriculture
  Pecuario;7.3351341;6.015017884;4.369167155;6.081122075;6.229132171;5.384615198;3.422684997;3.933606145;2.062474381;7.123086064;5.059012425;4.018531731;1.916971915;3.645845395;4.404016489;  Livestock
;;;;;;;;;;;;;;;;
Pesca;7.138628686;6.2409014;-17.08769926;-9.682901554;-14.96651196;-16.07978883;33.39536997;-8.486666862;-4.657815447;-12.31409818;-0.17589986;-18.58283649;-4.65972081;-21.74103479;-7.665398291;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;3.403146608;7.578566372;10.66432769;-1.91761051;2.537349812;2.770910067;1.629445666;-2.164533419;0.263919404;1.070180006;-1.063379482;-0.503948657;-1.099608998;-5.739073029;0.3971959;Mining and fuel
  Minería metálica;1.401377938;7.284922073;7.828201097;-3.727631514;-1.110021486;1.406032845;-0.476518238;-3.919674919;-1.79091859;-1.213750127;-3.106084841;-1.202239739;-1.561669739;-6.835635906;-1.413992054;  Metals
  Hidrocarburos;21.91407215;10.27969953;36.51712487;15.02183988;40.15991792;15.26312565;21.42644441;13.59899091;17.34465974;21.97397776;16.08466537;4.783178627;2.644374997;2.682871998;16.1374716;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;4.515642801;8.828260507;-0.531600522;-6.696915337;-5.450972962;-13.58427485;-8.038709931;-13.11370364;-12.24439849;-10.43705479;-8.333945104;-5.901418404;-2.62596126;1.618199571;-7.151388289;Manufacturing
  De recursos primarios 2/;10.28770962;7.612445659;10.36116687;3.083130238;-1.511391338;-9.705305122;23.19909455;-6.259802933;-7.243510885;10.58636833;0.0933883;-11.63175249;-3.498476533;-4.354599507;0.034927416;  Based on raw materials 2/
  No primaria;2.839436489;8.859329052;-2.471411611;-8.446534839;-6.197426122;-14.3682333;-14.11868053;-14.57312907;-13.07783402;-13.50046249;-9.650397853;-4.913321476;-2.454914327;2.964298187;-8.514451344;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;2.889161128;7.72042599;3.467877847;-1.654286782;1.716770038;0.51301493;2.123505547;-1.75051047;-1.847936638;0.287609364;0.783466849;0.158285686;3.953967319;6.228523655;1.174758957;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;10.33072919;16.45705256;4.495015268;4.674888281;6.261049382;-1.54689996;-0.329284849;-1.335355306;6.377345202;5.163061692;3.281771475;10.67790833;13.82782742;19.74308161;6.143583284;Construction
;;;;;;;;;;;;;;;;
Comercio;4.578240866;12.99534964;1.67938634;-0.844847843;0.313100816;-2.292735552;-0.72289058;-3.406403867;-2.816438214;-1.702393294;-0.747975863;-0.21936538;2.666165877;4.257287706;-0.400167855;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 3/;4.302623115;9.267562698;4.464737523;1.692026549;5.818238011;0.878202618;2.548573115;2.695319905;1.04606625;3.378696199;2.410418106;2.71022319;6.744841087;8.891880332;3.650775445;Other services 3/
;;;;;;;;;;;;;;;;
PBI;4.705937239;9.837822424;3.022450858;0.053751058;3.091543784;-1.84940264;0.760201921;-2.078249059;-1.358766471;0.335071257;0.022334653;0.987971115;4.218148981;6.379812197;1.119278089;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;5.456888467;7.375558252;4.44951079;1.707382902;4.246803297;-0.265694173;8.204840258;-4.490280902;-0.574497156;3.235391373;0.579073718;-2.322083158;-0.132616935;-2.772488113;0.972636138;Primary sectors
Sectores no primarios;4.565773529;10.34590668;2.751421277;-0.262096065;2.855840577;-2.207973651;-0.947182538;-1.512123074;-1.513631309;-0.20939794;-0.078213184;1.584139789;5.079485717;8.102630637;1.148722883;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 4/;-0.507337957;;0.454322714;-1.105240172;-0.297512122;0.206008788;-0.106822908;-2.12012062;1.890336399;1.600862916;0.864535588;1.801253037;-0.184621571;3.692806868;;Seasonally adjusted GDP 4/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA 5/;8.079734635;12.3073379;1.553434569;-2.642763761;-1.220366627;-4.681885661;-4.551019642;-7.926758935;-6.606861909;-2.923304613;-5.293905191;-4.050617059;2.992263673;4.598298438;-2.629266158;DOMESTIC DEMAND INDICATOR 5/
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 6/;0.00372276;;-0.850889612;-3.731956508;-1.253879596;1.185351698;-2.315562888;-0.456755509;2.832296322;1.2028417;1.173569091;2.650296874;-0.318173387;4.012889911;;Seasonally adjusted domestic demand indicator 6/
